word_freq_make	word_freq_address	word_freq_all	word_freq_3d	word_freq_our	word_freq_over	word_freq_remove	word_freq_internet	word_freq_order	word_freq_mail	word_freq_receive	word_freq_will	word_freq_people	word_freq_report	word_freq_addresses	word_freq_free	word_freq_business	word_freq_email	word_freq_you	word_freq_credit	word_freq_your	word_freq_font	word_freq_000	word_freq_money	word_freq_hp	word_freq_hp	word_freq_george	word_freq_650	word_freq_lab	word_freq_labs	word_freq_telnet	word_freq_857	word_freq_data	word_freq_415	word_freq_85	word_freq_technology	word_freq_1999	word_freq_parts	word_freq_pm	word_freq_direct	word_freq_cs	word_freq_meeting	word_freq_original	word_freq_project	word_freq_re	word_freq_edu	word_freq_table	word_freq_conference	char_freq_;	char_freq_(	char_freq_[	char_freq_!	char_freq_$	char_freq_#	capital_run_length_average	capital_run_length_longest	capital_run_length_total	!spam	!not_spam
0	0	0.38	0	1.15	0.76	0	0	0	0	0	0.38	0.38	0	0	0.38	0	0.38	2.69	0	2.3	0	0	0.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122	0	0.061	0.061	0	1.775	20	158	1	0
0.47	0.31	0.47	0	0.05	0.13	0.05	0.26	0.44	0.76	0.26	0.97	0.58	1.26	0	0.26	0.44	0	3.25	0	1.5	0	1.05	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.004	0.066	0	0.322	0.764	0.159	6.1	193	3038	1	0
0	0	0.64	0	0	0.64	0	0	0	0	0	0	0	0	0	0.64	0	0	2.59	0	0	0	0.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64	0	0	0	0	0	0	0	0	0	0	0	0.094	0.189	0.284	0.662	0	0	10.068	131	292	1	0
0	0	0.76	0	0.38	0	0.76	0	0	0	0	0.38	0	0	0	0	0	0.76	1.52	0	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177	0.059	3.836	79	211	1	0
0	0	1.02	0	0.51	0	0	0	0	0	0	0	0	0	0	0.51	0	0	1.53	0	1.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51	0	0	0	0	0.09	0	0.542	0	0	1.972	19	146	1	0
0	0	0	0	0.4	0.4	0.4	0.4	0	0	0.4	0	0	0	0	0.4	0	0	4	0	2	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121	0	0	1.979	12	95	1	0
0	0	0	0	1.65	0	0	0	0.82	0	0	1.65	0	0	0	0.82	0	0	1.65	0	0.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.415	0	0	0	0	1.769	11	69	1	0
0	0	0	0	0	0	1.58	0	0	0	0	0	1.58	0	0	0	0	0	1.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.558	0.279	0	3.272	23	36	1	0
0.39	0	0.39	0	0	0.39	0	0	0	0	0	0.39	0.78	0	0	0	1.17	0.78	3.13	0	1.17	0	0	1.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.261	0	0	1.461	19	114	1	0
0.67	0	0.67	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0.67	0.67	4.05	0	1.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	1.064	3	33	1	0
0	0	0	0	0.27	0	0	0	0	0.83	0	0	0	0	0	0	0	0	0.27	0	0.27	8.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092	0	0.185	0.232	7.313	99	607	1	0
0.14	0.14	0.29	0	0.29	0.29	0	0.29	0	0	0.29	0	0.14	0	0	0.87	0.29	0.43	3.66	0	1.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0.58	0	0	0	0	0.024	0	0.265	0	0	3.121	38	437	1	0
0.44	0	0	0	0.89	0	0	0	0	0.44	0	1.34	0	0	0	0.44	0	0	4.03	0	1.79	0	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0	0	0.944	0.145	0.072	2.451	28	152	1	0
0	0	0	0	0	0	0	2.04	0	0	1.02	0	0	0	0	0	0	0	4.08	0	1.02	0	1.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969	0	0	2.179	18	85	1	0
0.34	0.25	0.25	0	0.08	0.43	0.08	0.25	0.08	1.46	0.34	0.51	0.94	0	0.17	0.08	0	0	3.01	0	0.77	0.17	0.34	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0.048	0	0.258	0.258	0.113	5.297	300	694	1	0
0.34	0.26	0.26	0	0.08	0.43	0.08	0.26	0.08	1.47	0.34	0.52	0.95	0	0.17	0.08	0	0	3.03	0	0.78	0	0.34	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0.048	0	0.259	0.259	0.064	3.335	62	537	1	0
0.44	0	0	0	0.89	0	0	0	0	0.44	0	1.33	0	0	0	0.44	0	0	4.46	0	1.78	0	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0	0	1.083	0.144	0.072	2.428	28	153	1	0
0	1.12	0.56	0	0.56	0.56	1.12	1.12	0	0	0.56	2.25	0	0	0	2.25	0	1.12	2.25	0	2.82	0	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.416	5	51	1	0
0.53	0	1.07	0	0.53	0	1.07	0	0	0	0	0.53	0	0	0	0.53	0.53	0	4.3	0	1.07	0	1.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53	0	0	0	0	0	0	1.183	0.253	0	5.454	68	180	1	0
0	0	0.38	0	1.15	0	0	0	0	0.77	0	0.38	0	0	0	0.38	0.77	0	2.7	0	1.15	0	0.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15	0	0	0	0	0.061	0	0.985	0.184	0	3.923	78	255	1	0
0.34	0.42	0.25	0	0.08	0.42	0.08	0.25	0.08	1.63	0.34	0.51	0.94	0	0.17	0.08	0	0	3	0	0.94	0	0.34	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0.063	0	0.287	0.223	0.079	3.314	62	537	1	0
0.54	0	1.08	0	0.54	0	1.08	0	0	0	0	0.54	0	0	0	0.54	0.54	0	4.32	0	1.08	0	1.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54	0	0	0	0	0	0	1.182	0.253	0	5.454	68	180	1	0
0.07	0.02	0.15	0	0.25	0.2	0	0.02	0.15	0	0	0.25	0.25	0.07	0	0.05	0.22	0	0.05	0	0.02	0	0.37	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0.05	0.3	0.02	0	0.02	0	0	0.02	0	0.02	0	0	0	0.011	0.022	0	0	0.022	0	1.423	20	965	1	0
0	0	0.32	0	0.64	0.64	0.32	0.32	0	0	0	0.32	0.32	0	0	0.32	0.32	0	2.27	0	3.24	0	0	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0	0.106	0	0	0.159	0.053	1.537	10	143	1	0
0	0	0.16	0	0.33	0	0.16	0	0.5	0	0.16	0	0	0	0	0.5	0	1.5	0.66	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088	0	0.884	0.752	0.022	5.328	47	1087	1	0
0.16	0.32	0.65	0	0.32	0	0.16	0	0	0.49	0.16	0	0.16	0	0.16	0.16	0	0.81	0.32	0.16	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0.773	0.08	0.08	6.586	132	955	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05	0	0	0	0	0	0	0	1.806	0	0	1.293	5	75	1	0
0	0	1.43	0	0.71	0	0	0.71	0	0.71	0	0	0	0	0	0	2.87	2.87	1.43	0	3.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.937	0	0	11.888	116	214	1	0
0	0	0	0	0	0	1.07	0	0	0	0	0	0	0	0	2.15	0	0	0	0	2.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07	0	0	0	0	0	0	0	0	0	0	0	0.145	0.437	0.291	1.823	10	62	1	0
0	0	0.47	0	0.95	0	0	0	0.47	0	0	0	0	0	0	0.95	0.95	0	1.42	0	0.47	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47	0	0	0	0	0.131	0.065	0.461	0.263	0	3.493	61	255	1	0
0	0	0.15	0	0.31	0	0.15	0	0.63	0.15	0.15	0	0	0	0	1.11	0	1.27	0.79	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0.15	0	0	0	0	0	0	0	0	0	0.088	0	0.862	0.707	0.022	5.423	51	1128	1	0
0	0	0	0	1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22	0	3.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.784	0	0	5.687	39	91	1	0
0	0	1	0	0	0.25	0	0.25	0	0	0	1.5	0.25	0	0	0.25	0.5	0	2.5	0	1.5	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203	0.203	0	2.866	34	129	1	0
0.25	0.25	0	0	0.75	0	0	0	0.25	0.75	0	1.51	0	1.26	0	0	0.5	0	3.29	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0	0.041	0.124	0.124	3.181	32	210	1	0
0	0.57	0.57	0	1.14	0.57	2.28	0	0	0.57	0	0.57	0	0	0	0	0	0.57	3.42	0	1.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57	0	0	0	0	0.081	0	0.487	0	0.081	16.217	147	373	1	0
0	0.52	0.52	0	0.52	0	0	0	0	0	0	0	0	0	0	0.52	0	0	1.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192	0	0.867	0	0	2.22	20	131	1	0
0	0	0.32	0	0.64	0.64	0.32	0.64	0	0	0	0.32	0.32	0	0	0.32	0.32	0	2.27	0	3.24	0	0	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64	0	0	0	0	0.105	0	0	0.157	0	1.494	10	139	1	0
0	0	0.56	0	0	0.18	0	0	0	1.32	0	0.75	0.75	0.18	0	0.18	0	0	0.94	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0.07	0.07	0	2.616	23	191	1	0
0	0	0	0	0.91	0	0.91	0	0	0.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134	0	0.672	0.269	0	4.35	31	87	1	0
0	1.32	0.56	0	0	0.94	0	0.18	0.37	0.75	0	2.07	0	0	0	0	0.37	0	2.45	0	0.94	0	0	0.18	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0.241	0.107	0	2.623	35	244	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.266	4	19	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.266	4	19	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28	0	0	3.84	0	3.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28	0	0	0	0	0	0	0.23	0.23	0	5.538	41	72	1	0
0	0	1.31	0	0	0	0	0	0	0	0	1.31	0	0	0	0	0	0	1.31	0	5.26	0	0	1.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201	0	4.5	25	54	1	0
0	0	0	0	0	0	1.16	0	0	0	0	0	0	0	0	4.65	2.32	0	3.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	21	1	0
0	0	0	0	7.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.588	0	0	0	0	1	1	6	1	0
0	0	0.71	0	0.23	0	0	0	0.23	0.23	0.23	1.9	0	0	0	0.23	0	0	3.81	0.23	1.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109	0	1.018	0.036	0	4.022	97	543	1	0
0	0.02	0.05	0	0.02	0	0	0.05	0	0.35	0	0.02	0	0	0	0.05	0.1	0.38	0.07	0.2	0.17	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0.107	0.017	0.017	3.922	489	3271	1	0
0.2	0.81	0.61	0	0	0	0	0	0.2	0	0	0.4	0	0	0	0.2	0	0	0.2	0	0.2	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.831	0.338	0.03	1102.5	2204	2205	1	0
0	0	0	0	1.48	0.74	1.48	0	0	0.74	0.74	0.74	0.74	0	0	0.74	0.74	0	2.22	0	3.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108	0	0	2.346	12	61	1	0
0.35	0.46	0.31	0	0.15	0.03	0	0.35	0.58	0.66	0.31	0.7	0.62	1.28	0.03	0.23	0.42	0	3.12	0	1.36	0	0.46	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.005	0.088	0	0.319	0.479	0.124	6.11	116	2218	1	0
0.08	0.08	0.76	0	0.85	1.02	0.25	0.17	0.59	0.08	0.17	0.59	0.17	0	2.22	0.25	0.08	0.94	1.62	0.17	0.42	0	0.85	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.17	0.08	0.08	0.08	0	0	0	0.063	0	0.42	0.114	0.012	7.497	669	1402	1	0
0	0	0.46	0	0.46	0	0	0	0	0	0	0	0	0	0	0.46	0	0	2.8	0	0.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0	0	0	0	0.082	0	0.663	0	0	1.428	20	120	1	0
0.18	0	0.18	0	1.59	0.36	0	0.06	0.06	0.06	0.06	0.55	0.3	0.06	0	0	0.73	0	4.4	0.24	1.1	0	0.85	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0.01	0.052	0	0.01	0.169	0	1.775	12	451	1	0
0	0	1.16	0	3.48	0	0	0.58	0.58	0	0	0.58	0	0	0	1.74	0	0	1.16	0	3.48	0	0	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0	0.165	0.082	0	2.17	12	102	1	0
0.25	0	0.51	0	0.25	0.51	0.25	0	0	0	0	0.76	0	0	0	0.25	0	0.76	2.29	0	0.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0.132	0.354	0	0	2.593	14	153	1	0
0.62	0	0.62	0	1.25	0	0.62	0	0	0	0	0.62	0	0	0	0.62	0.62	0	1.25	0	2.51	0	0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.456	0.273	0	2.52	22	121	1	0
0	0	0.49	0	1.48	0	0.49	0	0	0	0	0.99	0	0	0	0.49	0.99	0	2.47	0	2.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49	0	0	0	0	0.082	0	0.497	0.165	0	5.113	78	225	1	0
0	0.71	0.71	0	0.35	0.35	0	0	0	0	0	0.71	0	0	0	0.35	0	1.43	1.79	0	1.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057	0	1.257	0	0	3.895	61	261	1	0
0.6	0	0.36	0	1.44	0	0	0	0.24	1.32	0.72	2.52	0.6	0	0	0.6	0.24	0	4.44	0	1.8	0	0.72	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0.04	0	0.101	0.222	0	3.577	54	483	1	0
0	0	0.88	0	0.88	0	0	0	0	0	0	0.88	0	0	0	0	0	0	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.935	0	0	3.417	51	229	1	0
0	0	0	0	0.26	0	0.26	0	0	0	0	0	0	0	0	0.26	0	0	0	0	0.52	17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0	0	0	0	0.451	0.082	0.082	0.369	0	1.026	13.82	104	1078	1	0
0.31	0.31	0.31	0	0	0	0.31	0	0.31	0.31	0.31	0.31	0	0	0	0.94	0	0	0.31	0	2.51	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	1.88	0	0	0	0	0	0	0	0	0	0	0.75	0	0.89	0.046	0.046	12.382	138	421	1	0
0	0.48	0.48	0	0.48	0	0	0.48	0	0	0	0.96	0	0	1.92	0	0.48	0.96	2.88	0	2.88	0	1.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0	0	0	0	0	0	0	0	0	0.084	0	0.084	0.336	0	3.2	12	80	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.45	0	0	3.22	0	6.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0
0	0	0.89	0	1.79	0.44	0	0	0	0	0	0.44	0	0	0	1.34	0	0	2.24	0	4.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073	0	0	0	0	2.25	12	144	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.844	0	0	1.666	5	15	1	0
0	0	0.32	0	0.64	0.64	0.64	0.32	0	0	0	0.32	0.32	0	0	0.32	0.32	0.32	2.27	0	3.24	0	0	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64	0	0	0	0	0.156	0	0	0.156	0	1.688	19	157	1	0
0	0	0	0	0	0.05	0	0.34	0	0	0.11	0.81	0.05	0.11	0	0	0.75	0	0	0	0	0	0.05	0	1.16	0	0	0	0	0	0	0	0.05	0	0	0.23	0.05	0	0	0	0	0	0	0	0	0	0	0	0.283	0.107	0	0	0.053	0	1.864	32	910	1	0
0.09	0	0.09	0	0.39	0.09	0.09	0	0.19	0.29	0.39	0.48	0	0.58	0	0.87	0.19	0	1.66	4.1	1.66	0	0.39	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136	0	0.318	0.151	0	6.813	494	1458	1	0
0.23	0.29	0.64	0	0.17	0.17	0.11	0.05	0.05	0.47	0.11	1.17	0.47	0.05	0.17	0.05	0.11	0.29	3.93	0	2.05	0	0.47	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133	0	0.492	0.338	0.092	6.033	87	1460	1	0
0	0.35	0.35	0	1.07	0	0	0.35	0	1.07	0	0.71	0	0	0	0	0.71	0.71	2.85	0	2.5	0	1.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0	0.35	0	0	0	0	0.233	0	0.233	0.233	0	3.414	25	140	1	0
0.4	0.4	0.26	0	0.13	0.2	0.06	0.33	0	1.14	0.33	1.07	1	0	0.26	0.4	0.06	0	4.1	0	0.94	0	0.53	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088	0	1.06	0.151	0.05	4.623	123	1045	1	0
0.51	0.17	0.51	0	1.7	0.34	0	0	0.85	0.17	0	0.68	0.17	0.34	0	0.17	0.17	0	2.9	0	2.05	0	0.68	1.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.387	1.961	0.025	11	183	660	1	0
0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53	0	1.6	0	1.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062	0	0.311	0	0	1.954	11	43	1	0
0.5	0.4	0.33	0	0.13	0.03	0.13	0.1	0.54	0.77	0.3	0.7	0.54	1.14	0.03	0.27	0.43	0.03	3.2	0	1.45	0	0.37	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0.071	0	0.456	0.5	0.11	6.049	129	2220	1	0
0.19	0.19	0	0	1.55	0.19	0.77	0	0.19	0.19	0	0.77	0.58	0	0	0.19	0.58	2.33	0.77	0	0.38	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0.03	0.061	0.03	0.185	0.216	0	1.948	11	113	1	0
0	0	0	0	0.87	0	0	1.16	0	0	0.29	1.74	0	0	0	0	0.87	0	4.95	0	2.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151	0	0	0	0	0	1.095	4	46	1	0
0	0.55	0.55	0	2.23	0.55	0	0.55	0	0	0.55	0	0	0	0	0	0	1.11	1.67	0	2.23	0	0	0.55	0	0	0	0	0	0	0.55	0	0	0	0	0	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0.265	0	0.088	0.353	0	2.571	11	108	1	0
0	0	0	0	0.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0	1.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121	0	0	3.871	26	151	1	0
