a0	a1	a2	a3	!t0	!t1	!t2
90	54	20	253	0	0	1
102	75	52	119	0	0	1
96	65	37	193	0	0	1
97	64	31	28	0	0	1
99	64	35	255	0	0	1
84	57	27	60	0	0	1
117	95	70	8	0	0	1
80	45	23	253	0	0	1
105	77	47	192	0	0	1
106	82	58	241	0	0	1
96	67	36	0	0	0	1
104	78	53	248	0	0	1
104	76	49	120	0	0	1
88	58	29	62	0	0	1
102	67	40	135	0	0	1
98	64	33	255	0	0	1
110	83	54	255	0	0	1
77	42	17	96	0	0	1
104	77	58	135	0	0	1
110	87	58	127	0	0	1
89	69	46	6	0	0	1
100	74	46	127	0	0	1
82	56	27	28	0	0	1
93	65	43	159	0	0	1
106	68	37	247	0	0	1
96	59	30	220	0	0	1
95	65	41	60	0	0	1
95	68	41	7	0	0	1
96	71	47	127	0	0	1
91	62	41	135	0	0	1
83	52	25	225	0	0	1
83	50	27	255	0	0	1
92	57	25	30	0	0	1
102	72	45	159	0	0	1
