i1 i2 !classical !jazz !rock !blues !metal !pop
2.602 445.07 1.0 0.0 0.0 0.0 0.0 0.0 
2.3145 196.76 0.0 1.0 0.0 0.0 0.0 0.0 
2.5625 996.49 0.0 0.0 0.0 1.0 0.0 0.0 
2.5448 1310.9 0.0 0.0 1.0 0.0 0.0 0.0 
2.3354 386.18 0.0 1.0 0.0 0.0 0.0 0.0 
2.8546 386.89 0.0 1.0 0.0 0.0 0.0 0.0 
2.6485 865.55 0.0 0.0 0.0 0.0 0.0 1.0 
2.3755 1078.6 0.0 1.0 0.0 0.0 0.0 0.0 
2.8553 737.6 1.0 0.0 0.0 0.0 0.0 0.0 
2.4102 1473.2 0.0 0.0 0.0 0.0 0.0 1.0 
2.5485 283.53 0.0 0.0 1.0 0.0 0.0 0.0 
2.3511 707.96 0.0 1.0 0.0 0.0 0.0 0.0 
2.7943 295.6 0.0 1.0 0.0 0.0 0.0 0.0 
3.214 291.07 0.0 1.0 0.0 0.0 0.0 0.0 
2.4999 765.74 1.0 0.0 0.0 0.0 0.0 0.0 
2.2637 1327.2 0.0 0.0 0.0 1.0 0.0 0.0 
2.4782 2156.5 0.0 1.0 0.0 0.0 0.0 0.0 
2.7026 795.21 0.0 0.0 0.0 0.0 0.0 1.0 
2.4523 517.77 0.0 1.0 0.0 0.0 0.0 0.0 
3.3794 506.39 1.0 0.0 0.0 0.0 0.0 0.0 
2.5214 909.24 0.0 0.0 0.0 0.0 1.0 0.0 
2.5202 729.58 0.0 1.0 0.0 0.0 0.0 0.0 
2.4973 926.87 0.0 0.0 0.0 0.0 1.0 0.0 
2.4376 731.87 1.0 0.0 0.0 0.0 0.0 0.0 
2.5178 1495.3 0.0 0.0 1.0 0.0 0.0 0.0 
2.5352 981.67 0.0 0.0 0.0 0.0 0.0 1.0 
2.2567 811.8 1.0 0.0 0.0 0.0 0.0 0.0 
2.6464 562.65 0.0 1.0 0.0 0.0 0.0 0.0 
2.4391 535.45 0.0 0.0 1.0 0.0 0.0 0.0 
2.5412 806.99 1.0 0.0 0.0 0.0 0.0 0.0 
2.4197 749.27 0.0 0.0 0.0 0.0 0.0 1.0 
2.8384 454.84 0.0 0.0 0.0 1.0 0.0 0.0 
2.4747 905.55 0.0 0.0 0.0 0.0 1.0 0.0 
2.3659 236.52 0.0 1.0 0.0 0.0 0.0 0.0 
2.4457 665.46 1.0 0.0 0.0 0.0 0.0 0.0 
2.4361 168.11 0.0 0.0 1.0 0.0 0.0 0.0 
2.5464 447.73 0.0 0.0 1.0 0.0 0.0 0.0 
2.3531 383.36 1.0 0.0 0.0 0.0 0.0 0.0 
2.5863 408.32 0.0 1.0 0.0 0.0 0.0 0.0 
2.4887 641.51 0.0 1.0 0.0 0.0 0.0 0.0 
2.5518 535.6 0.0 1.0 0.0 0.0 0.0 0.0 
2.5895 1311.2 0.0 0.0 0.0 1.0 0.0 0.0 
2.5908 695.19 0.0 0.0 1.0 0.0 0.0 0.0 
2.4782 2156.5 0.0 1.0 0.0 0.0 0.0 0.0 
2.6391 366.61 0.0 1.0 0.0 0.0 0.0 0.0 
2.1993 831.81 0.0 1.0 0.0 0.0 0.0 0.0 
2.5511 373.22 0.0 1.0 0.0 0.0 0.0 0.0 
2.456 723.85 0.0 0.0 0.0 0.0 1.0 0.0 
3.4243 1678.0 0.0 0.0 0.0 0.0 1.0 0.0 
1.7834 802.9 1.0 0.0 0.0 0.0 0.0 0.0 
2.4119 577.91 1.0 0.0 0.0 0.0 0.0 0.0 
2.4943 976.58 0.0 0.0 0.0 0.0 1.0 0.0 
2.5295 1819.0 0.0 0.0 0.0 0.0 0.0 1.0 
2.4954 1069.2 0.0 0.0 1.0 0.0 0.0 0.0 
1.9444 426.88 1.0 0.0 0.0 0.0 0.0 0.0 
2.5804 811.6 0.0 0.0 0.0 0.0 0.0 1.0 
2.4448 1198.8 0.0 0.0 1.0 0.0 0.0 0.0 
2.296 873.06 0.0 1.0 0.0 0.0 0.0 0.0 
2.2252 675.85 0.0 0.0 0.0 0.0 0.0 1.0 
2.7032 634.31 1.0 0.0 0.0 0.0 0.0 0.0 
2.8195 698.02 0.0 0.0 0.0 1.0 0.0 0.0 
2.556 585.29 0.0 0.0 0.0 1.0 0.0 0.0 
2.4923 767.87 0.0 0.0 0.0 0.0 0.0 1.0 
2.6695 1113.5 0.0 1.0 0.0 0.0 0.0 0.0 
2.6262 565.16 0.0 0.0 0.0 0.0 0.0 1.0 
2.5225 498.28 1.0 0.0 0.0 0.0 0.0 0.0 
2.6727 627.37 0.0 1.0 0.0 0.0 0.0 0.0 
2.6784 345.02 0.0 1.0 0.0 0.0 0.0 0.0 
2.6322 1574.3 0.0 1.0 0.0 0.0 0.0 0.0 
2.5631 214.95 0.0 0.0 0.0 0.0 1.0 0.0 
1.9169 376.93 1.0 0.0 0.0 0.0 0.0 0.0 
2.5417 971.82 1.0 0.0 0.0 0.0 0.0 0.0 
2.5639 1102.1 0.0 0.0 0.0 0.0 0.0 1.0 
2.3839 213.84 0.0 0.0 0.0 0.0 1.0 0.0 
2.5434 768.51 0.0 0.0 0.0 1.0 0.0 0.0 
2.5405 638.74 1.0 0.0 0.0 0.0 0.0 0.0 
2.3363 412.59 0.0 1.0 0.0 0.0 0.0 0.0 
2.5177 1025.5 0.0 0.0 0.0 1.0 0.0 0.0 
2.6808 631.87 0.0 0.0 0.0 1.0 0.0 0.0 
2.5659 885.7 1.0 0.0 0.0 0.0 0.0 0.0 
2.6449 969.77 1.0 0.0 0.0 0.0 0.0 0.0 
2.4751 537.16 1.0 0.0 0.0 0.0 0.0 0.0 
3.0426 2244.2 0.0 0.0 0.0 0.0 0.0 1.0 
2.7439 676.74 1.0 0.0 0.0 0.0 0.0 0.0 
2.4635 861.69 0.0 0.0 1.0 0.0 0.0 0.0 
2.382 666.16 0.0 1.0 0.0 0.0 0.0 0.0 
2.3894 802.96 1.0 0.0 0.0 0.0 0.0 0.0 
2.5435 1020.1 0.0 0.0 1.0 0.0 0.0 0.0 
2.1897 674.86 1.0 0.0 0.0 0.0 0.0 0.0 
2.4583 441.15 0.0 0.0 0.0 0.0 0.0 1.0 
2.7461 706.11 1.0 0.0 0.0 0.0 0.0 0.0 
2.4507 465.47 0.0 0.0 0.0 0.0 0.0 1.0 
2.3229 638.51 1.0 0.0 0.0 0.0 0.0 0.0 
1.8347 670.55 1.0 0.0 0.0 0.0 0.0 0.0 
2.5234 1087.7 0.0 0.0 0.0 0.0 0.0 1.0 
2.5144 784.23 0.0 0.0 0.0 0.0 1.0 0.0 
2.5894 1669.7 0.0 0.0 0.0 1.0 0.0 0.0 
2.5158 887.74 1.0 0.0 0.0 0.0 0.0 0.0 
2.5197 757.76 1.0 0.0 0.0 0.0 0.0 0.0 
2.5774 251.13 0.0 1.0 0.0 0.0 0.0 0.0 
2.5274 278.01 0.0 1.0 0.0 0.0 0.0 0.0 
2.1002 646.69 1.0 0.0 0.0 0.0 0.0 0.0 
2.3995 1125.0 1.0 0.0 0.0 0.0 0.0 0.0 
2.5038 1303.2 0.0 0.0 0.0 0.0 1.0 0.0 
2.519 1015.9 0.0 0.0 1.0 0.0 0.0 0.0 
2.574 1480.2 0.0 0.0 0.0 1.0 0.0 0.0 
2.7996 677.17 0.0 1.0 0.0 0.0 0.0 0.0 
2.2963 893.46 0.0 0.0 0.0 0.0 0.0 1.0 
2.5069 1164.5 0.0 0.0 1.0 0.0 0.0 0.0 
2.559 755.4 0.0 1.0 0.0 0.0 0.0 0.0 
2.4946 486.52 0.0 1.0 0.0 0.0 0.0 0.0 
2.5036 262.19 0.0 1.0 0.0 0.0 0.0 0.0 
2.385 484.83 1.0 0.0 0.0 0.0 0.0 0.0 
2.5417 1221.1 0.0 0.0 0.0 1.0 0.0 0.0 
2.5609 634.49 0.0 0.0 1.0 0.0 0.0 0.0 
2.3654 716.49 0.0 1.0 0.0 0.0 0.0 0.0 
2.4439 472.37 0.0 0.0 1.0 0.0 0.0 0.0 
2.5918 683.76 0.0 0.0 0.0 1.0 0.0 0.0 
2.2791 1106.0 0.0 0.0 0.0 1.0 0.0 0.0 
2.4541 1068.3 0.0 0.0 0.0 0.0 1.0 0.0 
2.4107 955.74 0.0 0.0 0.0 1.0 0.0 0.0 
2.6278 568.4 0.0 1.0 0.0 0.0 0.0 0.0 
2.7156 662.15 1.0 0.0 0.0 0.0 0.0 0.0 
2.4187 1277.4 0.0 0.0 0.0 0.0 0.0 1.0 
2.3942 398.87 0.0 1.0 0.0 0.0 0.0 0.0 
2.5047 1088.4 0.0 0.0 1.0 0.0 0.0 0.0 
2.4097 508.47 0.0 0.0 0.0 1.0 0.0 0.0 
2.466 1108.5 0.0 0.0 0.0 1.0 0.0 0.0 
2.7868 611.87 0.0 0.0 0.0 1.0 0.0 0.0 
2.4932 512.1 0.0 0.0 1.0 0.0 0.0 0.0 
2.486 626.87 1.0 0.0 0.0 0.0 0.0 0.0 
2.5254 1272.6 0.0 0.0 0.0 1.0 0.0 0.0 
2.4248 835.68 0.0 0.0 0.0 0.0 1.0 0.0 
2.4671 616.48 0.0 0.0 1.0 0.0 0.0 0.0 
2.3759 707.53 0.0 0.0 1.0 0.0 0.0 0.0 
2.7365 881.34 0.0 1.0 0.0 0.0 0.0 0.0 
2.13 262.26 0.0 0.0 0.0 0.0 0.0 1.0 
2.5386 1279.9 0.0 1.0 0.0 0.0 0.0 0.0 
2.6375 600.6 0.0 0.0 1.0 0.0 0.0 0.0 
2.5369 1007.9 1.0 0.0 0.0 0.0 0.0 0.0 
2.5065 1854.2 0.0 1.0 0.0 0.0 0.0 0.0 
2.9103 353.19 0.0 0.0 0.0 0.0 0.0 1.0 
2.8032 569.0 0.0 0.0 0.0 1.0 0.0 0.0 
2.4069 384.05 1.0 0.0 0.0 0.0 0.0 0.0 
2.6855 594.56 1.0 0.0 0.0 0.0 0.0 0.0 
2.2822 433.5 1.0 0.0 0.0 0.0 0.0 0.0 
2.5376 600.02 0.0 0.0 1.0 0.0 0.0 0.0 
2.8666 527.01 0.0 1.0 0.0 0.0 0.0 0.0 
2.2635 1794.1 0.0 0.0 0.0 1.0 0.0 0.0 
2.5284 777.73 0.0 0.0 0.0 1.0 0.0 0.0 
2.6045 693.38 1.0 0.0 0.0 0.0 0.0 0.0 
2.5108 1740.8 0.0 0.0 0.0 0.0 0.0 1.0 
2.5946 934.75 0.0 0.0 0.0 0.0 0.0 1.0 
2.7023 491.81 1.0 0.0 0.0 0.0 0.0 0.0 
3.0759 895.76 1.0 0.0 0.0 0.0 0.0 0.0 
2.6785 618.09 0.0 0.0 0.0 1.0 0.0 0.0 
2.4426 967.5 0.0 0.0 1.0 0.0 0.0 0.0 
2.3999 656.44 0.0 1.0 0.0 0.0 0.0 0.0 
2.7491 778.44 1.0 0.0 0.0 0.0 0.0 0.0 
2.4535 474.75 1.0 0.0 0.0 0.0 0.0 0.0 
2.4855 168.37 0.0 0.0 0.0 0.0 1.0 0.0 
2.6095 770.5 1.0 0.0 0.0 0.0 0.0 0.0 
2.6549 815.97 0.0 0.0 0.0 1.0 0.0 0.0 
2.4822 299.53 0.0 0.0 1.0 0.0 0.0 0.0 
2.5308 1454.5 0.0 1.0 0.0 0.0 0.0 0.0 
2.3347 732.04 1.0 0.0 0.0 0.0 0.0 0.0 
2.4896 780.81 0.0 0.0 1.0 0.0 0.0 0.0 
3.1537 262.66 0.0 1.0 0.0 0.0 0.0 0.0 
2.7705 862.18 1.0 0.0 0.0 0.0 0.0 0.0 
2.5361 623.19 1.0 0.0 0.0 0.0 0.0 0.0 
2.8115 1171.2 0.0 0.0 0.0 1.0 0.0 0.0 
2.5534 928.87 0.0 1.0 0.0 0.0 0.0 0.0 
2.4503 356.64 0.0 0.0 0.0 1.0 0.0 0.0 
2.6172 846.72 1.0 0.0 0.0 0.0 0.0 0.0 
2.4568 1317.2 0.0 0.0 0.0 1.0 0.0 0.0 
2.4268 1258.8 0.0 0.0 0.0 0.0 1.0 0.0 
1.9199 619.8 1.0 0.0 0.0 0.0 0.0 0.0 
2.4757 789.71 0.0 0.0 0.0 0.0 1.0 0.0 
2.5171 1099.0 0.0 1.0 0.0 0.0 0.0 0.0 
2.3784 441.09 1.0 0.0 0.0 0.0 0.0 0.0 
2.8794 647.74 1.0 0.0 0.0 0.0 0.0 0.0 
2.6007 1035.4 0.0 0.0 0.0 0.0 1.0 0.0 
2.5188 496.05 1.0 0.0 0.0 0.0 0.0 0.0 
2.8855 526.23 0.0 0.0 0.0 1.0 0.0 0.0 
2.4706 924.39 1.0 0.0 0.0 0.0 0.0 0.0 
2.4932 1008.1 0.0 0.0 0.0 1.0 0.0 0.0 
2.3439 471.58 0.0 1.0 0.0 0.0 0.0 0.0 
2.4227 681.66 0.0 0.0 0.0 0.0 1.0 0.0 
2.4825 554.31 0.0 0.0 0.0 0.0 1.0 0.0 
2.3846 1064.4 0.0 1.0 0.0 0.0 0.0 0.0 
2.3545 191.72 0.0 1.0 0.0 0.0 0.0 0.0 
2.7279 462.06 1.0 0.0 0.0 0.0 0.0 0.0 
2.2654 572.98 0.0 1.0 0.0 0.0 0.0 0.0 
2.34 205.54 0.0 1.0 0.0 0.0 0.0 0.0 
2.7566 778.82 0.0 0.0 0.0 1.0 0.0 0.0 
1.4976 845.31 0.0 0.0 0.0 0.0 0.0 1.0 
2.4392 946.84 0.0 0.0 0.0 0.0 1.0 0.0 
2.2697 470.79 0.0 0.0 0.0 0.0 1.0 0.0 
2.4299 442.48 0.0 0.0 1.0 0.0 0.0 0.0 
2.5732 608.06 0.0 0.0 0.0 1.0 0.0 0.0 
2.4658 398.94 0.0 1.0 0.0 0.0 0.0 0.0 
2.3752 232.92 0.0 0.0 1.0 0.0 0.0 0.0 
2.5728 1143.7 0.0 0.0 0.0 0.0 0.0 1.0 
2.5418 346.82 0.0 1.0 0.0 0.0 0.0 0.0 
2.387 471.59 0.0 1.0 0.0 0.0 0.0 0.0 
2.5117 834.38 0.0 0.0 0.0 0.0 1.0 0.0 
3.1687 589.12 1.0 0.0 0.0 0.0 0.0 0.0 
2.4571 478.14 0.0 0.0 0.0 1.0 0.0 0.0 
2.6434 711.76 0.0 0.0 0.0 1.0 0.0 0.0 
2.5813 905.55 0.0 0.0 0.0 0.0 0.0 1.0 
2.4819 527.48 1.0 0.0 0.0 0.0 0.0 0.0 
2.3702 1050.7 0.0 0.0 1.0 0.0 0.0 0.0 
2.1732 491.1 1.0 0.0 0.0 0.0 0.0 0.0 
2.5975 1015.3 0.0 0.0 0.0 0.0 0.0 1.0 
2.4645 1293.8 0.0 0.0 0.0 0.0 0.0 1.0 
2.7037 544.17 1.0 0.0 0.0 0.0 0.0 0.0 
2.4082 424.57 0.0 1.0 0.0 0.0 0.0 0.0 
2.5838 357.03 0.0 0.0 0.0 1.0 0.0 0.0 
2.5711 1528.2 0.0 0.0 0.0 0.0 0.0 1.0 
2.719 944.72 0.0 0.0 0.0 1.0 0.0 0.0 
2.4656 1034.4 0.0 0.0 0.0 1.0 0.0 0.0 
2.4586 767.23 0.0 0.0 1.0 0.0 0.0 0.0 
2.5297 777.68 0.0 0.0 0.0 0.0 0.0 1.0 
2.6081 401.59 0.0 1.0 0.0 0.0 0.0 0.0 
2.3808 1509.4 0.0 0.0 0.0 0.0 0.0 1.0 
2.6301 439.02 0.0 1.0 0.0 0.0 0.0 0.0 
2.067 412.56 0.0 1.0 0.0 0.0 0.0 0.0 
2.4451 935.41 1.0 0.0 0.0 0.0 0.0 0.0 
2.431 503.49 0.0 1.0 0.0 0.0 0.0 0.0 
2.3517 1485.4 0.0 0.0 0.0 1.0 0.0 0.0 
2.4855 762.36 0.0 0.0 1.0 0.0 0.0 0.0 
1.9392 1015.0 0.0 0.0 1.0 0.0 0.0 0.0 
2.4572 746.94 1.0 0.0 0.0 0.0 0.0 0.0 
2.3947 861.3 0.0 0.0 0.0 1.0 0.0 0.0 
2.5181 1003.0 0.0 1.0 0.0 0.0 0.0 0.0 
2.5088 541.28 0.0 0.0 0.0 0.0 0.0 1.0 
2.4799 881.3 0.0 0.0 0.0 1.0 0.0 0.0 
2.4656 701.01 1.0 0.0 0.0 0.0 0.0 0.0 
2.6982 512.11 0.0 0.0 0.0 1.0 0.0 0.0 
2.6293 1388.3 0.0 0.0 0.0 1.0 0.0 0.0 
2.739 807.56 0.0 1.0 0.0 0.0 0.0 0.0 
1.9574 664.94 1.0 0.0 0.0 0.0 0.0 0.0 
2.5469 383.96 0.0 1.0 0.0 0.0 0.0 0.0 
2.4504 847.69 0.0 0.0 1.0 0.0 0.0 0.0 
2.421 859.52 0.0 0.0 0.0 0.0 0.0 1.0 
2.5402 1201.7 0.0 0.0 1.0 0.0 0.0 0.0 
2.4913 600.71 1.0 0.0 0.0 0.0 0.0 0.0 
2.5127 895.2 0.0 0.0 0.0 0.0 1.0 0.0 
2.4869 903.07 0.0 0.0 0.0 0.0 1.0 0.0 
3.0197 768.45 0.0 1.0 0.0 0.0 0.0 0.0 
2.9547 272.19 0.0 1.0 0.0 0.0 0.0 0.0 
2.4912 927.96 0.0 0.0 0.0 0.0 0.0 1.0 
2.4781 748.81 0.0 1.0 0.0 0.0 0.0 0.0 
2.4662 571.71 0.0 0.0 1.0 0.0 0.0 0.0 
2.8219 721.51 1.0 0.0 0.0 0.0 0.0 0.0 
2.4408 349.61 0.0 0.0 0.0 1.0 0.0 0.0 
2.3502 981.99 0.0 1.0 0.0 0.0 0.0 0.0 
2.4818 1033.6 0.0 0.0 1.0 0.0 0.0 0.0 
2.1971 930.17 0.0 1.0 0.0 0.0 0.0 0.0 
2.5978 726.51 1.0 0.0 0.0 0.0 0.0 0.0 
2.5348 648.68 0.0 0.0 0.0 0.0 0.0 1.0 
2.208 473.41 0.0 1.0 0.0 0.0 0.0 0.0 
2.4873 2924.4 0.0 0.0 0.0 0.0 0.0 1.0 
2.4507 744.55 0.0 0.0 0.0 0.0 1.0 0.0 
2.4289 346.98 0.0 1.0 0.0 0.0 0.0 0.0 
3.0017 505.36 0.0 1.0 0.0 0.0 0.0 0.0 
2.4013 1141.3 0.0 0.0 0.0 0.0 0.0 1.0 
2.5926 710.32 0.0 0.0 1.0 0.0 0.0 0.0 
2.5324 905.29 0.0 0.0 1.0 0.0 0.0 0.0 
2.5684 1306.5 0.0 0.0 1.0 0.0 0.0 0.0 
2.4314 1567.0 0.0 0.0 0.0 1.0 0.0 0.0 
2.4684 629.75 0.0 0.0 0.0 0.0 0.0 1.0 
2.5653 891.75 0.0 1.0 0.0 0.0 0.0 0.0 
2.5016 397.78 0.0 0.0 0.0 0.0 1.0 0.0 
2.7936 1247.2 0.0 0.0 0.0 0.0 0.0 1.0 
2.4559 1084.8 0.0 0.0 1.0 0.0 0.0 0.0 
2.5025 664.86 0.0 0.0 1.0 0.0 0.0 0.0 
2.7959 1204.8 1.0 0.0 0.0 0.0 0.0 0.0 
2.5666 697.7 0.0 0.0 0.0 0.0 1.0 0.0 
2.4972 407.32 0.0 0.0 0.0 0.0 0.0 1.0 
2.4181 452.92 0.0 1.0 0.0 0.0 0.0 0.0 
2.4985 1091.7 1.0 0.0 0.0 0.0 0.0 0.0 
2.5937 864.04 0.0 0.0 0.0 0.0 0.0 1.0 
1.4369 600.13 1.0 0.0 0.0 0.0 0.0 0.0 
2.3098 515.34 1.0 0.0 0.0 0.0 0.0 0.0 
2.5696 634.19 0.0 0.0 0.0 0.0 0.0 1.0 
2.7591 981.26 0.0 0.0 0.0 0.0 0.0 1.0 
2.5029 532.57 0.0 0.0 0.0 0.0 0.0 1.0 
2.4523 874.53 0.0 0.0 0.0 0.0 1.0 0.0 
2.54 925.79 1.0 0.0 0.0 0.0 0.0 0.0 
2.1573 1127.6 0.0 0.0 0.0 1.0 0.0 0.0 
2.4063 1469.9 0.0 0.0 0.0 0.0 0.0 1.0 
2.4162 1050.9 0.0 0.0 1.0 0.0 0.0 0.0 
2.3402 522.83 1.0 0.0 0.0 0.0 0.0 0.0 
2.5844 606.64 0.0 1.0 0.0 0.0 0.0 0.0 
2.4344 809.35 0.0 0.0 0.0 1.0 0.0 0.0 
2.4713 850.52 0.0 0.0 0.0 0.0 0.0 1.0 
3.0681 375.92 1.0 0.0 0.0 0.0 0.0 0.0 
2.5361 1329.5 0.0 0.0 0.0 0.0 0.0 1.0 
2.1866 629.35 1.0 0.0 0.0 0.0 0.0 0.0 
2.5012 1284.3 0.0 0.0 1.0 0.0 0.0 0.0 
2.5052 463.72 0.0 1.0 0.0 0.0 0.0 0.0 
3.4389 497.85 1.0 0.0 0.0 0.0 0.0 0.0 
2.571 894.75 0.0 1.0 0.0 0.0 0.0 0.0 
2.5749 321.36 1.0 0.0 0.0 0.0 0.0 0.0 
2.4456 1446.0 0.0 0.0 0.0 0.0 0.0 1.0 
2.5283 263.84 0.0 1.0 0.0 0.0 0.0 0.0 
2.1495 501.09 1.0 0.0 0.0 0.0 0.0 0.0 
2.0452 479.16 1.0 0.0 0.0 0.0 0.0 0.0 
2.8428 411.39 1.0 0.0 0.0 0.0 0.0 0.0 
2.5175 1232.8 0.0 0.0 1.0 0.0 0.0 0.0 
2.4789 1026.9 0.0 0.0 0.0 0.0 0.0 1.0 
2.4801 930.07 0.0 0.0 0.0 0.0 0.0 1.0 
2.0042 645.4 1.0 0.0 0.0 0.0 0.0 0.0 
2.4641 810.56 0.0 0.0 1.0 0.0 0.0 0.0 
2.2899 1563.7 0.0 0.0 1.0 0.0 0.0 0.0 
2.2817 618.18 0.0 1.0 0.0 0.0 0.0 0.0 
2.5712 601.37 1.0 0.0 0.0 0.0 0.0 0.0 
2.0988 399.64 0.0 0.0 0.0 1.0 0.0 0.0 
2.4682 977.69 0.0 0.0 1.0 0.0 0.0 0.0 
2.4082 539.37 0.0 1.0 0.0 0.0 0.0 0.0 
2.3805 1144.8 0.0 0.0 0.0 0.0 0.0 1.0 
2.5016 1313.2 0.0 0.0 0.0 0.0 1.0 0.0 
2.554 1147.1 0.0 0.0 1.0 0.0 0.0 0.0 
2.4832 756.28 0.0 0.0 0.0 0.0 1.0 0.0 
2.0895 543.65 1.0 0.0 0.0 0.0 0.0 0.0 
2.4737 898.07 0.0 0.0 0.0 0.0 0.0 1.0 
2.9301 416.06 1.0 0.0 0.0 0.0 0.0 0.0 
2.6838 1016.2 0.0 0.0 0.0 0.0 1.0 0.0 
2.543 919.55 0.0 0.0 0.0 0.0 1.0 0.0 
2.4709 1163.5 0.0 0.0 1.0 0.0 0.0 0.0 
2.4266 1135.9 0.0 1.0 0.0 0.0 0.0 0.0 
2.5981 436.38 0.0 0.0 1.0 0.0 0.0 0.0 
2.8901 471.91 1.0 0.0 0.0 0.0 0.0 0.0 
2.836 777.69 1.0 0.0 0.0 0.0 0.0 0.0 
3.0311 665.7 1.0 0.0 0.0 0.0 0.0 0.0 
2.3474 1109.5 0.0 0.0 1.0 0.0 0.0 0.0 
2.6113 1244.5 0.0 0.0 0.0 1.0 0.0 0.0 
1.8436 612.71 1.0 0.0 0.0 0.0 0.0 0.0 
2.5589 937.43 0.0 0.0 0.0 0.0 1.0 0.0 
2.6259 881.48 0.0 1.0 0.0 0.0 0.0 0.0 
2.333 456.02 1.0 0.0 0.0 0.0 0.0 0.0 
2.227 1041.5 1.0 0.0 0.0 0.0 0.0 0.0 
2.4585 1139.9 0.0 0.0 0.0 0.0 0.0 1.0 
2.3799 1333.0 0.0 1.0 0.0 0.0 0.0 0.0 
2.5397 369.35 1.0 0.0 0.0 0.0 0.0 0.0 
2.6386 1515.0 0.0 0.0 0.0 1.0 0.0 0.0 
2.5531 1100.2 1.0 0.0 0.0 0.0 0.0 0.0 
2.2829 431.67 0.0 0.0 0.0 1.0 0.0 0.0 
2.5012 1058.2 0.0 0.0 1.0 0.0 0.0 0.0 
2.6049 320.89 0.0 1.0 0.0 0.0 0.0 0.0 
2.1374 554.67 1.0 0.0 0.0 0.0 0.0 0.0 
2.525 754.62 0.0 0.0 0.0 0.0 1.0 0.0 
2.3933 833.67 1.0 0.0 0.0 0.0 0.0 0.0 
2.5107 668.34 0.0 1.0 0.0 0.0 0.0 0.0 
2.4868 721.14 0.0 0.0 0.0 1.0 0.0 0.0 
2.4821 451.03 0.0 0.0 0.0 0.0 0.0 1.0 
2.1444 1099.9 0.0 0.0 0.0 0.0 0.0 1.0 
2.5397 1382.5 0.0 0.0 1.0 0.0 0.0 0.0 
2.5284 1299.4 0.0 0.0 1.0 0.0 0.0 0.0 
