TEMP	HUMID	SOLAR	WIND	!WBHW 
83.3	0.0164	0.1	0.08	0.8
82.7	0.0167	0.1	0.8	0.9
80.7	0.0173	0.4	1	0.9
79.7	0.0176	38	2.29	0.9
80.7	0.0178	171.4	4.84	0.8
83.6	0.0176	384	4.39	0.8
87.3	0.0161	586.5	4.19	0.4
90.4	0.0155	599.7	2.31	0.4
92.6	0.0144	800.8	1.95	0.4
95.2	0.0118	839.9	4.5	0.4
96.2	0.0108	783.2	6.25	0.3
97.5	0.01	750.5	7.13	0.3
96	0.0105	257.6	9	0.3
96.1	0.0099	317.1	8.13	0.3
96.8	0.0089	219.5	9.84	0.3
94.5	0.0105	30.9	7.19	0.3
92	0.0115	-0.6	5.71	0.4
89.8	0.0118	-0.5	5.48	0.3
87.9	0.0116	-0.4	5.08	0.3
86.2	0.0112	-0.2	5.4	0.4
84.9	0.0117	-0.1	3.53	0.4
82.9	0.0124	0	2.5	0.4
82.5	0.012	0.1	0	0.5
82	0.0122	0.3	2.24	0.4
81.4	0.0127	0.3	0.55	0.5
79.6	0.0131	0.3	1.05	0.5
76.9	0.0128	0.6	2.21	0.6
76.6	0.0126	38.2	2.38	0.7
77.8	0.0126	199	4.09	0.8
82	0.0123	418.7	3.38	0.7
86.4	0.0132	625.6	3.87	0.7
89.6	0.0111	794.9	4.86	0.4
92.1	0.0096	892.6	6.31	0.5
94	0.0091	942.3	8.45	0.5
95.3	0.0077	897.4	10.96	0.4
96.6	0.0063	795.9	10.27	0.4
97	0.006	630.5	11.76	0.4
96.7	0.0069	405.5	9.64	0.4
95.9	0.0069	166.6	9.44	0.5
94.1	0.0079	25.5	7.44	0.3
91.8	0.009	-0.6	6.53	0.4
89.3	0.0103	-0.5	7.9	0.4
88.4	0.011	-0.4	8.75	0.5
85.8	0.0151	-0.2	6.76	0.4
84.1	0.0165	-0.1	4.5	0.5
82.6	0.0166	-0.1	4.68	0.4
80.5	0.017	0	6.02	0.5
79.2	0.0177	0.1	4.64	0.6
78.3	0.0184	0.3	5.65	0.6
77.9	0.0189	0.3	5.47	0.6
77.6	0.0194	0.7	4.03	0.7
77.4	0.0195	38.2	3.82	0.6
78.4	0.0199	191.9	5.4	0.6
80.8	0.0197	376.7	4.55	0.6
84.2	0.0186	481.1	5.37	0.6
86.8	0.0161	548	4.78	0.6
88.1	0.015	460.6	5.3	0.5
90.3	0.0144	793	4.41	0.5
92	0.0131	458.2	5.36	0.4
90.8	0.014	226.6	7.72	0.5
82.1	0.0178	94.8	4.88	0.4
82	0.0174	70.9	6.13	0.4
82.5	0.0194	64.8	6.27	0.5
83.2	0.0199	12.8	6.72	0.4
82.5	0.0194	-0.2	6.62	0.5
81.5	0.0191	-0.2	5.65	0.4
80.8	0.0194	-0.2	5.44	0.5
80.1	0.0196	-0.1	4.92	0.5
79.3	0.02	-0.1	4.79	0.6
78.1	0.0205	0	5.06	0.5
78.3	0.0205	0	3.86	0.6
77.8	0.0206	0	2.92	0.6
77.2	0.0204	0	3.94	0.7
77	0.0202	0	3.75	0.7
77	0.0203	0.3	3.81	0.7
77	0.0203	44.1	3.56	0.6
78.9	0.021	213.4	5.22	0.7
82.5	0.0197	413.3	5.29	0.6
85.1	0.017	472.3	6.63	0.6
87.1	0.0156	407.4	6.33	0.6
89.6	0.0142	689.5	5.65	0.6
90.8	0.0133	479.2	6.96	0.5
93.4	0.0114	784.2	6.83	0.5
94.9	0.0098	788.1	7.21	0.4
94.7	0.0101	468.4	8.55	0.4
93.3	0.0119	226.4	9.68	0.5
88.3	0.0147	96	10.23	0.4
87.1	0.0153	30.6	7.15	0.4
85.1	0.016	-0.5	6.17	0.4
83.7	0.0162	-0.3	6.06	0.4
82.2	0.0171	-0.3	5.46	0.5
81.2	0.0178	-0.2	4.72	0.4
80.4	0.0181	-0.1	4.71	0.6
79.7	0.0187	-0.1	6.56	0.4
78.8	0.0191	-0.1	2.92	0.6
78.5	0.0193	0	4.55	0.5
77.8	0.0195	-0.2	2.75	0.6
77.5	0.0197	0	3.05	0.7
76.7	0.02	0	3.1	0.7
76.9	0.0201	38.2	3.57	0.6
78.8	0.0203	203.9	4.03	0.6
82.4	0.0196	306.9	6.07	0.6
85.2	0.0176	502.1	6.91	0.5
88.2	0.0146	610	7.2	0.5
89.3	0.0142	381.6	5.82	0.5
92.1	0.0124	724.2	6.21	0.4
92.8	0.012	433.8	7.25	0.4
94.5	0.0111	716.4	6.75	0.4
95.2	0.0106	570	9.72	0.4
92.6	0.0118	140.9	10.02	0.4
91	0.0125	81.2	10.13	0.4
88.4	0.0151	38.5	8.23	0.4
85.7	0.017	-0.6	7.13	0.5
84.4	0.0175	-0.5	5.34	0.4
83.2	0.0184	-0.3	6.13	0.5
82.5	0.0184	-0.3	6.31	0.4
81.7	0.0189	-0.1	5.33	0.4
80.5	0.0193	-0.1	3.18	0.5
79.5	0.0196	-0.1	2.59	0.5
78.6	0.0201	0	3.14	0.6
78.3	0.0206	0	4.69	0.6
78.1	0.0209	0	5.39	0.7
77.7	0.0207	0.1	3.87	0.6
77.1	0.0203	28.4	3.61	0.8
78.5	0.0213	139.5	4.72	0.6
82.3	0.0209	371.3	7.33	0.8
85.4	0.0176	633.4	9.25	0.7
88.8	0.0143	799.8	9.34	0.7
91.6	0.012	897.4	8.11	0.6
93.6	0.0107	862.3	8.4	0.6
94.9	0.0098	876.9	7.76	0.7
95.7	0.0091	637.3	6.79	0.6
96.7	0.0077	629	6.9	0.6
96.5	0.0076	370.3	6.37	0.7
95.5	0.0084	139.5	6.04	0.6
94	0.009	12.6	5.31	0.6
90.6	0.0127	-0.7	5.09	0.7
88.8	0.0125	-0.6	6.92	0.6
87.3	0.0135	-0.5	8.72	0.6
85.6	0.0154	-0.5	8.13	0.7
84.2	0.0164	-0.3	7.63	0.6
83.1	0.0173	-0.3	8.1	0.7
81.6	0.0178	-0.2	6.95	0.7
80.9	0.018	-0.1	3.12	0.7
81.1	0.0182	-0.1	1.66	0.7
80.3	0.0184	-0.1	2.17	0.6
79.5	0.0188	-0.1	4.46	0.7
79.1	0.0178	15.5	5.62	0.7
78.9	0.0157	172.7	8.22	0.7
80.1	0.0165	225.6	7.55	0.8
82	0.0167	452.3	7.81	0.7
85.6	0.0158	753	3.84	0.7
89.1	0.0133	681.2	1.13	0.7
91.1	0.0123	677.8	2.32	0.7
91.4	0.0125	545.5	7.18	0.6
89.4	0.0134	498.7	11.09	0.6
87.6	0.0113	314.2	7.32	0.6
89.6	0.01	430.9	5.9	0.7
89.5	0.0108	107.5	7	0.6
83	0.0116	7.9	4.9	0.7
82.5	0.0114	-0.2	2.94	0.6
82.9	0.0121	-0.1	1.48	0.7
82	0.0136	-0.1	1.96	0.7
80.5	0.0153	-0.1	3.81	0.7
79.9	0.0158	-0.1	4.93	0.7
80.5	0.0165	-0.1	4.65	0.8
79.7	0.0168	0	4.38	0.7
78.2	0.0171	0	3.73	0.8
77.2	0.0178	0.1	4.42	0.8
76.1	0.0185	0.1	4.42	0.9
76	0.019	0.4	4.44	0.9
76.3	0.0191	39.7	4.19	1
78.6	0.019	230	3.17	0.8
82.4	0.0192	285.4	1.07	0.8
84.4	0.0181	367.4	2.4	0.7
86.3	0.0165	421.1	4.03	0.6
87.3	0.0158	666.6	7.72	0.6
84.9	0.0163	528	7.34	0.6
79.2	0.0185	136.6	8.38	0.6
78.3	0.0174	154.1	6.44	0.6
82.4	0.0161	545.1	10.57	0.5
84.6	0.0155	430.4	11.28	0.5
83.9	0.0155	95.3	9.17	0.4
82.5	0.0159	7.7	6.68	0.5
80.4	0.0162	-0.2	4.15	0.5
79.2	0.0168	-0.1	4.04	0.5
78.3	0.0171	-0.1	3.49	0.6
77.4	0.0174	0	1.25	0.7
76.7	0.0178	0.1	2	0.7
76.4	0.0183	0.1	2.76	0.7
76	0.0185	0.1	2.01	0.9
75.7	0.0186	0.1	3.22	0.9
75.3	0.0189	0.1	3.46	0.8
75.3	0.0188	0.1	3.89	0.9
74.6	0.0187	0.1	3.83	0.8
74.4	0.0185	25.5	4.18	0.9
75.5	0.0192	127.8	5.56	0.9
77.2	0.0194	243.4	6.71	0.9
80.4	0.0185	573.4	3.73	0.7
85.2	0.0163	701.2	5.01	0.7
88.2	0.0138	721.3	4.47	0.5
90.1	0.012	834	5.37	0.5
92.3	0.0111	880.8	5.41	0.5
93.1	0.011	775.4	5.29	0.4
93.4	0.0106	593.4	7.12	0.5
91.6	0.012	161.4	9.43	0.4
90.6	0.0118	104.3	6.34	0.4
89.4	0.0129	15.3	6.87	0.4
87.5	0.0137	-0.7	5.88	0.5
86.4	0.0142	-0.6	6.17	0.5
84.6	0.0155	-0.5	6.58	0.6
82.5	0.0167	-0.3	5.01	0.5
81.4	0.0172	-0.2	3.21	0.6
80.2	0.0177	-0.1	2.45	0.7
78.8	0.0184	-0.1	3.72	0.7
77.9	0.019	-0.1	3.29	0.7
77	0.0198	-0.1	3.56	0.7
76.7	0.02	0	3.95	0.8
76.7	0.0201	0.3	3.8	0.8
77.2	0.0203	28	4.58	0.9
78.3	0.02	165.8	2.95	0.8
81.8	0.0191	342	4.5	0.7
84.2	0.0181	478.2	5.61	0.6
83.5	0.0182	211.7	8.63	0.5
76.4	0.0182	34.3	10.84	0.5
74	0.018	226.6	10.42	0.5
74.7	0.0173	190.5	11.74	0.6
75.2	0.0162	164.6	12.26	0.5
76.4	0.0159	227.8	9.14	0.6
75.3	0.0173	74.1	8.22	0.5
76.1	0.0173	111	7.48	0.6
76.7	0.0153	17.5	10.5	0.6
72.3	0.0145	0.1	13	0.9
67.2	0.0127	0.4	14.1	1.1
65.4	0.0121	0.5	13.3	1.5
64.8	0.012	0.6	10.7	1.4
64.6	0.0118	0.6	9.4	1
64.5	0.0112	0.6	10.9	1.5
63.8	0.0108	0.6	11.6	1.4
62.9	0.0109	0.7	9.1	1.4
62.1	0.0107	0.7	10.5	1.8
62	0.0105	0.7	8.75	1.6
61.6	0.0103	0.9	8.32	1.5
61.3	0.01	18.2	11	1.9
60.9	0.0099	36.5	12.8	1.8
61	0.0097	85.5	11.9	1.4
60.9	0.0093	189	13	1.5
62.4	0.009	330	10.2	1
64.6	0.0087	564	10.8	0.4
68.2	0.0083	937	10.6	0.7
68.5	0.008	762	11.4	0.7
68.5	0.008	692	11.2	0.6
68.8	0.0079	615	10.9	0.8
68.7	0.0079	418	9.96	0.7
68.2	0.008	188	7.14	0.7
67.2	0.0085	14	6.32	0.7
65.7	0.0088	0.6	4.19	0.8
64.6	0.0091	0.7	4.45	0.9
63.7	0.0092	0.9	5.23	0.9
63	0.0091	0.9	5.07	1.3
62.3	0.0092	1	4.09	1.2
61.6	0.0094	1.1	3.55	1.4
60.7	0.0096	1.2	2.29	1.3
60.5	0.0095	1.2	0.35	1.4
59.5	0.0097	1.2	1.83	1.4
58.8	0.0096	1.1	2.64	3
57.6	0.0097	1.5	3.57	1.6
58	0.0097	37.5	3.87	1.9
60.8	0.0095	218	4.98	1
64.5	0.0088	441	7.01	1.1
67.7	0.0081	647	7.22	0.9
70.6	0.0036	809	7.92	0.8
73.7	0.007	913	9	0.7
76.2	0.0067	943	8.51	0.8
78.3	0.0062	908	9.8	0.7
79.5	0.0062	803	9.04	0.7
80.2	0.0061	635	9.18	0.7
80.2	0.006	425	9.05	0.8
78.9	0.0066	196	8.74	0.6
75.9	0.0074	18.7	7.44	0.8
72.9	0.0083	0.4	5.69	0.7
70.2	0.0089	0.6	4.97	0.7
68.4	0.0093	0.7	4.15	0.8
66.2	0.0097	0.7	7.02	0.9
64.1	0.0099	1	8.51	1.2
62.6	0.0098	1.1	8.88	1.2
61.6	0.0098	1.1	7.71	1.4
60.7	0.01	1.2	6.68	2.2
60.9	0.01	1.2	1.91	1.3
60.5	0.0099	1.4	0.02	1.5
59.4	0.0101	1.4	0.02	1.5
59	0.01	40.4	0.08	1.5
61.5	0.0101	218	0.86	1.5
66.1	0.0094	441	1.88	1.6
69.3	0.0091	651	1.62	1.4
72.8	0.0083	818	1.54	1.2
77	0.0074	923	4.17	1.2
80.4	0.0064	955	5.22	1
82.8	0.0052	916	6.21	0.9
83.9	0.0044	811	5.73	0.9
84.7	0.0047	638	5.98	0.9
84.6	0.0045	425	5.26	0.9
83.9	0.0048	192	5.08	0.9
82.2	0.0052	17.5	2.53	0.9
80.1	0.0061	-0.1	4.12	0.9
78.2	0.007	0	4.13	0.9
76.9	0.0073	0.1	4.39	0.9
76	0.0077	0.1	3.66	1
75.9	0.0078	0.3	2.15	0.9
75	0.0082	0.4	1.17	1
69.2	0.0093	0.6	4.07	0.9
69.2	0.0096	0.7	0.92	1
68.8	0.0097	0.9	1.36	1.1
67.7	0.0099	1	1.36	1.4
64.3	0.0102	1.2	0.09	1.3
62.9	0.0104	34.5	1.86	1.3
65	0.0108	211	3.71	1.5
70.4	0.0112	434	2.93	1.4
76	0.0106	643	1.98	1.3
79.4	0.0093	806	2.86	1
82	0.0073	917	3.48	1
84.6	0.0067	954	3.61	1
86.2	0.0056	899	4.29	0.9
87.2	0.0043	798	3.13	0.9
87.9	0.0037	632	4.26	0.9
87.8	0.0038	413	5.44	0.9
87.1	0.0042	181	6.78	0.9
85.4	0.0037	14.3	4.77	0.9
83	0.005	-0.2	3.92	1
79.1	0.0064	0.1	2.22	0.9
78.3	0.0068	0.4	1.52	0.9
76.7	0.0072	0.5	3.69	1
76.2	0.0075	0.5	3.97	1
72.5	0.0088	0.6	1.87	0.9
72.2	0.009	0.7	1.92	1
70.5	0.0094	0.9	1.56	1
69.3	0.0096	1	2.16	0.9
68.8	0.0098	1	2.64	1
68.3	0.0102	1	1.55	1
65.5	0.0107	31.6	1.95	1.1
67.5	0.011	201	4.25	1
71.7	0.01	423	8.32	0.9
76	0.009	632	7.53	0.8
79.9	0.0078	799	6.3	0.8
82.4	0.007	902	4.67	0.7
84.2	0.0061	936	5.48	0.6
86.1	0.0056	895	5.15	0.7
86.9	0.0042	792	6.07	0.5
87.2	0.0043	620	5.75	0.6
86.9	0.0042	404	7.44	0.6
85.9	0.0046	172	8.11	0.5
83	0.0054	12.1	7.6	0.6
79.6	0.007	0.1	8.3	0.6
76.7	0.0077	0.4	9.85	0.7
73.9	0.0081	0.4	8.25	0.7
71.8	0.0084	0.6	7.38	0.7
70	0.0086	0.7	5.4	0.8
68.6	0.0088	0.9	3.63	0.9
67.4	0.0092	1	2.91	0.9
66.6	0.0096	1.1	1.56	0.9
65.5	0.0097	1.1	0.55	0.9
64.6	0.0098	1.2	1.39	1
64	0.0099	1.4	2.38	0.9
63.5	0.01	30.9	2.51	0.9
64.8	0.0103	196	4.33	1
69.6	0.0101	420	5.48	0.8
75.5	0.009	630	5.41	0.8
80	0.0068	794	6.94	0.7
82.5	0.0059	900	6.43	0.6
84.4	0.0051	931	6.22	0.6
86	0.0049	880	5.98	0.6
87.2	0.0044	769	6.12	0.6
87.8	0.0042	603	5.04	0.5
87.8	0.0043	385	7.5	0.6
87	0.0043	153	6.83	0.5
85	0.0045	8.9	5.63	0.5
82.3	0.0052	0	4.1	0.6
79.1	0.0064	0.1	3.49	0.5
76.5	0.0072	0.4	4.09	0.7
74.5	0.008	0.5	4.8	0.8
73.1	0.0086	0.6	5.15	0.8
72.2	0.009	0.6	4.79	0.9
71.8	0.0093	0.7	4.01	0.9
71.6	0.0093	0.7	3	0.9
68.9	0.0098	0.7	1.53	0.8
67.2	0.01	1	0.78	1.4
66.7	0.0101	1.2	1.84	1.2
65.6	0.0101	28.9	2.35	1.4
67	0.0103	189	3.82	1.1
72.5	0.01	408	4.93	1
79	0.008	611	8.35	0.8
83.1	0.0056	766	10.1	0.7
84.8	0.0051	878	8.41	0.7
86.6	0.0043	905	6.9	0.6
87.9	0.0041	858	6.35	0.6
88.6	0.0044	746	5.98	0.5
89.4	0.0038	578	6.33	0.6
89.2	0.0037	343	6.17	0.5
88	0.0041	107	7.09	0.5
85.6	0.0049	5.5	5.03	0.5
83.4	0.0059	0	3.51	0.6
80.5	0.0065	0.1	3.17	0.6
77.4	0.007	0.3	5.17	0.6
76.2	0.0083	0.4	4.67	0.7
73.9	0.009	0.5	2.21	0.7
72.5	0.0093	0.7	2.48	0.8
71.2	0.0098	0.9	2.18	0.8
70.7	0.0101	0.9	2.26	0.9
69.8	0.0103	1	0.64	0.8
68.2	0.0104	1	1.63	1
67.5	0.0105	1.1	2.73	0.9
67	0.0107	25.8	3.43	1
69.7	0.0108	177	3.64	0.9
73.7	0.0107	388	3.48	0.9
78.4	0.0097	595	2.9	0.7
82.6	0.0068	754	6.82	0.7
84.7	0.0055	869	8.85	0.6
85.6	0.0051	896	10	0.6
86.6	0.0046	863	9.1	0.5
87.6	0.0037	753	7.7	0.5
87.7	0.0035	569	7.18	0.5
87.5	0.0037	332	6	0.5
86.5	0.0043	119	5.71	0.5
84.4	0.0051	5.1	3.67	0.5
82.1	0.006	0	4.24	0.5
80.2	0.0065	0.1	4.83	0.5
77.8	0.0071	0.3	4.97	0.7
76.2	0.0074	0.4	3.99	0.6
75	0.0074	0.6	1.58	0.7
73.4	0.0078	0.6	1.15	0.8
70.3	0.0086	0.9	2.69	1
68.8	0.0088	1	2.31	1
69	0.0086	1	1.61	1
67.7	0.009	1.1	2.81	0.9
66.9	0.0093	1.1	2.26	1
67.3	0.0093	23.6	1.35	0.9
68.8	0.0093	175	1.14	1
74.6	0.0086	388	3.09	1
78.7	0.0076	588	8.14	0.7
82.2	0.0057	748	11.6	0.5
83.7	0.0054	738	11.7	0.6
84.7	0.0042	648	12.2	0.5
84.4	0.0025	411	10.9	0.5
85.3	0.0057	445	10.4	0.4
85	0.0069	333	13.1	0.5
84.2	0.0066	319	12.8	0.5
84.2	0.0041	138	11.1	0.5
82.1	0.0026	7.9	11.9	0.4
78.1	0.0036	0.1	11.6	0.6
75.5	0.0043	0.5	9.2	0.7
73.7	0.0046	0.5	6.55	0.8
72	0.0048	0.7	5.48	0.9
70.8	0.0046	0.9	6.72	1
69.5	0.0045	1	6.13	1
67.7	0.0048	1	7.02	1
66.6	0.0049	1	8.92	1.2
65.8	0.0051	1.1	8.59	1.5
65	0.0054	1.2	9.53	1.5
65	0.0058	1.1	10.3	1.9
65.4	0.0064	20.1	10.4	1.8
66.2	0.0068	148	12.8	1.3
67.5	0.0071	256	14.3	1.4
68.8	0.0071	307	15.5	1.3
70	0.0059	364	16.5	1.3
71.3	0.0063	474	14.3	1.3
71.5	0.0002	366	15.1	1.2
71.6	0.0029	425	15.8	1.3
72.4	0.003731	547	15.3	1.2
73.2	0.003886	459	13.1	1.4
71.5	0.0039	184	14.4	1.1
69.8	0.0048	33.3	13.4	1.2
68.4	0.0047	3.3	11.2	1.1
67.5	0.0046	0.9	10.9	1.3
66.7	0.0047	0.9	11.7	1.5
65.9	0.005	0.9	9.78	1.6
65.6	0.0054	0.9	7.61	1.5
64.7	0.0057	0.9	8.22	2
64	0.006	1.1	9.23	1.3
62.5	0.006	1.2	9.45	1.9
61.3	0.0059	1.4	6.33	2
60.1	0.0061	1.5	6.86	2
58.6	0.0061	1.6	6.87	2.1
57.2	0.0058	1.7	6.22	2.1
55.9	0.0049	26	5.74	2.3
56.5	0.0037	186	7.3	2
58.8	0.0032	404	10.5	2.2
62	0.003	615	8.08	2
65.7	0.0024	778	9.47	1.9
68.5	0.0026	879	11.2	1.8
70.6	0.0027	910	10.5	1.6
72.1	0.0025	871	10.9	1.5
73	0.0025	764	9.98	1.5
74	0.0024	595	8.39	1.3
73.9	0.0019	383	9.54	1.3
73	0.0022	155	8.06	1.3
70.2	0.0026	7.7	5.82	1.2
67	0.003	1	5.78	1.3
65.2	0.003	1.2	6.04	1.3
63.6	0.0031	1.4	6.15	1.3
61.1	0.0035	1.5	7.11	1.6
58.9	0.0036	1.5	6.3	1.8
57.3	0.0038	1.7	5.73	1.9
56.1	0.0039	1.7	5.42	2
55.1	0.0039	2	5.68	2.1
54.2	0.0039	2.1	5.58	2.3
53.6	0.004	2.1	5.15	2.5
52.9	0.0041	2.2	4.33	2.5
53.1	0.0042	29.7	3.65	2.5
55.7	0.0041	206	4.83	1.8
60.1	0.0041	432	5.84	1.7
66.1	0.003	642	9.84	1.6
69.4	0.0019	806	11.6	1.5
71.5	0.0017	907	10.9	1.3
74	0.0015	933	10.2	1.2
76	0.0011	892	10.5	1.2
77.6	0.0006	780	9.89	1.1
78.1	0.0002	608	10.9	1.1
78	0.0005	388	9.12	1.1
76.9	0.0008	154	8.42	1
73.7	0.0015	6.5	5.89	1.1
70.6	0.002	0.6	6.53	1.2
69	0.0022	0.9	7.14	1.3
67.2	0.0025	1	8.15	1.3
65.2	0.003	1.1	7.14	1.6
64	0.0032	1.2	8.34	1.6
61.9	0.0037	1.2	6.07	1.6
60.2	0.004	1.5	4.66	1.7
59.3	0.0043	1.5	3.06	2
58.7	0.0046	1.5	5.37	2
57.6	0.005	1.5	5.41	2
57	0.0054	1.5	4.75	2.1
56.7	0.0057	23.6	4.83	2.1
59	0.0064	178	4.87	2
64.9	0.0067	397	6.06	1.7
70.3	0.0062	601	8.97	1.4
73	0.0053	762	9.35	1.2
75.7	0.0044	863	8.99	1.1
78.2	0.0037	896	7.83	0.9
79.7	0.0032	854	8.72	0.9
81.1	0.0026	745	9.31	0.8
81.6	0.0017	577	7.87	0.7
81.4	0.0018	363	9.15	0.8
80.4	0.0016	139	7.5	0.8
77.5	0.002	5.1	5.04	1
74.7	0.0025	0.5	5.3	0.9
72.7	0.0026	0.6	6.54	1
69.7	0.0033	0.7	3.89	0.9
67.1	0.0037	0.9	3.7	0.9
65.1	0.004	1.2	5.68	1.1
64.3	0.0043	1.2	5.17	1.4
63.3	0.0044	1.2	6.4	1.5
63.1	0.0046	1.2	6.08	1.6
62.4	0.0049	1.4	4.76	1.6
62	0.0051	1.4	3.02	1.7
60.5	0.0054	1.5	4.3	1.7
60	0.0054	24.3	6.82	2.6
62.1	0.0053	180	6.24	1.5
66.7	0.005	392	7.2	1.3
70.5	0.0047	596	7.45	1.3
74.8	0.004	756	6.96	1.1
77.9	0.0031	858	8.15	1.1
80	0.0023	895	9.58	1
81.9	0.0016	856	9.31	0.9
82.8	0.001	743	9.93	0.8
82.7	0.0013	568	9.99	0.8
82.6	0.001	358	9.34	0.7
81.4	0.0014	134	8.08	0.8
78.5	0.0023	4.2	5.69	0.7
75.5	0.003	0.4	5.66	0.8
72.9	0.0035	0.6	3.91	1
70.4	0.004	0.7	4.7	1.2
68.5	0.0043	0.9	5.41	1.4
66.4	0.0045	1.1	4.98	1.5
64.8	0.0047	1.1	4.46	1.4
63.3	0.005	1.2	4.07	1.4
62.2	0.0051	1.4	2.87	1.5
61.2	0.0052	1.4	1.58	1.8
60.6	0.0054	1.5	2.97	1.8
59.9	0.0057	1.5	1.81	2.1
59	0.0058	22.6	1.8	2.1
61	0.006	180	3.44	1.9
65.8	0.0063	393	3.03	1.6
71.4	0.0063	600	3.33	1.2
75.7	0.0048	756	7.98	1
77.9	0.0037	861	8.04	1
80.2	0.0028	887	7.08	0.9
81.5	0.0027	840	7.48	0.9
83.1	0.0021	728	6.81	0.8
83.3	0.0022	553	5.63	0.8
83	0.0032	334	6.81	0.7
81.2	0.0062	116	7.69	0.7
77.6	0.0082	3.2	8.14	0.8
74.8	0.009	0.4	5.46	0.8
72.9	0.0094	0.5	4.07	0.9
71.3	0.0099	0.6	4.02	0.9
70.1	0.0103	0.7	3	0.9
69.3	0.0105	0.9	2.3	1.2
68.3	0.0106	1	0.94	1.2
67	0.0108	1	0.42	1.2
65.6	0.011	1.1	0.73	1.3
65.2	0.0112	1.1	0.86	1.3
64.9	0.0113	1.1	1.84	1.4
63.8	0.0114	1.1	2.17	1.4
63.5	0.0115	18.9	2.39	1.4
64.8	0.0118	86.3	1.61	1.3
67.2	0.0118	163	2.27	1.3
69.8	0.0118	264	3.61	1.1
73.9	0.0109	523	7.3	1
76	0.01	491	8.68	1
78.4	0.0089	692	7.69	0.8
80.4	0.0045	688	6.93	0.7
82.1	0.0021	679	6.7	0.7
82.3	0.0063	356	8.26	0.7
82.2	0.0063	288	7.25	0.7
80.5	0.0073	78.7	6.83	0.7
78	0.0085	2.2	4.94	0.7
75.6	0.0093	0.4	5.27	0.7
73.7	0.0101	0.5	5.85	0.9
72	0.0106	0.6	5.61	1
71	0.011	0.6	5.98	0.9
69.9	0.0113	0.6	5.24	1.1
68.5	0.0117	0.9	3.96	1.1
67.3	0.0119	0.9	5.36	1.2
66	0.012	1	5.38	1.2
65.3	0.0122	1.1	4.41	1.4
64.8	0.0123	1.1	3.99	1.4
64.5	0.0125	1.1	4.2	1.4
