x1	x2	irelevant1	irelevant2	irelevant3	irelevant4	irelevant5	!spiral2
-1.00454	2.42518	0.138841633	0.337818492	0.654829732	0.833202612	0.125808456	0
1.00454	-2.42518	0.606334357	0.74650958	0.587063205	0.262508299	0.311361902	1
-1.4931	2.23457	0.523669074	0.638494086	0.033410583	0.875183223	0.688199456	0
1.4931	-2.23457	0.875298452	0.557286504	0.593826139	0.987806673	0.61556107	1
-1.94454	1.94454	0.183077017	0.97842679	0.779492825	0.547359338	0.253109876	0
1.94454	-1.94454	0.547553365	0.262704314	0.925407547	0.435719776	0.623233109	1
-2.33851	1.56254	0.734728688	0.894235413	0.167493361	0.328381052	0.705057329	0
2.33851	-1.56254	0.736499118	0.62366149	0.721612739	0.687890638	0.083624641	1
-2.65615	1.10021	0.594646705	0.463002091	0.905882291	0.053989326	0.698089239	0
2.65615	-1.10021	0.411314465	0.072145421	0.422314484	0.010787574	0.727020599	1
-2.88106	0.57308	0.196761503	0.462960808	0.383267521	0.491674008	0.606511456	0
2.88106	-0.57308	0.796131457	0.233129384	0.010511692	0.324994254	0.806022673	1
-3	0	0.580135855	0.375834826	0.331932407	0.614146473	0.241087893	0
3	0	0.969909721	0.534992403	0.111875388	0.60927997	0.710783456	1
-3.00365	-0.59746	0.934962713	0.145569016	0.123749002	0.405306231	0.5008506	0
3.00365	0.59746	0.44082609	0.205403396	0.218417651	0.495151002	0.580100239	1
-2.88712	-1.19589	0.825359775	0.543874933	0.447297441	0.142675449	0.334277074	0
2.88712	1.19589	0.727909734	0.517517485	0.170988091	0.242006402	0.469832652	1
-2.65031	-1.77088	0.815319578	0.460967605	0.854559279	0.333677461	0.812855515	0
2.65031	1.77088	0.195730622	0.265684771	0.899503548	0.300022592	0.628851925	1
-2.2981	-2.2981	0.075831579	0.191097293	0.76012947	0.793746823	0.119696319	0
2.2981	2.2981	0.056166231	0.463212448	0.469624846	0.448139048	0.466942955	1
-1.84033	-2.75424	0.34871239	0.333569339	0.215550891	0.711806527	0.436210661	0
1.84033	2.75424	0.841228083	0.910211386	0.674112453	0.359296691	0.46567982	1
-1.29156	-3.11809	0.879225937	0.813128563	0.846777315	0.188483333	0.196941991	0
1.29156	3.11809	0.044855297	0.960989823	0.706046961	0.606309494	0.309819093	1
-0.67062	-3.37145	0.738935887	0.536710012	0.055208514	0.405531486	0.868002932	0
0.67062	3.37145	0.577324992	0.802241031	0.094842035	0.931964742	0.021367213	1
0	-3.5	0.36682207	0.66010569	0.154124637	0.807900566	0.195468103	0
0	3.5	0.23696918	0.25045003	0.825482859	0.809312655	0.619967387	1
0.69501	-3.49405	0.325550263	0.417164675	0.895218926	0.984940391	0.93935206	0
-0.69501	3.49405	0.409323165	0.29517944	0.913295133	0.296412809	0.461032765	1
1.38723	-3.34906	0.756574284	0.060462355	0.577449485	0.122237919	0.144937792	0
-1.38723	3.34906	0.498390213	0.800475561	0.203012992	0.218463995	0.707163843	1
2.04866	-3.06604	0.018760569	0.036290704	0.006393205	0.274002042	0.460317743	0
-2.04866	3.06604	0.288741639	0.266477461	0.599822032	0.204297036	0.549494121	1
2.65165	-2.65165	0.597371197	0.944316762	0.261101021	0.356856605	0.356791107	0
-2.65165	2.65165	0.156658003	0.824952421	0.634881761	0.869320481	0.634998281	1
3.16998	-2.11811	0.801061824	0.754927962	0.942162459	0.78409386	0.082581293	0
-3.16998	2.11811	0.185056122	0.564085581	0.297681466	0.91946507	0.385383988	1
3.58003	-1.4829	0.642210125	0.832360112	0.124954091	0.405233327	0.031170736	0
-3.58003	1.4829	0.19776644	0.358207658	0.527182591	0.487389135	0.365513429	1
3.86184	-0.76817	0.879176454	0.462037772	0.072158838	0.765099508	0.95000063	0
-3.86184	0.76817	0.186675202	0.016668322	0.003398674	0.080723369	0.817525828	1
4	0	0.637425902	0.244622187	0.206515602	0.291179853	0.085574247	0
-4	0	0.74880488	0.302791295	0.79683975	0.990611956	0.804746725	1
3.98444	0.79256	0.609850013	0.101163786	0.38593113	0.514976068	0.254988915	0
-3.98444	-0.79256	0.933674219	0.139444864	0.656701234	0.386039343	0.881490286	1
3.811	1.57857	0.245778593	0.953216847	0.026720992	0.755269944	0.765077559	0
-3.811	-1.57857	0.293983084	0.683520023	0.90703614	0.004829204	0.736021711	1
3.48178	2.32645	0.894359447	0.884149758	0.595634589	0.277167153	0.647768809	0
-3.48178	-2.32645	0.170158905	0.37943635	0.996263427	0.885806741	0.149917353	1
3.0052	3.0052	0.78311773	0.754146493	0.83687362	0.9945571	0.438701496	0
-3.0052	-3.0052	0.072557533	0.194238737	0.147713441	0.899087882	0.824125176	1
2.3959	3.58571	0.339128172	0.59815037	0.356572937	0.52496456	0.555906165	0
-2.3959	-3.58571	0.970732724	0.987064758	0.491593293	0.494091504	0.977103919	1
1.67424	4.04197	0.44150551	0.46547187	0.784842885	0.320017972	0.612469274	0
-1.67424	-4.04197	0.889401825	0.00754526	0.741497604	0.559575586	0.101045062	1
0.86571	4.35223	0.11363048	0.709823408	0.245759715	0.682897768	0.863128034	0
-0.86571	-4.35223	0.243393586	0.375461574	0.396746746	0.179314036	0.236519622	1
0	4.5	0.196094748	0.672629299	0.750552243	0.512757533	0.596929618	0
0	-4.5	0.132441573	0.73276305	0.60637849	0.364124537	0.602733042	1
-0.8901	4.47483	0.101807431	0.549692349	0.991205578	0.367457363	0.069281732	0
0.8901	-4.47483	0.440286493	0.134509259	0.988155057	0.17961385	0.299328858	1
-1.76991	4.27294	0.648722056	0.33640449	0.843951159	0.957864205	0.455396934	0
1.76991	-4.27294	0.135900132	0.353734847	0.638700359	0.593644462	0.116395135	1
-2.60424	3.89751	0.639505118	0.72002076	0.328426466	0.042934774	0.007393378	0
2.60424	-3.89751	0.018091018	0.703552173	0.346703907	0.503180418	0.682659805	1
-3.35876	3.35876	0.648090409	0.755048587	0.333079951	0.21390445	0.828885964	0
3.35876	-3.35876	0.154278393	0.955550245	0.193494785	0.822506638	0.319102699	1
-4.00145	2.67368	0.857985197	0.011141004	0.775707535	0.582887254	0.429135363	0
4.00145	-2.67368	0.081423763	0.07487786	0.623303349	0.920124152	0.008276618	1
-4.50391	1.86558	0.644579364	0.529248524	0.075500211	0.536397662	0.984695624	0
4.50391	-1.86558	0.119218129	0.058108572	0.033915794	0.666816464	0.941054678	1
-4.84263	0.96326	0.412347231	0.534031471	0.56594583	0.603714015	0.286614628	0
4.84263	-0.96326	0.815487261	0.799483359	0.587539713	0.629999743	0.655473974	1
-5	0	0.387135447	0.117140576	0.363277451	0.015214204	0.967822694	0
5	0	0.039875254	0.414457817	0.397512375	0.637674963	0.970611969	1
-4.96523	-0.98765	0.163740516	0.481037977	0.950434877	0.594055145	0.33624422	0
4.96523	0.98765	0.768298629	0.997305845	0.400602276	0.797883788	0.766427555	1
-4.73488	-1.96125	0.750359198	0.286281981	0.459866846	0.408690743	0.047862903	0
4.73488	1.96125	0.377155738	0.203139264	0.984300593	0.745944158	0.333263013	1
-4.31325	-2.88202	0.205532981	0.911986944	0.098742095	0.802202648	0.769562816	0
4.31325	2.88202	0.778183064	0.036010391	0.9765287	0.191947006	0.06789864	1
-3.71231	-3.71231	0.191819101	0.270473113	0.006666996	0.461358577	0.748783544	0
3.71231	3.71231	0.973143465	0.646306814	0.610074294	0.935695464	0.922969224	1
-2.95147	-4.41718	0.476143174	0.229538757	0.85887033	0.563438404	0.936218514	0
2.95147	4.41718	0.35881812	0.035591908	0.999914896	0.226751158	0.310103944	1
-2.05692	-4.96585	0.58278731	0.72154799	0.907670723	0.477532168	0.624927995	0
2.05692	4.96585	0.149276036	0.219178694	0.988119198	0.385433943	0.34187764	1
-1.0608	-5.33302	0.085031135	0.5554823	0.713182881	0.250191129	0.865933945	0
1.0608	5.33302	0.651967035	0.380462509	0.653587103	0.819039152	0.991727075	1
0	-5.5	0.930005804	0.609728434	0.262555752	0.189607123	0.60383949	0
0	5.5	0.400300986	0.781418546	0.603472717	0.209355593	0.213177724	1
1.08519	-5.45562	0.393381997	0.048772195	0.368110772	0.31013067	0.219122569	0
-1.08519	5.45562	0.637140491	0.976359513	0.376334389	0.596576485	0.439461177	1
2.15259	-5.19682	0.811755236	0.070863432	0.411722469	0.507767589	0.154967914	0
-2.15259	5.19682	0.705771274	0.157331685	0.926097607	0.115308638	0.471917624	1
3.15981	-4.72898	0.837306307	0.31646256	0.549450544	0.920794674	0.499926322	0
-3.15981	4.72898	0.147777873	0.076323268	0.51865261	0.165640589	0.24113687	1
4.06586	-4.06586	0.188413883	0.824851556	0.18119991	0.566905447	0.763049479	0
-4.06586	4.06586	0.856815933	0.919302163	0.272814469	0.131794413	0.609884952	1
4.83292	-3.22925	0.458919382	0.460292376	0.740099053	0.634069072	0.850797373	0
-4.83292	3.22925	0.385140655	0.11815818	0.593551476	0.339044486	0.493403333	1
5.42779	-2.24827	0.615857104	0.196771339	0.971005184	0.596904577	0.185926858	0
-5.42779	2.24827	0.353147722	0.387683819	0.472564785	0.603256638	0.453195603	1
5.82341	-1.15835	0.119451182	0.97452912	0.793361371	0.009820562	0.514347634	0
-5.82341	1.15835	0.043962144	0.165204313	0.929828346	0.454119477	0.31809493	1
6	0	0.789462186	0.960720772	0.417455487	0.534045688	0.758802419	0
-6	0	0.363746838	0.150399471	0.115552345	0.271072705	0.685023707	1
5.94601	1.18274	0.408577796	0.664778935	0.58250709	0.645205562	0.096041335	0
-5.94601	-1.18274	0.867999252	0.222911025	0.926814077	0.16887104	0.625829147	1
5.65876	2.34394	0.777147818	0.196093479	0.978096182	0.964137866	0.570395085	0
-5.65876	-2.34394	0.964385634	0.726789657	0.574037901	0.407074369	0.990944384	1
5.14472	3.43759	0.335453794	0.99282308	0.106038761	0.194657276	0.09040812	0
-5.14472	-3.43759	0.438983665	0.915618219	0.782447249	0.414561279	0.161046248	1
4.41942	4.41942	0.261790982	0.096996352	0.937322262	0.942085714	0.681197015	0
-4.41942	-4.41942	0.366136384	0.352792944	0.171038326	0.647089148	0.400650695	1
3.50704	5.24865	0.989464653	0.769142233	0.75817589	0.945278053	0.74380481	0
-3.50704	-5.24865	0.269071399	0.75111463	0.520635404	0.504259974	0.449614985	1
2.43961	5.88973	0.606528377	0.207739151	0.011434688	0.467951353	0.680003431	0
-2.43961	-5.88973	0.131230524	0.248327393	0.842907685	0.383907977	0.127344317	1
1.25589	6.31381	0.492506667	0.912641276	0.795346686	0.263341981	0.218355969	0
-1.25589	-6.31381	0.814740814	0.474956992	0.379212973	0.749445551	0.388292446	1
0	6.5	0.580863595	0.870803667	0.94378705	0.916172985	0.782115143	0
0	-6.5	0.436114278	0.142783495	0.392755139	0.32224898	0.96488941	1
