x1	x2	irelevant1	!spiral1	!spiral2
3.58003	-1.4829	0.642210125	1	0
-3.58003	1.4829	0.19776644	0	1
3.86184	-0.76817	0.879176454	1	0
-3.86184	0.76817	0.186675202	0	1
4	0	0.637425902	1	0
-4	0	0.74880488	0	1
3.98444	0.79256	0.609850013	1	0
-3.98444	-0.79256	0.933674219	0	1
3.811	1.57857	0.245778593	1	0
-3.811	-1.57857	0.293983084	0	1
3.48178	2.32645	0.894359447	1	0
-3.48178	-2.32645	0.170158905	0	1
3.0052	3.0052	0.78311773	1	0
-3.0052	-3.0052	0.072557533	0	1
2.3959	3.58571	0.339128172	1	0
-2.3959	-3.58571	0.970732724	0	1
1.67424	4.04197	0.44150551	1	0
-1.67424	-4.04197	0.889401825	0	1
0.86571	4.35223	0.11363048	1	0
-0.86571	-4.35223	0.243393586	0	1
0	4.5	0.196094748	1	0
0	-4.5	0.132441573	0	1
-0.8901	4.47483	0.101807431	1	0
0.8901	-4.47483	0.440286493	0	1
-1.76991	4.27294	0.648722056	1	0
1.76991	-4.27294	0.135900132	0	1
-2.60424	3.89751	0.639505118	1	0
2.60424	-3.89751	0.018091018	0	1
-3.35876	3.35876	0.648090409	1	0
3.35876	-3.35876	0.154278393	0	1
-4.00145	2.67368	0.857985197	1	0
4.00145	-2.67368	0.081423763	0	1
-4.50391	1.86558	0.644579364	1	0
4.50391	-1.86558	0.119218129	0	1
-4.84263	0.96326	0.412347231	1	0
4.84263	-0.96326	0.815487261	0	1
-5	0	0.387135447	1	0
5	0	0.039875254	0	1
-4.96523	-0.98765	0.163740516	1	0
4.96523	0.98765	0.768298629	0	1
-4.73488	-1.96125	0.750359198	1	0
4.73488	1.96125	0.377155738	0	1
-4.31325	-2.88202	0.205532981	1	0
4.31325	2.88202	0.778183064	0	1
-3.71231	-3.71231	0.191819101	1	0
3.71231	3.71231	0.973143465	0	1
-2.95147	-4.41718	0.476143174	1	0
2.95147	4.41718	0.35881812	0	1
-2.05692	-4.96585	0.58278731	1	0
2.05692	4.96585	0.149276036	0	1
-1.0608	-5.33302	0.085031135	1	0
1.0608	5.33302	0.651967035	0	1
0	-5.5	0.930005804	1	0
0	5.5	0.400300986	0	1
1.08519	-5.45562	0.393381997	1	0
-1.08519	5.45562	0.637140491	0	1
2.15259	-5.19682	0.811755236	1	0
-2.15259	5.19682	0.705771274	0	1
3.15981	-4.72898	0.837306307	1	0
-3.15981	4.72898	0.147777873	0	1
4.06586	-4.06586	0.188413883	1	0
-4.06586	4.06586	0.856815933	0	1
4.83292	-3.22925	0.458919382	1	0
-4.83292	3.22925	0.385140655	0	1
5.42779	-2.24827	0.615857104	1	0
-5.42779	2.24827	0.353147722	0	1
5.82341	-1.15835	0.119451182	1	0
-5.82341	1.15835	0.043962144	0	1
6	0	0.789462186	1	0
-6	0	0.363746838	0	1
5.94601	1.18274	0.408577796	1	0
-5.94601	-1.18274	0.867999252	0	1
5.65876	2.34394	0.777147818	1	0
-5.65876	-2.34394	0.964385634	0	1
5.14472	3.43759	0.335453794	1	0
-5.14472	-3.43759	0.438983665	0	1
4.41942	4.41942	0.261790982	1	0
-4.41942	-4.41942	0.366136384	0	1
3.50704	5.24865	0.989464653	1	0
-3.50704	-5.24865	0.269071399	0	1
2.43961	5.88973	0.606528377	1	0
-2.43961	-5.88973	0.131230524	0	1
1.25589	6.31381	0.492506667	1	0
-1.25589	-6.31381	0.814740814	0	1
0	6.5	0.580863595	1	0
0	-6.5	0.436114278	0	1
