input0	input1	input2	input3	input4	input5	input6	input7	input8	rndInput0	rndInput1	!output0	!output1	!output2	!output3	!output4	!output5	!output6
1.51409	14.25	3.09	2.08	72.28	1.1	7.08	0.0	0.0	0.5245336401253852	0.04343151704692427	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51797	12.74	3.48	1.35	72.96	0.64	8.68	0.0	0.0	0.12810064385383257	0.4120121850448636	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51806	13.0	3.8	1.08	73.07	0.56	8.38	0.0	0.12	0.13253496706244905	0.7345731752911884	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51627	13.0	3.58	1.54	72.83	0.61	8.04	0.0	0.0	0.7758701291697797	0.5475095177687938	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.5159	13.24	3.34	1.47	73.1	0.39	8.22	0.0	0.0	0.8100486235894314	0.4874641016078224	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51934	13.64	3.54	0.75	72.65	0.16	8.89	0.15	0.24	0.507325943541082	0.535459902094611	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1.51755	12.71	3.42	1.2	73.2	0.59	8.64	0.0	0.0	0.9346315581305072	0.7104701706766897	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51514	14.01	2.68	3.5	69.89	1.68	5.87	2.2	0.0	0.07424308730406115	0.03124051812859041	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1.51766	13.21	3.69	1.29	72.61	0.57	8.22	0.0	0.0	0.42891723970532614	0.8995303757649747	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51784	13.08	3.49	1.28	72.86	0.6	8.49	0.0	0.0	0.8040994036713285	0.24099054886852267	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.52177	13.2	3.68	1.15	72.75	0.54	8.52	0.0	0.0	0.7834144975695406	0.5851113051661319	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51753	12.57	3.47	1.38	73.39	0.6	8.55	0.0	0.06	0.9213674784422636	0.3521667874842187	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51851	13.2	3.63	1.07	72.83	0.57	8.41	0.09	0.17	0.17471314178271058	0.5375702844709127	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51743	13.3	3.6	1.14	73.09	0.58	8.17	0.0	0.0	0.5275829467194822	0.6028942422647372	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51593	13.09	3.59	1.52	73.1	0.67	7.83	0.0	0.0	0.9720954644021758	0.07397503545986273	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.5164	14.37	0.0	2.74	72.85	0.0	9.45	0.54	0.0	0.9633640225983034	0.25161646275043426	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51735	13.02	3.54	1.69	72.73	0.54	8.44	0.0	0.07	0.5437166326999878	0.716654665564555	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.52247	14.86	2.2	2.06	70.26	0.76	9.76	0.0	0.0	0.5343464984742393	0.38140303298654676	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.52099	13.69	3.59	1.12	71.96	0.09	9.4	0.0	0.0	0.4229316858630596	0.6422332457903842	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51769	13.65	3.66	1.11	72.77	0.11	8.6	0.0	0.0	0.8730374056068104	0.42737162351537716	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1.51846	13.41	3.89	1.33	72.38	0.51	8.28	0.0	0.0	0.5760106363319288	0.32962360676178126	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51848	13.64	3.87	1.27	71.96	0.54	8.32	0.0	0.32	0.5298794637237131	0.5510350933284003	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51905	13.6	3.62	1.11	72.64	0.14	8.76	0.0	0.0	0.7243969801329615	0.5664358185830682	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51567	13.29	3.45	1.21	72.74	0.56	8.57	0.0	0.0	0.7393577621777093	0.5019845899760583	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.52213	14.21	3.82	0.47	71.77	0.11	9.57	0.0	0.0	0.41782915449493063	0.5054813009409544	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.5232	13.72	3.72	0.51	71.75	0.09	10.06	0.0	0.16	0.6907688548052687	0.4051717764218876	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51556	13.87	0.0	2.54	73.23	0.14	9.41	0.81	0.01	0.829058922196292	0.7765297694183572	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51926	13.2	3.33	1.28	72.36	0.6	9.14	0.0	0.11	0.04831191158198156	0.9911548328431224	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.52211	14.19	3.78	0.91	71.36	0.23	9.14	0.0	0.37	0.04656413327240405	0.75320348423901	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1.53125	10.73	0.0	2.1	69.81	0.58	13.3	3.15	0.28	0.9114501580008394	0.147023800026707	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.52152	13.05	3.65	0.87	72.32	0.19	9.85	0.0	0.17	0.9785675146547793	0.9508689805196482	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51829	14.46	2.24	1.62	72.38	0.0	9.26	0.0	0.0	0.8840303806584703	0.3073235324734991	0.0	0.0	0.0	0.0	0.0	1.0	0.0
1.51892	13.46	3.83	1.26	72.55	0.57	8.21	0.0	0.14	0.8498376795870157	0.18861367930947526	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51888	14.99	0.78	1.74	72.5	0.0	9.95	0.0	0.0	0.42943705628662066	0.12714291598504313	0.0	0.0	0.0	0.0	0.0	1.0	0.0
1.51829	13.24	3.9	1.41	72.33	0.55	8.31	0.0	0.1	0.6721619560493851	0.5868710326523516	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.523	13.31	3.58	0.82	71.99	0.12	10.17	0.0	0.03	0.2290965952835885	0.0836414275056937	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51652	13.56	3.57	1.47	72.45	0.64	7.96	0.0	0.0	4.5097396846993654E-5	0.6919845145225524	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51768	12.56	3.52	1.43	73.15	0.57	8.54	0.0	0.0	0.8329366820142896	0.13763520666565143	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51215	12.99	3.47	1.12	72.98	0.62	8.35	0.0	0.31	0.7451018496480949	0.019977177108902344	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51646	13.04	3.4	1.26	73.01	0.52	8.58	0.0	0.0	0.4929444314559849	0.35346655067207855	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1.51721	12.87	3.48	1.33	73.04	0.56	8.43	0.0	0.0	0.8157755577223241	0.09402045321733499	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51763	12.8	3.66	1.27	73.01	0.6	8.56	0.0	0.0	0.7047560635472276	0.42323225775736495	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51742	13.27	3.62	1.24	73.08	0.55	8.07	0.0	0.0	0.8734287970511565	0.6135718210053454	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.52127	14.32	3.9	0.83	71.5	0.0	9.49	0.0	0.0	0.647250365576996	0.3705479614495123	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1.51779	13.21	3.39	1.33	72.76	0.59	8.59	0.0	0.0	0.5515164306745258	0.737878136731069	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.52171	11.56	1.88	1.56	72.86	0.47	11.41	0.0	0.0	0.4064065362864421	0.3193766244098031	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1.518	13.71	3.93	1.54	71.81	0.54	8.21	0.0	0.15	0.07146506974868805	0.5925176942241447	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.52777	12.64	0.0	0.67	72.02	0.06	14.4	0.0	0.0	0.5972266609481004	0.10505187205697031	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.5175	12.82	3.55	1.49	72.75	0.54	8.52	0.0	0.19	0.30704759450282504	0.014880474149850054	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51764	12.98	3.54	1.21	73.0	0.65	8.53	0.0	0.0	0.7563120726823085	0.677477430299064	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.52177	13.75	1.01	1.36	72.19	0.33	11.14	0.0	0.0	0.9984549975084235	0.24296306377825483	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51645	14.94	0.0	1.87	73.11	0.0	8.67	1.38	0.0	0.6677214500865912	0.7005860752958397	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51786	12.73	3.43	1.19	72.95	0.62	8.76	0.0	0.3	0.9979318168876937	0.7215808985725068	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.52152	13.12	3.58	0.9	72.2	0.23	9.82	0.0	0.16	0.6060279812918632	0.4874929412992761	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51937	13.79	2.41	1.19	72.76	0.0	9.77	0.0	0.0	0.140756012597679	0.45107709687587993	0.0	0.0	0.0	0.0	0.0	1.0	0.0
1.51514	14.85	0.0	2.42	73.72	0.0	8.39	0.56	0.0	0.3330323063428754	0.42737945072117334	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.52172	13.48	3.74	0.9	72.01	0.18	9.61	0.0	0.07	0.5785076501564994	0.3358339898872863	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51732	14.95	0.0	1.8	72.99	0.0	8.61	1.55	0.0	0.5683758326202205	0.3579959160848857	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.5202	13.98	1.35	1.63	71.76	0.39	10.56	0.0	0.18	0.18598504087137147	0.8033696863068955	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51605	12.9	3.44	1.45	73.06	0.44	8.27	0.0	0.0	0.5693395593013897	0.9167722713750374	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51847	13.1	3.97	1.19	72.44	0.6	8.43	0.0	0.0	0.9587911070114759	0.559528652885092	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51761	13.89	3.6	1.36	72.73	0.48	7.83	0.0	0.0	0.40140150139009845	0.7638780165510115	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51673	13.3	3.64	1.53	72.53	0.65	8.03	0.0	0.29	0.15552679875056097	0.7212521151018396	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.52365	15.79	1.83	1.31	70.43	0.31	8.61	1.68	0.0	0.45866528434686593	0.7121739162068969	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51685	14.92	0.0	1.99	73.06	0.0	8.4	1.59	0.0	0.30669211886343994	0.7256401773687637	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51658	14.8	0.0	1.99	73.11	0.0	8.28	1.71	0.0	0.8020618924053852	0.2218497881819016	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51316	13.02	0.0	3.04	70.48	6.21	6.96	0.0	0.0	0.11181011180644451	0.352494553709482	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1.51709	13.0	3.47	1.79	72.72	0.66	8.18	0.0	0.0	0.9232645412529032	0.42164406058946136	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51727	14.7	0.0	2.34	73.28	0.0	8.95	0.66	0.0	0.6769522445261154	0.9172572871257603	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51898	13.58	3.35	1.23	72.08	0.59	8.91	0.0	0.0	0.6135471874986652	0.8038922473856617	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51969	12.64	0.0	1.65	73.75	0.38	11.53	0.0	0.0	0.506758642610917	0.19223687840258896	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1.5182	12.62	2.76	0.83	73.81	0.35	9.42	0.0	0.2	0.7193549188344488	0.007253689284611897	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51617	14.95	0.0	2.27	73.3	0.0	8.71	0.67	0.0	0.15820990703611593	0.8962407651940554	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51911	13.9	3.73	1.18	72.12	0.06	8.89	0.0	0.0	0.7001443669931527	0.6488163251549705	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51651	14.38	0.0	1.94	73.61	0.0	8.48	1.57	0.0	0.48782201690875826	0.6562088563119548	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51694	12.86	3.58	1.31	72.61	0.61	8.79	0.0	0.0	0.0690908785647586	0.9963821607300263	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1.52315	13.44	3.34	1.23	72.38	0.6	8.83	0.0	0.0	0.9795991569668719	0.18916944191364482	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.52068	13.55	2.09	1.67	72.18	0.53	9.57	0.27	0.17	0.9935486718055977	0.38208652444691626	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51838	14.32	3.26	2.22	71.25	1.46	5.79	1.63	0.0	0.7279939667405606	0.07881619324889899	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51818	13.72	0.0	0.56	74.45	0.0	10.99	0.0	0.0	0.559688738131603	0.6501064807366083	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51769	12.45	2.71	1.29	73.7	0.56	9.06	0.0	0.24	0.2682885454753561	0.928230140644052	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.5166	12.99	3.18	1.23	72.97	0.58	8.81	0.0	0.24	0.4645289011816417	0.6040650033887688	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51589	12.88	3.43	1.4	73.28	0.69	8.05	0.0	0.24	0.5962233976150669	0.8587484822657191	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.5241	13.83	2.9	1.17	71.15	0.08	10.79	0.0	0.0	0.18860891449315764	0.37383917092953034	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.52725	13.8	3.15	0.66	70.57	0.08	11.64	0.0	0.0	0.3993660532958295	0.29470771781752025	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.52119	12.97	0.33	1.51	73.39	0.13	11.27	0.0	0.28	0.023853100431483476	0.8568322703394642	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1.51748	12.86	3.56	1.27	73.21	0.54	8.38	0.0	0.17	0.7346247524908772	0.7247653479486229	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51653	11.95	0.0	1.19	75.18	2.7	8.93	0.0	0.0	0.6837015877833107	0.9053709719793811	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51623	14.14	0.0	2.88	72.61	0.08	9.18	1.06	0.0	0.12947659186423877	0.662731427129831	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.52101	13.64	4.49	1.1	71.78	0.06	8.75	0.0	0.0	0.6063807199218427	0.7297408295734891	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51763	12.61	3.59	1.31	73.29	0.58	8.5	0.0	0.0	0.3588941533608978	0.34431704045946676	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51596	13.02	3.56	1.54	73.11	0.72	7.9	0.0	0.0	0.4772218915367662	0.06547438697661812	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51674	12.79	3.52	1.54	73.36	0.66	7.9	0.0	0.0	0.9556180004357412	0.790933945704108	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.52065	14.36	0.0	2.02	73.42	0.0	8.44	1.64	0.0	0.942227464415957	0.013857941265201235	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51768	12.65	3.56	1.3	73.08	0.61	8.69	0.0	0.14	0.8483370300978171	0.7476559158818545	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.52369	13.44	0.0	1.58	72.22	0.32	12.24	0.0	0.0	0.9626210513539949	0.10622475948123256	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1.51756	13.15	3.61	1.05	73.24	0.57	8.24	0.0	0.0	0.3905022565446672	0.6596790759627144	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51754	13.48	3.74	1.17	72.99	0.59	8.03	0.0	0.0	0.7689091896890823	0.0654538121885273	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51711	12.89	3.62	1.57	72.96	0.61	8.11	0.0	0.0	0.4419141867405628	0.29009466200715317	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.5221	13.73	3.84	0.72	71.76	0.17	9.74	0.0	0.0	0.9130195849269931	0.9421947202374739	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51594	13.09	3.52	1.55	72.87	0.68	8.05	0.0	0.09	0.0958876076025591	0.8015147963187262	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51784	12.68	3.67	1.16	73.11	0.61	8.7	0.0	0.0	0.48837111766529606	0.7886914925687863	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51909	13.89	3.53	1.32	71.81	0.51	8.78	0.11	0.0	0.10671182861550599	0.12506793708397823	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51977	13.81	3.58	1.32	71.72	0.12	8.67	0.69	0.0	0.19026900789764245	0.7996785108210248	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51666	12.86	0.0	1.83	73.88	0.97	10.17	0.0	0.0	0.06528834843417508	0.22250747325641418	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1.51631	13.34	3.57	1.57	72.87	0.61	7.89	0.0	0.0	0.5228083917269457	0.8976746390393878	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51872	12.93	3.66	1.56	72.51	0.58	8.55	0.0	0.12	0.8952423887136598	0.41065340732657396	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51708	13.72	3.68	1.81	72.06	0.64	7.88	0.0	0.0	0.12350795730395514	0.06910220447298898	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.52081	13.78	2.28	1.43	71.99	0.49	9.85	0.0	0.17	0.29746812391045274	0.2621136918453809	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51574	14.86	3.67	1.74	71.87	0.16	7.36	0.0	0.12	0.8731845936198308	0.3680094116895706	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51813	13.43	3.98	1.18	72.49	0.58	8.15	0.0	0.0	0.3579821312030561	0.7222083813190647	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51131	13.69	3.2	1.81	72.81	1.76	5.43	1.19	0.0	0.18611946765864162	0.39577642924563294	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.52227	14.17	3.81	0.78	71.35	0.0	9.69	0.0	0.0	0.652123325016127	0.9892460313478441	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.52614	13.7	0.0	1.36	71.24	0.19	13.44	0.0	0.1	0.6343541020444301	0.23803682161812412	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51811	13.33	3.85	1.25	72.78	0.52	8.12	0.0	0.0	0.8275517520993545	0.39377874981732075	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.51655	13.41	3.39	1.28	72.64	0.52	8.65	0.0	0.0	0.8499951400519302	0.29414741254856447	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1.51751	12.81	3.57	1.35	73.02	0.62	8.59	0.0	0.0	0.8291625990720287	0.9821888033794608	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51508	15.15	0.0	2.25	73.5	0.0	8.34	0.63	0.0	0.4706947131905842	0.16989172992403512	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51915	12.73	1.85	1.86	72.69	0.6	10.09	0.0	0.0	0.6409463200523191	0.760935736181418	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1.51966	14.77	3.75	0.29	72.02	0.03	9.0	0.0	0.0	0.7460127977620451	0.8207029596708713	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51844	13.25	3.76	1.32	72.4	0.58	8.42	0.0	0.0	0.6629887965806004	0.5900202953500188	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.52664	11.23	0.0	0.77	73.21	0.0	14.68	0.0	0.0	0.30615693229716956	0.43054479219725583	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.52172	13.51	3.86	0.88	71.79	0.23	9.54	0.0	0.11	0.6162208890299262	0.5276974267107575	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51602	14.85	0.0	2.38	73.28	0.0	8.76	0.64	0.09	0.5096337487448821	0.09068937163241886	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.51321	13.0	0.0	3.02	70.7	6.21	6.93	0.0	0.0	0.1731895616791671	0.023197454688002384	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1.52739	11.02	0.0	0.75	73.08	0.0	14.96	0.0	0.0	0.7326357380959839	0.20298348238531472	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.52213	14.21	3.82	0.47	71.77	0.11	9.57	0.0	0.0	0.35003768627348253	0.730190906489789	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.51747	12.84	3.5	1.14	73.27	0.56	8.55	0.0	0.0	0.9405259281113239	0.6737956988729904	1.0	0.0	0.0	0.0	0.0	0.0	0.0
