TEMP	HUMID	SOLAR	WIND	!WBE
97	0.006	630.5	11.76	853.54
96.7	0.0069	405.5	9.64	730.03
95.9	0.0069	166.6	9.44	649.54
94.1	0.0079	25.5	7.44	635.2
91.8	0.009	-0.6	6.53	655.81
89.3	0.0103	-0.5	7.9	630.56
88.4	0.011	-0.4	8.75	572.27
85.8	0.0151	-0.2	6.76	547.22
84.1	0.0165	-0.1	4.5	530.43
82.6	0.0166	-0.1	4.68	516.87
80.5	0.017	0	6.02	505.67
79.2	0.0177	0.1	4.64	498.34
78.3	0.0184	0.3	5.65	498.21
77.9	0.0189	0.3	5.47	496.56
77.6	0.0194	0.7	4.03	531.03
77.4	0.0195	38.2	3.82	624.86
78.4	0.0199	191.9	5.4	782.11
80.8	0.0197	376.7	4.55	840.21
84.2	0.0186	481.1	5.37	877.04
86.8	0.0161	548	4.78	887.56
88.1	0.015	460.6	5.3	876.5
90.3	0.0144	793	4.41	878.42
92	0.0131	458.2	5.36	899.37
90.8	0.014	226.6	7.72	886.01
82.1	0.0178	94.8	4.88	853.16
82	0.0174	70.9	6.13	737.62
82.5	0.0194	64.8	6.27	681.7
83.2	0.0199	12.8	6.72	665.45
82.5	0.0194	-0.2	6.62	670.31
81.5	0.0191	-0.2	5.65	647.9
80.8	0.0194	-0.2	5.44	601.52
80.1	0.0196	-0.1	4.92	584.84
79.3	0.02	-0.1	4.79	548.24
78.1	0.0205	0	5.06	521.23
78.3	0.0205	0	3.86	518.97
77.8	0.0206	0	2.92	514.8
77.2	0.0204	0	3.94	515.82
77	0.0202	0	3.75	514.46
77	0.0203	0.3	3.81	554.7
77	0.0203	44.1	3.56	630.27
78.9	0.021	213.4	5.22	814.7
82.5	0.0197	413.3	5.29	887.59
85.1	0.017	472.3	6.63	918.57
87.1	0.0156	407.4	6.33	924.92
89.6	0.0142	689.5	5.65	902.03
90.8	0.0133	479.2	6.96	914.58
93.4	0.0114	784.2	6.83	924.08
94.9	0.0098	788.1	7.21	918.96
94.7	0.0101	468.4	8.55	885.08
93.3	0.0119	226.4	9.68	768.6
88.3	0.0147	96	10.23	698.25
87.1	0.0153	30.6	7.15	682.99
85.1	0.016	-0.5	6.17	650.02
83.7	0.0162	-0.3	6.06	627.35
82.2	0.0171	-0.3	5.46	600.72
81.2	0.0178	-0.2	4.72	580.2
80.4	0.0181	-0.1	4.71	554.98
79.7	0.0187	-0.1	6.56	545.67
78.8	0.0191	-0.1	2.92	532.96
78.5	0.0193	0	4.55	533.3
77.8	0.0195	-0.2	2.75	529.55
77.5	0.0197	0	3.05	532.01
76.7	0.02	0	3.1	564.04
76.9	0.0201	38.2	3.57	652.35
78.8	0.0203	203.9	4.03	816
82.4	0.0196	306.9	6.07	875.3
85.2	0.0176	502.1	6.91	895.73
88.2	0.0146	610	7.2	905.69
89.3	0.0142	381.6	5.82	888.6
92.1	0.0124	724.2	6.21	898.22
92.8	0.012	433.8	7.25	908.95
94.5	0.0111	716.4	6.75	886.49
95.2	0.0106	570	9.72	841.04
92.6	0.0118	140.9	10.02	682.18
91	0.0125	81.2	10.13	610
88.4	0.0151	38.5	8.23	578.44
85.7	0.017	-0.6	7.13	580.08
84.4	0.0175	-0.5	5.34	579.28
83.2	0.0184	-0.3	6.13	576.22
82.5	0.0184	-0.3	6.31	561.14
81.7	0.0189	-0.1	5.33	516.49
80.5	0.0193	-0.1	3.18	511.02
79.5	0.0196	-0.1	2.59	509.91
78.6	0.0201	0	3.14	508.18
78.3	0.0206	0	4.69	509.11
78.1	0.0209	0	5.39	508.88
77.7	0.0207	0.1	3.87	509.94
77.1	0.0203	28.4	3.61	498.39
78.5	0.0213	139.5	4.72	502.99
82.3	0.0209	371.3	7.33	525.13
85.4	0.0176	633.4	9.25	548.25
88.8	0.0143	799.8	9.34	568.39
91.6	0.012	897.4	8.11	571.52
93.6	0.0107	862.3	8.4	568.9
94.9	0.0098	876.9	7.76	568.06
95.7	0.0091	637.3	6.79	575.34
96.7	0.0077	629	6.9	574.85
96.5	0.0076	370.3	6.37	561.93
95.5	0.0084	139.5	6.04	549.88
94	0.009	12.6	5.31	538.27
90.6	0.0127	-0.7	5.09	545.04
88.8	0.0125	-0.6	6.92	543.54
87.3	0.0135	-0.5	8.72	546.78
85.6	0.0154	-0.5	8.13	544.04
84.2	0.0164	-0.3	7.63	532.79
83.1	0.0173	-0.3	8.1	519.23
81.6	0.0178	-0.2	6.95	508.04
80.9	0.018	-0.1	3.12	500.1
81.1	0.0182	-0.1	1.66	497.66
80.3	0.0184	-0.1	2.17	497.91
79.5	0.0188	-0.1	4.46	496.5
79.1	0.0178	15.5	5.62	486.42
78.9	0.0157	172.7	8.22	486.96
80.1	0.0165	225.6	7.55	499.45
82	0.0167	452.3	7.81	519.83
85.6	0.0158	753	3.84	528.77
89.1	0.0133	681.2	1.13	539.78
91.1	0.0123	677.8	2.32	557.03
91.4	0.0125	545.5	7.18	576.37
89.4	0.0134	498.7	11.09	575.86
87.6	0.0113	314.2	7.32	573.02
89.6	0.01	430.9	5.9	566.78
89.5	0.0108	107.5	7	575.48
83	0.0116	7.9	4.9	583.79
82.5	0.0114	-0.2	2.94	599.08
82.9	0.0121	-0.1	1.48	596.41
82	0.0136	-0.1	1.96	580.67
80.5	0.0153	-0.1	3.81	561.42
79.9	0.0158	-0.1	4.93	530.53
80.5	0.0165	-0.1	4.65	521.65
79.7	0.0168	0	4.38	516.6
78.2	0.0171	0	3.73	513.34
77.2	0.0178	0.1	4.42	510.06
76.1	0.0185	0.1	4.42	507.64
76	0.019	0.4	4.44	544.19
76.3	0.0191	39.7	4.19	643.24
78.6	0.019	230	3.17	801.89
82.4	0.0192	285.4	1.07	867.81
84.4	0.0181	367.4	2.4	900.15
86.3	0.0165	421.1	4.03	910.42
87.3	0.0158	666.6	7.72	904.82
84.9	0.0163	528	7.34	914.42
79.2	0.0185	136.6	8.38	930.16
78.3	0.0174	154.1	6.44	906.61
82.4	0.0161	545.1	10.57	879.16
84.6	0.0155	430.4	11.28	761.92
83.9	0.0155	95.3	9.17	696.71
82.5	0.0159	7.7	6.68	641.96
80.4	0.0162	-0.2	4.15	614.2
79.2	0.0168	-0.1	4.04	602.08
78.3	0.0171	-0.1	3.49	612.81
77.4	0.0174	0	1.25	585.35
76.7	0.0178	0.1	2	543.88
76.4	0.0183	0.1	2.76	531.56
76	0.0185	0.1	2.01	518.71
75.7	0.0186	0.1	3.22	507.94
75.3	0.0189	0.1	3.46	503.22
75.3	0.0188	0.1	3.89	507.21
74.6	0.0187	0.1	3.83	550.68
74.4	0.0185	25.5	4.18	647.96
75.5	0.0192	127.8	5.56	816.24
77.2	0.0194	243.4	6.71	876.28
80.4	0.0185	573.4	3.73	890.87
85.2	0.0163	701.2	5.01	896.71
88.2	0.0138	721.3	4.47	892.59
90.1	0.012	834	5.37	900.62
92.3	0.0111	880.8	5.41	919.48
93.1	0.011	775.4	5.29	915.02
93.4	0.0106	593.4	7.12	878.28
91.6	0.012	161.4	9.43	767.71
90.6	0.0118	104.3	6.34	690.73
89.4	0.0129	15.3	6.87	657.57
87.5	0.0137	-0.7	5.88	656.11
86.4	0.0142	-0.6	6.17	624.15
84.6	0.0155	-0.5	6.58	599.81
82.5	0.0167	-0.3	5.01	583.96
81.4	0.0172	-0.2	3.21	557.93
80.2	0.0177	-0.1	2.45	555.74
78.8	0.0184	-0.1	3.72	547.74
77.9	0.019	-0.1	3.29	540.33
77	0.0198	-0.1	3.56	536.64
76.7	0.02	0	3.95	535.16
76.7	0.0201	0.3	3.8	581.88
77.2	0.0203	28	4.58	658.73
78.3	0.02	165.8	2.95	815.74
81.8	0.0191	342	4.5	888.96
84.2	0.0181	478.2	5.61	915.96
83.5	0.0182	211.7	8.63	927.61
76.4	0.0182	34.3	10.84	910.39
74	0.018	226.6	10.42	917.41
74.7	0.0173	190.5	11.74	935.84
75.2	0.0162	164.6	12.26	925.07
76.4	0.0159	227.8	9.14	886.38
75.3	0.0173	74.1	8.22	771.9
76.1	0.0173	111	7.48	700.9
76.7	0.0153	17.5	10.5	685.9
72.3	0.0145	0.1	13	692.4
67.2	0.0127	0.4	14.1	654.5
65.4	0.0121	0.5	13.3	626.4
64.8	0.012	0.6	10.7	608.4
64.6	0.0118	0.6	9.4	573.9
64.5	0.0112	0.6	10.9	562.8
63.8	0.0108	0.6	11.6	547.3
62.9	0.0109	0.7	9.1	541.7
62.1	0.0107	0.7	10.5	540.2
62	0.0105	0.7	8.75	541.6
61.6	0.0103	0.9	8.32	566.9
61.3	0.01	18.2	11	660.1
60.9	0.0099	36.5	12.8	832.9
61	0.0097	85.5	11.9	890.1
60.9	0.0093	189	13	909
62.4	0.009	330	10.2	922.9
64.6	0.0087	564	10.8	901.3
68.2	0.0083	937	10.6	916.8
68.5	0.008	762	11.4	927.6
68.5	0.008	692	11.2	907.4
68.8	0.0079	615	10.9	873.4
68.7	0.0079	418	9.96	783.7
68.2	0.008	188	7.14	710.4
67.2	0.0085	14	6.32	695.8
65.7	0.0088	0.6	4.19	676.1
64.6	0.0091	0.7	4.45	624.9
63.7	0.0092	0.9	5.23	606.5
63	0.0091	0.9	5.07	587.6
62.3	0.0092	1	4.09	567.7
61.6	0.0094	1.1	3.55	564.5
60.7	0.0096	1.2	2.29	556.3
60.5	0.0095	1.2	0.35	548.9
59.5	0.0097	1.2	1.83	551.4
58.8	0.0096	1.1	2.64	544.1
57.6	0.0097	1.5	3.57	565.3
58	0.0097	37.5	3.87	646.8
60.8	0.0095	218	4.98	806.2
64.5	0.0088	441	7.01	864.6
67.7	0.0081	647	7.22	886.2
70.6	0.0036	809	7.92	899.2
73.7	0.007	913	9	877.7
76.2	0.0067	943	8.51	893.6
78.3	0.0062	908	9.8	893.6
79.5	0.0062	803	9.04	871.4
80.2	0.0061	635	9.18	831.2
80.2	0.006	425	9.05	704
78.9	0.0066	196	8.74	625.3
75.9	0.0074	18.7	7.44	615.5
72.9	0.0083	0.4	5.69	610.4
70.2	0.0089	0.6	4.97	606.6
68.4	0.0093	0.7	4.15	593.8
66.2	0.0097	0.7	7.02	547.3
64.1	0.0099	1	8.51	542.8
62.6	0.0098	1.1	8.88	537.8
61.6	0.0098	1.1	7.71	534
60.7	0.01	1.2	6.68	534.3
60.9	0.01	1.2	1.91	532.6
60.5	0.0099	1.4	0.02	531.8
59.4	0.0101	1.4	0.02	532.3
59	0.01	40.4	0.08	522.1
61.5	0.0101	218	0.86	532.9
66.1	0.0094	441	1.88	566.9
69.3	0.0091	651	1.62	589.2
72.8	0.0083	818	1.54	603.6
77	0.0074	923	4.17	596.9
80.4	0.0064	955	5.22	586.2
82.8	0.0052	916	6.21	593
83.9	0.0044	811	5.73	592.3
84.7	0.0047	638	5.98	578.4
84.6	0.0045	425	5.26	559.8
83.9	0.0048	192	5.08	557.3
82.2	0.0052	17.5	2.53	542.7
80.1	0.0061	-0.1	4.12	549.5
78.2	0.007	0	4.13	542.8
76.9	0.0073	0.1	4.39	548.5
76	0.0077	0.1	3.66	534.9
75.9	0.0078	0.3	2.15	519.9
75	0.0082	0.4	1.17	505.9
69.2	0.0093	0.6	4.07	506.8
69.2	0.0096	0.7	0.92	505.8
68.8	0.0097	0.9	1.36	502.8
67.7	0.0099	1	1.36	502.1
64.3	0.0102	1.2	0.09	502.8
62.9	0.0104	34.5	1.86	491.8
65	0.0108	211	3.71	497.8
70.4	0.0112	434	2.93	510.5
76	0.0106	643	1.98	521.1
79.4	0.0093	806	2.86	534.5
82	0.0073	917	3.48	550.8
84.6	0.0067	954	3.61	568.1
86.2	0.0056	899	4.29	573.4
87.2	0.0043	798	3.13	575.2
87.9	0.0037	632	4.26	577.4
87.8	0.0038	413	5.44	565.7
87.1	0.0042	181	6.78	562.6
85.4	0.0037	14.3	4.77	573
83	0.005	-0.2	3.92	582.7
79.1	0.0064	0.1	2.22	583
78.3	0.0068	0.4	1.52	571
76.7	0.0072	0.5	3.69	560.5
76.2	0.0075	0.5	3.97	539.5
72.5	0.0088	0.6	1.87	514
72.2	0.009	0.7	1.92	505.2
70.5	0.0094	0.9	1.56	498.4
69.3	0.0096	1	2.16	496.6
68.8	0.0098	1	2.64	496.4
68.3	0.0102	1	1.55	551.2
65.5	0.0107	31.6	1.95	637
67.5	0.011	201	4.25	798
71.7	0.01	423	8.32	860.1
76	0.009	632	7.53	898
79.9	0.0078	799	6.3	895.8
82.4	0.007	902	4.67	893
84.2	0.0061	936	5.48	914.7
86.1	0.0056	895	5.15	939.9
86.9	0.0042	792	6.07	928.4
87.2	0.0043	620	5.75	899
86.9	0.0042	404	7.44	774.4
85.9	0.0046	172	8.11	716.1
83	0.0054	12.1	7.6	700.6
79.6	0.007	0.1	8.3	704.2
76.7	0.0077	0.4	9.85	663.9
73.9	0.0081	0.4	8.25	642.9
71.8	0.0084	0.6	7.38	629.5
70	0.0086	0.7	5.4	590.4
68.6	0.0088	0.9	3.63	564.9
67.4	0.0092	1	2.91	564.7
66.6	0.0096	1.1	1.56	557.3
65.5	0.0097	1.1	0.55	541.3
64.6	0.0098	1.2	1.39	538.9
64	0.0099	1.4	2.38	564.3
63.5	0.01	30.9	2.51	653.5
64.8	0.0103	196	4.33	813.1
69.6	0.0101	420	5.48	884.2
75.5	0.009	630	5.41	902.4
80	0.0068	794	6.94	890.9
82.5	0.0059	900	6.43	901.3
84.4	0.0051	931	6.22	910.6
86	0.0049	880	5.98	914.1
87.2	0.0044	769	6.12	915.5
87.8	0.0042	603	5.04	868.4
87.8	0.0043	385	7.5	762.5
87	0.0043	153	6.83	706.2
85	0.0045	8.9	5.63	694.3
82.3	0.0052	0	4.1	707.1
79.1	0.0064	0.1	3.49	684
76.5	0.0072	0.4	4.09	641.1
74.5	0.008	0.5	4.8	608.4
73.1	0.0086	0.6	5.15	564.5
72.2	0.009	0.6	4.79	543
71.8	0.0093	0.7	4.01	530.1
71.6	0.0093	0.7	3	526.1
68.9	0.0098	0.7	1.53	525.3
67.2	0.01	1	0.78	526.2
66.7	0.0101	1.2	1.84	560.6
65.6	0.0101	28.9	2.35	655.6
67	0.0103	189	3.82	824.2
72.5	0.01	408	4.93	878.6
79	0.008	611	8.35	900
83.1	0.0056	766	10.1	922.5
84.8	0.0051	878	8.41	918.3
86.6	0.0043	905	6.9	925.8
87.9	0.0041	858	6.35	945.6
88.6	0.0044	746	5.98	938.6
89.4	0.0038	578	6.33	881.2
89.2	0.0037	343	6.17	754.5
88	0.0041	107	7.09	690.2
85.6	0.0049	5.5	5.03	674.5
83.4	0.0059	0	3.51	683.2
80.5	0.0065	0.1	3.17	665
77.4	0.007	0.3	5.17	635.5
76.2	0.0083	0.4	4.67	587.4
73.9	0.009	0.5	2.21	548.1
72.5	0.0093	0.7	2.48	527.9
71.2	0.0098	0.9	2.18	525
70.7	0.0101	0.9	2.26	514.2
69.8	0.0103	1	0.64	514
68.2	0.0104	1	1.63	514.9
67.5	0.0105	1.1	2.73	541.9
67	0.0107	25.8	3.43	637.8
69.7	0.0108	177	3.64	809
73.7	0.0107	388	3.48	874.4
78.4	0.0097	595	2.9	920.2
82.6	0.0068	754	6.82	928.7
84.7	0.0055	869	8.85	917.3
85.6	0.0051	896	10	928.1
86.6	0.0046	863	9.1	937.8
87.6	0.0037	753	7.7	926
87.7	0.0035	569	7.18	893
87.5	0.0037	332	6	778.2
86.5	0.0043	119	5.71	701.9
84.4	0.0051	5.1	3.67	679.4
82.1	0.006	0	4.24	689.3
80.2	0.0065	0.1	4.83	649.3
77.8	0.0071	0.3	4.97	624.5
76.2	0.0074	0.4	3.99	601.9
75	0.0074	0.6	1.58	567.5
73.4	0.0078	0.6	1.15	546.6
70.3	0.0086	0.9	2.69	531.5
68.8	0.0088	1	2.31	530.9
69	0.0086	1	1.61	524.4
67.7	0.009	1.1	2.81	536.3
66.9	0.0093	1.1	2.26	569.7
67.3	0.0093	23.6	1.35	664.2
68.8	0.0093	175	1.14	811.6
74.6	0.0086	388	3.09	876.8
78.7	0.0076	588	8.14	911.3
82.2	0.0057	748	11.6	918.8
83.7	0.0054	738	11.7	895.4
84.7	0.0042	648	12.2	903.3
84.4	0.0025	411	10.9	907.6
85.3	0.0057	445	10.4	892.6
85	0.0069	333	13.1	841.6
84.2	0.0066	319	12.8	692.2
84.2	0.0041	138	11.1	627.9
82.1	0.0026	7.9	11.9	612.6
78.1	0.0036	0.1	11.6	615.5
75.5	0.0043	0.5	9.2	569.2
73.7	0.0046	0.5	6.55	537.2
72	0.0048	0.7	5.48	524.1
70.8	0.0046	0.9	6.72	517.4
69.5	0.0045	1	6.13	513.2
67.7	0.0048	1	7.02	511.6
66.6	0.0049	1	8.92	510.2
65.8	0.0051	1.1	8.59	509.5
65	0.0054	1.2	9.53	510.6
65	0.0058	1.1	10.3	509.6
65.4	0.0064	20.1	10.4	499.4
66.2	0.0068	148	12.8	506.9
67.5	0.0071	256	14.3	531.4
68.8	0.0071	307	15.5	551.5
70	0.0059	364	16.5	571.6
71.3	0.0063	474	14.3	572.5
71.5	0.0002	366	15.1	575
71.6	0.0029	425	15.8	586.4
72.4	0.003731	547	15.3	591.6
73.2	0.003886	459	13.1	587.8
71.5	0.0039	184	14.4	571.1
69.8	0.0048	33.3	13.4	555.6
68.4	0.0047	3.3	11.2	546.8
67.5	0.0046	0.9	10.9	533.1
66.7	0.0047	0.9	11.7	537.3
65.9	0.005	0.9	9.78	542.9
65.6	0.0054	0.9	7.61	534.5
64.7	0.0057	0.9	8.22	522.1
64	0.006	1.1	9.23	512.3
62.5	0.006	1.2	9.45	502.2
61.3	0.0059	1.4	6.33	497.8
60.1	0.0061	1.5	6.86	494
58.6	0.0061	1.6	6.87	494
57.2	0.0058	1.7	6.22	494.9
55.9	0.0049	26	5.74	485.2
56.5	0.0037	186	7.3	488.1
58.8	0.0032	404	10.5	497.9
62	0.003	615	8.08	510.9
65.7	0.0024	778	9.47	520.5
68.5	0.0026	879	11.2	532.8
70.6	0.0027	910	10.5	548.5
72.1	0.0025	871	10.9	564
73	0.0025	764	9.98	572.9
74	0.0024	595	8.39	576.1
73.9	0.0019	383	9.54	573.4
73	0.0022	155	8.06	575.5
70.2	0.0026	7.7	5.82	573.7
67	0.003	1	5.78	574.5
65.2	0.003	1.2	6.04	574.2
63.6	0.0031	1.4	6.15	559.5
61.1	0.0035	1.5	7.11	550.3
58.9	0.0036	1.5	6.3	527.6
57.3	0.0038	1.7	5.73	516.6
56.1	0.0039	1.7	5.42	510.3
55.1	0.0039	2	5.68	510.1
54.2	0.0039	2.1	5.58	505
53.6	0.004	2.1	5.15	508
52.9	0.0041	2.2	4.33	545.9
53.1	0.0042	29.7	3.65	648.3
55.7	0.0041	206	4.83	786.1
60.1	0.0041	432	5.84	863.8
66.1	0.003	642	9.84	900.6
69.4	0.0019	806	11.6	900.9
71.5	0.0017	907	10.9	875.2
74	0.0015	933	10.2	893.4
76	0.0011	892	10.5	911.5
77.6	0.0006	780	9.89	906
78.1	0.0002	608	10.9	866.4
78	0.0005	388	9.12	751.8
76.9	0.0008	154	8.42	702.8
73.7	0.0015	6.5	5.89	688.4
70.6	0.002	0.6	6.53	679.3
69	0.0022	0.9	7.14	656.1
67.2	0.0025	1	8.15	645.3
65.2	0.003	1.1	7.14	621.9
64	0.0032	1.2	8.34	562.5
61.9	0.0037	1.2	6.07	546.3
60.2	0.004	1.5	4.66	532.9
59.3	0.0043	1.5	3.06	530.3
58.7	0.0046	1.5	5.37	529.6
57.6	0.005	1.5	5.41	529.3
57	0.0054	1.5	4.75	558.9
56.7	0.0057	23.6	4.83	653.7
59	0.0064	178	4.87	813.8
64.9	0.0067	397	6.06	874.7
70.3	0.0062	601	8.97	910.7
73	0.0053	762	9.35	904.3
75.7	0.0044	863	8.99	895.9
78.2	0.0037	896	7.83	917.2
79.7	0.0032	854	8.72	926.9
81.1	0.0026	745	9.31	923.1
81.6	0.0017	577	7.87	878.5
81.4	0.0018	363	9.15	755.3
80.4	0.0016	139	7.5	696.3
77.5	0.002	5.1	5.04	686.3
74.7	0.0025	0.5	5.3	687.2
72.7	0.0026	0.6	6.54	662.8
69.7	0.0033	0.7	3.89	626.3
67.1	0.0037	0.9	3.7	601.5
65.1	0.004	1.2	5.68	569
64.3	0.0043	1.2	5.17	558.6
63.3	0.0044	1.2	6.4	544.4
63.1	0.0046	1.2	6.08	542.2
62.4	0.0049	1.4	4.76	538.7
62	0.0051	1.4	3.02	541.5
60.5	0.0054	1.5	4.3	575.2
60	0.0054	24.3	6.82	666.8
62.1	0.0053	180	6.24	812.6
66.7	0.005	392	7.2	892.5
70.5	0.0047	596	7.45	924.3
74.8	0.004	756	6.96	939.7
77.9	0.0031	858	8.15	909.7
80	0.0023	895	9.58	927
81.9	0.0016	856	9.31	933.5
82.8	0.001	743	9.93	926.6
82.7	0.0013	568	9.99	893.1
82.6	0.001	358	9.34	772.6
81.4	0.0014	134	8.08	703.1
78.5	0.0023	4.2	5.69	700.4
75.5	0.003	0.4	5.66	699.2
72.9	0.0035	0.6	3.91	687.8
70.4	0.004	0.7	4.7	650.4
68.5	0.0043	0.9	5.41	606.1
66.4	0.0045	1.1	4.98	574.8
64.8	0.0047	1.1	4.46	558.8
63.3	0.005	1.2	4.07	548.8
62.2	0.0051	1.4	2.87	539.8
61.2	0.0052	1.4	1.58	536.2
60.6	0.0054	1.5	2.97	532.3
59.9	0.0057	1.5	1.81	563.7
59	0.0058	22.6	1.8	652.8
61	0.006	180	3.44	808.2
65.8	0.0063	393	3.03	875.3
71.4	0.0063	600	3.33	897.9
75.7	0.0048	756	7.98	905.1
77.9	0.0037	861	8.04	900
80.2	0.0028	887	7.08	920.8
81.5	0.0027	840	7.48	926.3
83.1	0.0021	728	6.81	913.7
83.3	0.0022	553	5.63	873.7
83	0.0032	334	6.81	753
81.2	0.0062	116	7.69	694.2
77.6	0.0082	3.2	8.14	691.7
74.8	0.009	0.4	5.46	675
72.9	0.0094	0.5	4.07	660.2
71.3	0.0099	0.6	4.02	628.3
70.1	0.0103	0.7	3	581.7
69.3	0.0105	0.9	2.3	564.1
68.3	0.0106	1	0.94	548.6
67	0.0108	1	0.42	546.6
65.6	0.011	1.1	0.73	533.8
65.2	0.0112	1.1	0.86	523.5
64.9	0.0113	1.1	1.84	522.7
63.8	0.0114	1.1	2.17	549.7
63.5	0.0115	18.9	2.39	626.1
64.8	0.0118	86.3	1.61	781.1
67.2	0.0118	163	2.27	849
69.8	0.0118	264	3.61	887.4
73.9	0.0109	523	7.3	908.1
76	0.01	491	8.68	881.7
78.4	0.0089	692	7.69	895.8
80.4	0.0045	688	6.93	887.3
82.1	0.0021	679	6.7	881.8
82.3	0.0063	356	8.26	841.3
82.2	0.0063	288	7.25	682.5
80.5	0.0073	78.7	6.83	612.5
78	0.0085	2.2	4.94	600.5
75.6	0.0093	0.4	5.27	602.4
73.7	0.0101	0.5	5.85	606.7
72	0.0106	0.6	5.61	603.7
71	0.011	0.6	5.98	590.3
69.9	0.0113	0.6	5.24	583.6
68.5	0.0117	0.9	3.96	555.1
67.3	0.0119	0.9	5.36	541.8
66	0.012	1	5.38	535.3
65.3	0.0122	1.1	4.41	533.5
64.8	0.0123	1.1	3.99	533
