i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i11	i12	i13	i14	i15	i16	i17	i18	i19	i20	i21	i22	i23	i24	i25	i26	i27	i28	i29	i30	i31	i32	i33	i34	i35	i36	i37	i38	i39	i40	i41	i42	i43	i44	i45	i46	i47	i48	i49	i50	!o0	!o1
1.0657	0.43632	-0.04002	0.17804	-0.5037	-0.15313	-0.70615	0.82318	0.63682	1.11801	6.18461	3.83617	0.27703	0.11273	5.17182	20.54259	16.18984	8.35357	2.85301	9.0751	1.21298	1.90669	0.27591	0.89696	0.22353	0.09638	-0.43115	1.9422	1.37656	1.71001	2.15475	0.67843	1.32257	1.82865	0.13915	2.1218	0.1931	2.40378	1.53377	1.11468	1.34536	2.58872	-0.03273	0.69772	-0.09024	0.10469	-0.28744	1.34993	0.92299	2.49087	0	1
0.32748	-1.16367	-0.49715	-0.66012	-1.15256	1.21394	0.75239	-1.86007	1.28759	1.01317	10.79954	4.392	3.88477	4.50985	7.16407	43.05853	10.48965	7.61877	12.00331	9.27652	7.74308	-0.49658	-0.40762	-0.45641	0.08933	2.12585	1.29294	-1.50991	3.3855	1.42409	0.31268	1.54433	-0.42435	-0.26243	0.09581	1.30766	0.7447	-1.17254	1.282	1.14345	1.65216	0.1614	-0.14303	-0.55229	-1.04284	1.4284	1.30776	-1.37759	1.33929	0.99704	0	1
0.38513	-0.09285	0.78232	0.55637	-0.01166	1.37231	0.82093	1.77294	0.95193	0.83644	3.5419	16.03227	2.83037	8.63431	12.79496	0.4862	6.30783	27.55511	5.87097	22.3391	0.54088	0.08007	1.30652	0.8242	0.93816	1.3512	0.84645	1.7802	4.5431	1.97988	0.41539	0.6956	1.29676	4.58162	-0.00423	4.50637	1.95655	2.3068	1.25954	1.29429	0.78384	0.57013	1.99172	0.86953	3.61564	1.41282	1.17911	2.96336	2.97701	1.50117	0	1
-0.13506	0.57274	-0.87842	0.29784	1.16805	-0.53554	0.48031	-0.42486	0.41633	0.03738	0.75183	21.51352	2.64089	2.88581	8.85384	9.66404	0.07305	7.17757	13.92076	17.58341	0.33099	0.72883	-0.40293	0.5122	2.54464	0.15067	0.7626	-0.06506	0.58503	0.48149	0.01981	0.8022	-0.80573	1.12427	1.56837	-0.11122	0.46895	0.66778	0.52253	1.85538	0.59565	0.60087	-0.30353	0.7061	1.61323	-0.40357	0.84344	0.18086	0.43707	0.36533	0	1
0.70756	-0.81897	0.05983	-0.4198	-0.32633	1.45474	-0.85967	0.02121	-0.67277	-0.27692	25.4807	34.63872	3.09603	11.64225	3.03957	4.7894	34.32502	4.38576	30.84134	10.58535	2.141	-0.55641	0.39869	-0.06499	0.91703	2.127	-0.27397	0.58108	-0.33909	2.36781	0.91272	-0.21694	0.07647	0.02839	0.50176	2.55838	-0.61821	1.35019	-0.23621	-0.24128	0.94748	0.20171	0.28365	0.73816	1.12021	1.82135	0.44686	1.14596	-0.31288	-0.1273	0	1
-0.3851	0.25831	-0.20381	2.21367	-0.99649	1.01846	-0.38082	0.00911	-0.72231	0.16984	0.61209	17.27729	2.2762	12.82041	14.65433	4.40877	4.27617	1.62572	0.70703	11.97566	1.48255	0.50508	0.32278	3.53049	-0.12045	1.11501	-0.16106	1.09089	-0.15691	3.04865	-0.23109	1.06712	1.2222	2.40085	-0.8058	1.32501	-0.177	2.16113	-0.11729	0.52129	2.567	3.56866	0.72261	2.52383	-0.54617	1.27629	0.29438	0.18786	-0.4387	0.46146	0	1
0.78483	-0.62879	-0.82437	0.67296	1.74494	1.31536	-0.24246	-1.10457	-0.19895	0.1909	6.78708	9.71034	18.30358	1.58854	9.07067	6.58998	1.84919	13.65824	0.85561	6.48553	1.07593	1.48819	0.43501	0.82256	1.78707	1.95154	-0.16707	-0.63914	-0.07691	1.57928	1.28884	0.63213	-0.68467	1.36915	2.11708	2.29069	-0.01192	-0.86086	1.00159	2.4478	1.0124	-0.52353	0.11549	1.05352	1.82507	2.33815	0.52405	0.89313	0.76088	0.48494	0	1
0.72548	-0.16988	-0.66992	-0.03356	-0.06242	-1.1475	-0.85342	0.09002	-0.36124	-0.66961	3.49073	28.47163	14.75304	0.02806	7.49397	0.26398	37.186	15.97476	7.09778	33.02872	1.12285	-0.05784	1.70709	0.8469	0.75277	-1.01742	1.46304	0.11335	-0.12441	0.05658	0.69985	1.88994	-0.14932	0.3509	0.79282	0.32938	-0.36101	1.37559	1.7001	-0.03634	0.97161	2.9863	-0.49518	0.45275	0.3693	0.33883	0.54417	0.26692	1.74936	0.79159	0	1
-0.97757	0.24993	0.44442	0.01587	-1.53062	-0.02737	0.72268	0.10472	0.03998	1.09534	7.39278	2.92869	3.38461	4.38978	2.24426	11.25197	14.63768	6.54375	18.92528	3.47534	-0.59216	1.56047	1.51142	0.12173	-1.34167	0.79813	2.56347	1.19579	0.93026	1.88983	-0.59768	0.48905	5.91457	0.94868	-1.16056	1.65755	1.19598	0.72982	3.57488	2.48711	-0.83026	1.42484	0.90229	0.1155	-1.16547	1.4624	0.807	3.87737	0.43343	1.35028	0	1
0.40075	0.69058	0.41661	0.96291	-0.96681	0.82811	-2.05841	-0.3587	-0.16471	0.99026	12.22565	1.90367	2.88026	6.83722	4.93073	9.9728	2.29722	9.07673	11.40382	26.44545	0.53895	1.12382	1.18713	1.29213	0.29168	0.84809	-1.2784	1.90812	1.6142	1.08513	0.46641	1.81415	0.54882	1.51374	-0.8654	3.22373	-1.53952	0.61989	2.17872	1.41873	0.37461	1.23884	1.85402	0.94846	-0.76097	1.40165	-0.31795	1.03057	1.65497	1.45228	0	1
1.0968	-1.08436	-0.06624	-0.6921	0.85225	-0.13507	1.80676	0.09505	-1.33619	-0.51155	25.81431	7.3566	9.88005	4.89099	4.76496	12.38387	1.64136	2.56443	2.4615	5.81527	1.07146	-0.10836	0.26304	0.18358	1.80291	0.44393	2.55397	3.19391	-0.82022	0.35086	4.21563	-0.3923	0.02843	0.81883	1.59542	0.46516	2.96029	0.68091	-1.15901	-0.32525	2.7275	-0.6422	0.76101	0.5663	2.3308	1.89357	2.03441	0.61555	-0.49638	-0.15631	0	1
-0.6848	0.28963	-1.84787	-0.47627	-0.65793	-0.30733	-0.95386	-0.46093	-1.79184	0.58531	0.69853	9.98126	16.6869	7.35463	3.97656	3.97577	21.91857	0.37463	0.34826	13.56111	-0.39095	4.02132	-1.18517	0.94873	0.10255	0.01602	1.70125	-0.00492	-0.27372	1.05438	-0.51061	0.43253	-1.17922	-0.10399	-0.27719	0.46663	0.3168	-0.2257	-1.5268	0.59806	-0.18535	0.44945	-0.89451	0.12979	-0.16203	0.25224	0.70924	-0.24855	-1.07269	1.17746	0	1
-0.08613	0.04177	0.72312	0.38353	-1.61596	1.00192	1.28546	-0.55564	-0.34381	0.90116	9.48757	14.29615	1.87261	3.69137	0.4536	1.74724	3.16696	1.42672	3.6965	1.10828	0.06009	0.28919	0.88814	1.49092	-0.70245	2.09724	1.19877	1.11415	0.59122	1.18072	0.18784	0.47022	0.82536	1.80237	-0.56109	1.37588	2.29076	-0.44704	-0.14309	1.1702	1.42646	0.40505	2.19725	0.92511	-0.86816	1.78522	2.15121	-0.48192	0.37228	1.02277	0	1
-1.1331	0.30001	0.32144	0.62015	0.0765	-0.55658	1.04448	0.99747	1.84935	0.29262	13.92542	6.14268	0.16997	2.67667	8.57047	9.16139	3.69311	1.26769	7.44355	5.7932	-0.215	2.99061	0.91646	1.75471	1.27007	0.55129	2.11986	1.74564	3.4565	0.74528	-0.62218	1.80154	1.55657	1.88419	0.89499	0.53347	1.84635	1.03637	2.60801	1.69044	-0.39167	0.64203	0.55054	1.66885	0.17513	-0.50772	1.74902	2.38568	3.51478	0.6756	0	1
1.34495	-0.72627	-0.00462	1.53089	-2.65728	1.19483	-1.26865	1.42939	1.38915	0.48691	13.40272	2.62643	2.17908	11.33038	1.05811	4.17474	11.63228	28.4926	0.89677	6.38123	1.42725	-0.48447	0.57682	1.74681	-2.1799	3.72793	1.57438	1.69262	1.84458	1.73719	1.28145	0.37274	0.1224	1.77116	-1.94083	1.24632	0.27252	1.57315	1.39178	1.82525	3.21783	-0.4326	0.19218	2.0509	-0.9227	4.11438	1.76495	1.80218	2.25584	0.52748	0	1
0.60797	-0.82348	-0.7065	-0.17608	-1.75278	-0.05674	0.1209	-0.87347	0.56402	0.13165	5.06897	10.26579	3.94438	3.20621	18.23225	8.81198	1.58174	1.46681	39.76297	25.79898	0.6369	-0.43617	0.63958	-0.1573	-1.50964	0.22173	0.12218	-0.43049	1.09808	0.48617	0.81861	-0.01187	-0.41063	0.01266	-1.24496	0.10089	0.9175	-0.46817	2.12391	1.20544	1.03794	-0.25203	0.48375	0.39356	-1.52817	1.52427	1.03307	-0.5619	0.681	0.24498	0	1
-0.11348	1.53292	-0.21459	2.60995	0.47754	-0.84879	0.64085	-0.17053	0.4929	0.20778	6.07532	3.59682	17.08235	0.76098	18.574	9.84272	4.61959	1.55862	7.1106	5.88638	0.21797	2.87252	-0.07801	2.55744	0.71303	0.00071	1.94906	0.49047	0.77727	0.91314	0.50771	1.66746	1.25152	2.48591	1.08572	1.62586	2.32385	2.3407	0.57068	0.7032	0.55469	1.64568	0.53309	2.9356	0.54847	-0.51341	1.83259	0.46825	0.46674	0.28713	0	1
0.51693	2.77371	0.93178	-0.84196	-0.27216	0.15116	-1.57945	1.14921	0.99165	-1.1137	2.30726	1.75923	5.57845	0.07168	5.27241	9.83649	30.47068	0.45736	22.7412	1.2906	0.89686	3.02045	0.96711	0.0946	0.82289	0.99826	-0.47002	1.06731	1.30205	0.28502	1.24983	7.41807	0.96554	-0.19336	1.14347	1.18368	-1.33532	1.45407	0.91612	-0.86608	1.32008	2.982	2.223	-0.08276	1.62383	0.29215	-1.22191	1.27235	1.15566	0.00961	0	1
-1.80263	1.12588	1.86701	-0.75753	-1.12307	-1.50192	-1.08757	-0.34902	-0.62856	-1.50855	4.66808	1.13647	1.75882	18.87577	5.75151	22.14414	14.82265	11.60343	6.92344	10.40814	-0.69579	2.20477	1.92796	-0.26746	0.69243	-1.28829	-0.90307	2.36835	1.5723	-1.29744	-1.43879	3.18311	2.28093	0.95619	-0.95303	-0.89424	0.47966	1.6454	0.83526	-0.80692	-1.3093	1.29285	2.12307	0.37748	-0.32752	-0.40871	-0.52249	-0.0453	0.56616	-0.99572	0	1
1.33515	2.29889	0.50954	-0.86386	-0.08128	0.64032	-1.135	0.29442	-0.30137	-0.44728	2.75161	0.14164	21.25782	2.30966	30.20076	5.47175	8.22191	22.46214	3.79189	0.17305	3.73688	2.37131	1.20592	-0.40959	1.89885	0.8123	-0.6552	0.50767	-0.12109	-0.18603	1.55203	6.32107	0.68898	1.17629	1.03686	1.28823	0.46568	0.71736	0.07786	-0.37452	2.01781	2.24371	1.67513	-0.18301	0.01539	2.24854	3.3681	1.10811	0.55344	0.22597	0	1
1.22835	1.84825	1.77741	-1.51976	0.72105	1.74717	-0.07637	1.70485	-0.10967	-2.25922	5.98374	6.98599	11.3908	0.01252	2.67339	8.81266	15.64292	10.71715	28.18865	2.91325	2.21759	1.79527	1.77323	-0.74034	0.91833	1.87775	0.08245	2.8831	0.52786	-0.85974	2.90391	1.89931	1.6506	-1.21233	2.08026	2.68044	-0.00831	1.61132	0.22099	0.26631	1.37044	1.83925	3.09623	0.08337	1.43927	2.05243	0.68398	2.4262	0.62934	-1.89474	0	1
-0.35866	-1.48766	-0.07582	0.3937	-0.73357	0.58424	1.10858	-0.97332	-1.24911	0.51986	3.46064	11.33113	2.76959	4.81267	9.56402	12.87241	13.83914	25.64065	2.4768	3.91682	-0.13244	-0.08197	0.02706	1.79299	-0.34776	2.42479	2.49701	-0.56521	0.56137	1.10029	-0.19953	-1.31762	0.04959	0.52271	3.06666	2.03132	2.7685	0.15329	-0.662	0.64639	2.33202	1.33233	0.18609	1.09596	1.56613	1.44033	2.2313	-0.69199	0.01337	1.37046	0	1
-0.77246	0.73419	-0.85832	0.94582	0.98811	1.44073	0.83188	-0.52789	-0.97422	-1.1974	4.94276	2.73569	4.06838	10.10703	10.86023	9.1482	8.63407	6.62212	18.03201	20.71633	-0.41044	1.22511	-0.45761	3.40166	1.29297	1.71831	1.05118	-0.40766	0.49845	1.92873	0.36609	0.99073	-0.74368	4.67097	2.13147	1.73315	1.58816	0.09415	-0.12945	-0.81599	-0.4637	2.00859	-0.77307	2.63514	1.13943	2.4001	2.16923	-0.07466	-0.37039	-0.07072	0	1
-0.38891	-1.11708	0.78357	1.89452	1.79062	0.35061	-0.4014	-0.02695	-0.37096	1.73185	0.47367	20.47489	10.316	11.04898	2.8385	2.737	9.88144	7.69409	4.09638	1.82536	-0.3532	0.1777	3.38365	2.46243	1.73522	0.32266	0.46195	2.53073	0.50294	3.37239	0.05787	-1.01461	0.78324	2.21977	3.42539	3.76036	-0.23955	-0.01225	1.73932	1.63278	0.53641	0.37825	1.5498	1.87654	2.59544	1.89953	-0.0506	1.04425	0.68126	1.60087	0	1
-0.30437	-1.58636	0.38878	-0.84091	-0.10249	0.39516	-0.77658	0.72335	-0.25451	1.30775	17.43897	9.04013	9.83147	0.48722	1.84768	18.20227	16.90395	2.3479	9.15395	5.68802	1.60701	0.50389	1.00814	0.74954	0.55138	1.59698	2.17754	0.69905	0.13046	1.84922	2.81779	-1.08244	0.66471	-0.23695	-0.04308	1.42713	0.57128	1.45584	-0.05237	1.29793	0.03954	2.26168	1.18322	4.22793	0.02586	0.41662	-0.41141	1.28616	1.30658	2.60933	0	1
1.15222	-0.50505	0.65704	0.1541	0.23109	1.13451	-0.41942	-0.95624	-1.12439	-0.6006	9.68322	5.8089	23.51741	17.21718	17.01547	14.26411	4.63253	1.55025	0.70634	0.94752	1.10173	0.52859	1.20601	0.82486	0.42517	1.2742	1.69247	-0.63723	-0.88204	-0.14092	1.79914	1.54215	4.71061	0.29546	0.42834	1.79509	0.25171	-0.25509	-0.63454	-0.1675	1.66902	-0.41519	2.66196	1.15944	0.85373	1.14185	0.61514	-0.779	-0.40202	-0.16858	0	1
-0.3494	0.60897	0.70403	-0.36955	-1.17497	-0.01405	-1.25237	-0.17295	0.60341	0.7243	7.19977	2.65548	3.81069	10.84094	10.65718	4.62702	2.47029	0.00955	9.81565	6.68738	0.02737	1.428	2.124	-0.08904	-1.00394	1.67399	-0.92019	0.7475	1.46357	2.29762	0.1448	3.98967	1.27979	-0.22574	-0.81066	0.48929	0.43243	0.93815	2.28987	0.85569	0.0756	0.64264	1.91489	0.59256	-0.60291	0.29713	-0.25286	0.0036	0.93317	1.5227	0	1
1.42761	0.88511	0.30846	2.05706	0.31958	-1.39133	0.23572	0.67088	0.99855	0.53708	0.76091	7.51657	0.03362	41.73036	11.58743	18.69952	1.04958	8.03587	21.24851	3.65637	2.74987	1.05991	1.15477	2.46631	1.36317	-1.05387	0.76409	1.48215	2.51043	1.69042	2.10589	0.8703	0.56389	2.09397	0.40634	-1.14059	0.62387	1.52238	1.40236	1.13543	1.81589	1.91769	1.87386	2.65958	1.55251	-0.44642	0.43751	1.57358	0.92554	0.92742	0	1
0.68539	-2.74038	-0.40087	-1.4025	-0.66529	-0.14579	0.76516	-0.2006	-0.87281	-0.12563	18.46921	3.8373	6.42497	4.30255	2.64768	7.48025	11.94916	18.53812	4.77868	3.5755	0.78459	-2.42769	1.44254	-0.04617	0.33387	1.82235	0.7062	0.13367	-0.7673	-0.04521	0.94421	-2.24506	0.18794	-0.02879	0.86163	0.95363	0.94844	0.50388	0.75227	3.82927	1.91292	-2.35748	0.05306	-0.19908	-0.32102	2.2571	1.12489	0.40735	-0.54227	1.40618	0	1
2.33861	-0.98881	-0.0668	-0.29095	0.00189	-0.11739	0.55048	-0.42985	1.4983	-2.09129	5.93522	3.75395	7.8088	8.95223	7.75998	3.85386	17.58877	7.01253	12.27783	3.68681	3.86642	-0.62738	0.64237	0.0393	2.17992	0.18936	0.76055	0.72224	1.65503	-1.91529	2.32561	-0.54344	0.45452	0.63293	0.81789	0.76322	1.35504	-0.30711	1.71872	-1.81716	2.3323	-0.73014	0.19732	-0.21329	2.09042	1.62686	1.25659	0.43017	1.58199	-1.44702	0	1
-0.75347	2.5326	0.23563	-1.2161	0.42966	0.30961	0.18004	0.84278	0.99424	0.90966	4.05766	4.50641	16.00727	4.46934	4.50784	3.08338	6.99973	31.03474	0.3054	22.77877	0.27642	2.63	0.62892	0.6429	0.63456	0.32146	1.98578	1.4091	1.49905	1.73216	2.1955	3.51045	0.32234	-0.92888	0.82789	1.70932	0.88971	0.95951	1.76764	1.48075	0.51643	2.66454	1.45635	-1.05135	0.92845	0.29644	0.21826	2.86501	1.31886	2.13473	0	1
0.56636	-0.0353	0.80579	0.19511	0.5933	0.67989	-0.18159	2.04286	1.49627	0.70038	2.33029	3.09992	12.58989	17.16443	11.17504	14.646	18.00522	7.23704	4.38144	8.66859	0.70237	4.22737	0.80946	2.23277	0.95655	1.71503	-0.10064	2.54683	1.45491	1.03743	1.80467	0.56533	1.65433	1.95969	1.08145	1.86784	-0.12249	2.10258	1.63233	1.62062	1.59744	0.63173	1.36251	1.57321	1.20221	0.86814	0.35877	3.13507	1.52043	0.67005	0	1
1.36033	0.66628	1.00623	0.60077	-0.66983	-0.51682	-0.29913	0.91149	0.64348	-0.12534	25.23535	11.93592	2.79351	13.51911	3.74101	1.01838	12.67266	0.60026	7.77772	10.19385	2.24893	0.628	2.36481	1.56268	-0.24211	-0.42479	3.52663	0.87272	0.92954	1.13991	1.85738	1.2601	1.21748	0.87889	-0.19183	0.29636	-0.01881	1.03081	0.74865	1.16653	1.72001	0.96227	1.36815	1.59005	-0.32961	2.01812	0.08122	1.86285	0.67572	0.76766	0	1
-1.60828	-1.13399	-1.04697	2.08172	0.39314	0.89277	0.38758	-0.48553	1.34151	0.16869	18.79784	2.67796	0.01583	9.0889	39.79886	1.39835	1.89682	1.49963	6.22994	16.23751	-1.19352	0.88015	-0.03629	2.72583	0.82559	0.95067	0.66909	-0.31237	1.87405	1.70806	-0.67521	-0.53266	0.27814	3.00217	1.00949	0.85937	1.29992	0.10249	1.32218	1.05229	-1.11806	0.09129	-0.08407	2.53333	1.25423	2.18301	0.46909	-0.38237	1.37954	0.78706	0	1
-1.11619	1.13693	1.1537	0.20936	0.09694	-0.20507	-0.52441	-1.37118	-0.86997	-0.28906	16.5592	1.17969	3.79021	8.16731	23.31942	5.32042	14.16123	1.91046	3.74684	19.64635	-0.15606	1.3969	1.58406	0.38582	1.53636	1.85924	-0.0365	-1.04728	-0.72231	-0.0986	-0.88174	1.29725	1.1564	2.86774	0.29933	-0.08692	0.56632	-0.0575	0.17487	0.53211	-0.40818	2.51947	1.48136	1.19044	0.09913	1.4741	1.38908	1.29072	-0.08435	1.78475	0	1
0.75169	0.56924	0.0183	-0.11976	0.46549	-0.52116	-1.28388	0.48844	1.22915	-1.11088	2.24744	3.96339	1.27783	11.01382	5.44067	4.79342	24.61941	6.07024	1.0444	7.64656	1.14438	0.626	0.28329	0.18848	0.62027	1.03248	-0.29451	0.59043	2.97835	-0.82632	0.70227	1.32581	0.3975	1.5139	1.12849	-0.35551	-0.59303	1.32839	2.85598	-0.92073	0.70185	4.11195	0.34054	0.18285	0.69855	-0.44358	-1.09522	1.10201	1.36688	-0.34165	0	1
2.13434	0.48435	-1.0153	1.95217	-1.0141	-0.99192	-0.99158	-0.65376	-0.82096	0.37836	6.74369	2.04498	2.13262	5.93067	2.49926	2.29957	8.99758	8.71713	6.61074	1.56631	3.02066	1.60578	-0.92335	1.85346	0.35581	0.00535	-0.8269	-0.33385	-0.01989	1.43516	2.65084	1.38233	-0.4974	3.30139	-0.60447	-0.09181	-0.01843	2.39731	-0.59716	0.57916	2.6383	0.60182	0.66808	2.65174	-0.29137	0.15519	-0.43543	2.65386	1.5319	0.99841	0	1
1.20081	-0.82098	0.61623	1.47362	0.85938	-0.99233	-0.02428	-2.02434	0.46841	1.64408	8.24695	11.50626	1.70552	4.42249	0.22445	1.63741	29.46318	22.39186	43.9511	27.30542	4.48293	0.38297	0.70227	4.76837	1.20337	-0.01273	0.2923	-1.55535	0.66385	2.10049	1.7761	-0.73566	1.3853	1.51781	2.84388	-0.55758	1.21102	1.0391	0.82507	2.36148	1.97477	-0.71991	0.80978	4.61544	2.54874	-0.58455	0.32037	-1.62553	0.95056	1.95703	0	1
0.98966	1.59768	-2.12352	0.0295	0.43973	0.83374	-2.68898	-0.25928	-0.38663	0.68625	11.59354	13.20397	4.39099	22.31098	12.3111	2.7994	8.18377	5.93402	11.16212	6.82982	4.06021	2.46007	-0.66264	0.74205	0.97361	1.63082	-1.45168	0.79413	2.38413	0.72745	2.73014	2.15302	-0.87555	1.44753	2.72052	1.43874	-2.20493	0.201	-0.27333	0.68411	1.29146	2.7284	-1.84907	2.44094	1.85759	2.22524	-1.42074	1.41174	0.85343	2.40909	0	1
0.27593	-2.70631	1.96656	-0.39809	0.42822	-0.35349	1.50794	-0.44411	-0.48213	1.53079	8.1666	19.4095	19.21578	7.20117	6.74944	6.78795	4.48291	4.84108	7.21315	18.26584	0.90516	-2.2278	1.82441	2.28599	0.57199	-0.1255	1.5403	0.71175	0.03585	2.08809	0.85588	-2.32322	2.35618	0.07959	0.98848	-0.09507	1.42668	-0.39698	1.30023	1.48671	0.3496	-1.53881	4.9657	2.28083	0.74892	0.22764	3.16733	-0.30594	-0.20721	1.73295	0	1
