a0	a3	!t0	!t1	!t2
25	254	0	1	0
129	16	0	1	0
99	60	0	1	0
41	64	0	1	0
131	34	0	1	0
129	60	0	1	0
166	135	0	1	0
90	28	0	1	0
158	239	0	1	0
155	96	0	1	0
155	120	0	1	0
156	195	0	1	0
149	31	0	1	0
156	129	0	1	0
168	4	0	1	0
77	130	0	1	0
118	60	0	1	0
105	116	0	1	0
123	16	0	1	0
131	5	0	1	0
139	40	0	1	0
107	30	0	1	0
141	143	0	1	0
92	120	0	1	0
147	167	0	1	0
20	0	0	1	0
148	112	0	1	0
121	12	0	1	0
139	60	0	1	0
167	112	0	1	0
120	143	0	1	0
81	60	0	1	0
107	252	0	1	0
153	14	0	1	0
135	221	0	1	0
100	127	0	1	0
169	199	0	1	0
158	48	0	1	0
138	48	0	1	0
121	34	0	1	0
138	24	0	1	0
109	155	0	1	0
79	126	0	1	0
138	60	0	1	0
137	62	0	1	0
148	30	0	1	0
145	225	0	1	0
129	15	0	1	0
150	64	0	1	0
145	255	0	1	0
165	12	0	1	0
154	30	0	1	0
131	135	0	1	0
35	100	0	1	0
134	227	0	1	0
114	28	0	1	0
133	255	0	1	0
165	230	0	1	0
137	255	0	1	0
77	143	0	1	0
137	231	0	1	0
80	124	0	1	0
164	8	0	1	0
120	193	0	1	0
163	51	0	1	0
135	124	0	1	0
115	24	0	1	0
132	6	0	1	0
134	120	0	1	0
123	193	0	1	0
110	157	0	1	0
131	61	0	1	0
156	96	0	1	0
51	16	0	1	0
148	15	0	1	0
154	34	0	1	0
117	7	0	1	0
14	252	0	1	0
69	14	0	1	0
121	0	0	1	0
167	32	0	1	0
169	195	0	1	0
151	82	0	1	0
172	135	0	1	0
168	32	0	1	0
140	2	0	1	0
117	61	0	1	0
161	28	0	1	0
129	206	0	1	0
93	255	0	1	0
133	195	0	1	0
113	29	0	1	0
114	6	0	1	0
121	30	0	1	0
148	131	0	1	0
73	231	0	1	0
124	224	0	1	0
114	185	0	1	0
118	120	0	1	0
154	28	0	1	0
156	193	0	1	0
160	185	0	1	0
170	0	0	1	0
92	60	0	1	0
167	124	0	1	0
70	124	0	1	0
108	255	0	1	0
161	155	0	1	0
151	32	0	1	0
110	28	0	1	0
123	241	0	1	0
101	249	0	1	0
155	110	0	1	0
127	205	0	1	0
160	126	0	1	0
148	67	0	1	0
122	236	0	1	0
148	8	0	1	0
139	124	0	1	0
76	189	0	1	0
75	52	0	1	0
144	2	0	1	0
107	225	0	1	0
135	4	0	1	0
140	60	0	1	0
114	223	0	1	0
39	158	0	1	0
126	66	0	1	0
141	199	0	1	0
158	195	0	1	0
143	60	0	1	0
90	199	0	1	0
166	40	0	1	0
49	124	0	1	0
49	195	0	1	0
146	14	0	1	0
125	229	0	1	0
152	223	0	1	0
120	215	0	1	0
137	233	0	1	0
125	195	0	1	0
162	0	0	1	0
166	196	0	1	0
53	158	0	1	0
146	74	0	1	0
127	62	0	1	0
100	195	0	1	0
62	107	0	1	0
51	112	0	1	0
129	0	0	1	0
129	56	0	1	0
165	255	0	1	0
169	129	0	1	0
149	120	0	1	0
157	2	0	1	0
148	199	0	1	0
136	240	0	1	0
157	243	0	1	0
129	159	0	1	0
121	135	0	1	0
169	16	0	1	0
136	255	0	1	0
153	159	0	1	0
160	135	0	1	0
138	225	0	1	0
157	46	0	1	0
117	7	0	1	0
83	252	0	1	0
148	193	0	1	0
122	227	0	1	0
101	241	0	1	0
89	60	0	1	0
85	60	0	1	0
143	195	0	1	0
180	32	0	1	0
155	55	0	1	0
117	96	0	1	0
110	0	0	0	1
103	143	0	0	1
98	7	0	0	1
98	23	0	0	1
91	36	0	0	1
100	0	0	0	1
96	247	0	0	1
107	0	0	0	1
95	119	0	0	1
103	154	0	0	1
107	0	0	0	1
86	28	0	0	1
81	28	0	0	1
96	30	0	0	1
91	225	0	0	1
93	221	0	0	1
82	223	0	0	1
56	247	0	0	1
109	8	0	0	1
113	2	0	0	1
94	135	0	0	1
111	8	0	0	1
110	128	0	0	1
89	227	0	0	1
86	223	0	0	1
88	124	0	0	1
98	220	0	0	1
102	207	0	0	1
87	193	0	0	1
83	255	0	0	1
95	15	0	0	1
94	112	0	0	1
100	112	0	0	1
74	0	0	0	1
104	15	0	0	1
85	255	0	0	1
94	159	0	0	1
101	48	0	0	1
95	1	0	0	1
98	55	0	0	1
119	241	0	0	1
86	140	0	0	1
108	112	0	0	1
89	127	0	0	1
78	30	0	0	1
101	247	0	0	1
89	0	0	0	1
96	8	0	0	1
105	0	0	0	1
99	32	0	0	1
97	189	0	0	1
97	231	0	0	1
96	31	0	0	1
101	0	0	0	1
106	135	0	0	1
102	112	0	0	1
119	241	0	0	1
87	180	0	0	1
93	227	0	0	1
102	7	0	0	1
89	29	0	0	1
102	113	0	0	1
77	30	0	0	1
93	63	0	0	1
106	103	0	0	1
88	124	0	0	1
81	197	0	0	1
82	52	0	0	1
103	247	0	0	1
92	159	0	0	1
102	0	0	0	1
96	255	0	0	1
87	247	0	0	1
88	253	0	0	1
96	72	0	0	1
83	205	0	0	1
112	247	0	0	1
101	133	0	0	1
84	126	0	0	1
96	254	0	0	1
90	62	0	0	1
99	243	0	0	1
81	14	0	0	1
93	241	0	0	1
106	120	0	0	1
90	231	0	0	1
103	119	0	0	1
100	32	0	0	1
101	249	0	0	1
95	1	0	0	1
90	160	0	0	1
96	248	0	0	1
118	159	0	0	1
101	0	0	0	1
97	120	0	0	1
106	112	0	0	1
96	221	0	0	1
105	143	0	0	1
97	225	0	0	1
113	124	0	0	1
89	252	0	0	1
100	238	0	0	1
92	32	0	0	1
93	3	0	0	1
102	118	0	0	1
80	0	0	0	1
94	24	0	0	1
80	8	0	0	1
100	255	0	0	1
98	28	0	0	1
86	12	0	0	1
80	223	0	0	1
105	120	0	0	1
87	8	0	0	1
80	0	0	0	1
97	246	0	0	1
105	30	0	0	1
109	28	0	0	1
101	193	0	0	1
85	124	0	0	1
94	95	0	0	1
113	120	0	0	1
81	62	0	0	1
90	58	0	0	1
110	135	0	0	1
88	227	0	0	1
73	135	0	0	1
72	30	0	0	1
99	120	0	0	1
86	60	0	0	1
93	120	0	0	1
104	224	0	0	1
98	227	0	0	1
103	22	0	0	1
87	30	0	0	1
100	30	0	0	1
106	159	0	0	1
89	129	0	0	1
81	6	0	0	1
105	193	0	0	1
118	143	0	0	1
87	223	0	0	1
90	64	0	0	1
96	60	0	0	1
105	249	0	0	1
109	119	0	0	1
113	248	0	0	1
107	255	0	0	1
92	8	0	0	1
86	32	0	0	1
96	129	0	0	1
106	247	0	0	1
104	32	0	0	1
92	253	0	0	1
108	128	0	0	1
94	0	0	0	1
101	240	0	0	1
110	120	0	0	1
101	128	0	0	1
102	7	0	0	1
105	7	0	0	1
98	0	0	0	1
81	193	0	0	1
96	253	0	0	1
105	12	0	0	1
111	14	0	0	1
86	2	0	0	1
86	120	0	0	1
103	32	0	0	1
83	96	0	0	1
90	62	0	0	1
117	0	0	0	1
88	255	0	0	1
107	120	0	0	1
104	120	0	0	1
98	30	0	0	1
87	126	0	0	1
85	217	0	0	1
83	60	0	0	1
93	30	0	0	1
103	3	0	0	1
92	253	0	0	1
94	8	0	0	1
92	243	0	0	1
91	12	0	0	1
99	209	0	0	1
109	128	0	0	1
92	255	0	0	1
105	120	0	0	1
98	7	0	0	1
78	254	0	0	1
106	248	0	0	1
99	240	0	0	1
103	159	0	0	1
100	137	0	0	1
90	30	0	0	1
90	62	0	0	1
92	128	0	0	1
91	225	0	0	1
98	55	0	0	1
101	195	0	0	1
106	24	0	0	1
100	143	0	0	1
85	30	0	0	1
84	0	0	0	1
77	48	0	0	1
72	143	0	0	1
104	112	0	0	1
101	248	0	0	1
102	194	0	0	1
106	135	0	0	1
99	28	0	0	1
108	112	0	0	1
84	193	0	0	1
96	2	0	0	1
86	62	0	0	1
90	253	0	0	1
102	119	0	0	1
96	193	0	0	1
97	28	0	0	1
99	255	0	0	1
84	60	0	0	1
117	8	0	0	1
80	253	0	0	1
105	192	0	0	1
106	241	0	0	1
96	0	0	0	1
104	248	0	0	1
104	120	0	0	1
88	62	0	0	1
102	135	0	0	1
98	255	0	0	1
110	255	0	0	1
77	96	0	0	1
104	135	0	0	1
110	127	0	0	1
89	6	0	0	1
100	127	0	0	1
82	28	0	0	1
93	159	0	0	1
106	247	0	0	1
96	220	0	0	1
95	60	0	0	1
95	7	0	0	1
96	127	0	0	1
91	135	0	0	1
83	225	0	0	1
83	255	0	0	1
92	30	0	0	1
102	159	0	0	1
