i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i11	i12	i13	i14	i15	i16	i17	i18	i19	i20	i21	i22	i23	i24	i25	i26	i27	i28	i29	i30	i31	i32	i33	i34	i35	i36	i37	i38	i39	i40	i41	i42	i43	i44	i45	i46	i47	i48	i49	i50	!ho	!h1
0.4336	0.06299	0.31522	0.15736	0.0747	0.47935	0.19181	0.05231	0.00241	0.42244	0.17909	0.62317	0.89846	0.42762	0.51473	0.11317	0.75321	0.85138	0.58316	0.90245	0.5478	0.06855	0.42719	0.47559	0.13615	0.13774	0.35129	0.50846	0.52486	0.60228	0.41088	0.47795	0.58966	0.26816	0.07067	0.38925	0.07741	0.11159	0.0584	0.25915	0.58084	0.46324	0.14466	0.13175	0.06684	0.51186	0.0854	0.24269	0.41195	0.11396	0	1
0.37468	0.34816	0.14226	0.22304	0.05698	0.35439	0.31601	0.29006	0.03407	0.08321	0.09383	0.65603	0.67706	0.25505	0.54163	0.66164	0.4811	0.92341	0.67351	0.71256	0.42356	0.22143	0.28151	0.26889	0.18103	0.15349	0.4676	0.48084	0.51196	0.41689	0.35914	0.41258	0.52002	0.21043	0.256	0.4663	0.07218	0.16823	0.22261	0.26475	0.43562	0.47615	0.09018	0.11238	0.19646	0.31051	0.04866	0.26005	0.3359	0.0437	0	1
0.31332	0.05931	0.04067	0.37785	0.17691	0.34911	0.164	0.35885	0.07185	0.4692	0.49475	0.07261	0.41417	0.57032	0.94289	0.44716	0.01953	0.76225	0.95193	0.28528	0.40761	0.39693	0.27947	0.41415	0.2193	0.18696	0.36202	0.39108	0.31192	0.48798	0.42945	0.31216	0.2957	0.31459	0.18359	0.47145	0.34027	0.15922	0.30091	0.37064	0.33697	0.466	0.27217	0.26171	0.20738	0.43898	0.35129	0.37003	0.36965	0.15112	0	1
0.49917	0.43296	0.01792	0.24881	0.44595	0.03842	0.30441	0.22131	0.2551	0.2481	0.10198	0.53429	0.20085	0.92851	0.21881	0.20972	0.88384	0.36583	0.37796	0.85854	0.29563	0.42944	0.13206	0.27407	0.37519	0.44555	0.03564	0.19873	0.08563	0.26966	0.09659	0.03249	0.12338	0.59896	0.48099	0.2393	0.48737	0.48712	0.41927	0.46492	0.03614	0.03467	0.45478	0.5269	0.46575	0.04037	0.32693	0.39491	0.25302	0.55064	0	1
0.2658	0.25403	0.31047	0.0957	0.40347	0.48568	0.37353	0.47336	0.23111	0.16032	0.85671	0.96573	0.97867	0.40728	0.02364	0.41487	0.03161	0.68387	0.01002	0.48763	0.44767	0.4004	0.45866	0.39522	0.35915	0.29874	0.35837	0.4247	0.61467	0.36684	0.38022	0.56502	0.49754	0.34892	0.51183	0.62681	0.51549	0.5459	0.35865	0.37482	0.41621	0.61268	0.44962	0.35887	0.56294	0.58905	0.35034	0.54008	0.44343	0.4719	0	1
0.31797	0.21142	0.01475	0.28611	0.1231	0.03836	0.12812	0.02392	0.28481	0.23256	0.89112	0.84646	0.46298	0.64078	0.04965	0.22869	0.56806	0.01882	0.55983	0.25419	0.12924	0.21252	0.27961	0.08538	0.23584	0.35138	0.30191	0.23255	0.23598	0.04157	0.04331	0.12315	0.26818	0.19517	0.35133	0.24354	0.22943	0.32009	0.18791	0.25594	0.23766	0.12416	0.22601	0.25587	0.35709	0.11959	0.09874	0.25602	0.30551	0.12221	0	1
0.4622	0.39026	0.39463	0.42086	0.40892	0.20799	0.05533	0.48698	0.15197	0.44398	0.97084	0.11623	0.5197	0.98451	0.1355	0.70467	0.22439	0.70096	0.39467	0.39112	0.28738	0.39143	0.3062	0.28869	0.37689	0.38296	0.40964	0.29799	0.18212	0.29792	0.31115	0.23831	0.15064	0.4865	0.54357	0.16725	0.32463	0.53324	0.38012	0.39269	0.28967	0.17631	0.45316	0.43256	0.50416	0.37483	0.4067	0.5498	0.19041	0.30301	0	1
0.05249	0.1163	0.39518	0.30938	0.07537	0.26497	0.27666	0.14832	0.10535	0.35263	0.98874	0.64788	0.62245	0.27946	0.43706	0.77199	0.35499	0.29481	0.5629	0.7442	0.32012	0.24336	0.24234	0.34955	0.06668	0.175	0.27072	0.23681	0.3016	0.40706	0.23664	0.22007	0.23012	0.05813	0.28112	0.29636	0.10662	0.32121	0.32173	0.0636	0.346	0.22454	0.31509	0.07536	0.09796	0.21647	0.11822	0.21484	0.22908	0.16867	0	1
0.23527	0.37837	0.12287	0.15923	0.36072	0.3319	0.2067	0.3405	0.02244	0.06901	0.44001	0.78393	0.15396	0.19098	0.28124	0.7546	0.14665	0.21002	0.20498	0.91112	0.44496	0.41296	0.26728	0.44385	0.42356	0.3112	0.40992	0.45559	0.34494	0.24948	0.40585	0.29735	0.49248	0.26193	0.35143	0.43579	0.26389	0.28983	0.28921	0.3115	0.39682	0.25036	0.39991	0.28551	0.39585	0.45908	0.3145	0.49489	0.46495	0.49711	0	1
0.3399	0.46048	0.01704	0.43104	0.31133	0.10924	0.07335	0.08918	0.17542	0.42945	0.44742	0.37525	0.15891	0.35606	0.65008	0.09042	0.64997	0.91603	0.42329	0.82741	0.205	0.28137	0.20454	0.253	0.42021	0.47824	0.2901	0.31071	0.30345	0.1679	0.12265	0.12606	0.22874	0.48609	0.41951	0.13063	0.2965	0.40283	0.3302	0.5007	0.25624	0.15024	0.46889	0.32847	0.24008	0.18197	0.25231	0.37121	0.17827	0.45056	0	1
0.34412	0.13247	0.27405	0.06048	0.14379	0.12519	0.19853	0.3859	0.12677	0.24649	0.85522	0.94078	0.75221	0.28546	0.79021	0.17949	0.39555	0.45069	0.67663	0.95151	0.16131	0.29728	0.22707	0.33152	0.16835	0.25659	0.11946	0.13977	0.19603	0.09669	0.26136	0.12612	0.30611	0.12733	0.23907	0.23848	0.2026	0.25801	0.2408	0.35155	0.16428	0.19263	0.28022	0.34139	0.31926	0.22837	0.18767	0.31057	0.34782	0.31748	0	1
0.02522	0.0514	0.36575	0.3592	0.2366	0.43877	0.39015	0.31494	0.25441	0.14192	0.26874	0.15306	0.75718	0.27805	0.64077	0.0713	0.39968	0.36905	0.75416	0.61037	0.32225	0.37045	0.40536	0.44764	0.28042	0.41655	0.37415	0.39955	0.36624	0.50389	0.55924	0.49946	0.49306	0.42718	0.1807	0.46785	0.23818	0.28678	0.30296	0.22076	0.35563	0.50856	0.33764	0.3638	0.39004	0.39972	0.25006	0.33859	0.51804	0.25498	0	1
0.00061	0.23292	0.48694	0.38059	0.46464	0.09518	0.04302	0.20752	0.12799	0.28548	0.10769	0.35638	0.93811	0.48615	0.46604	0.78248	0.72805	0.50118	0.54701	0.25948	0.13113	0.36642	0.20698	0.15143	0.39229	0.5422	0.24087	0.16688	0.0696	0.27097	0.28654	0.18722	0.22435	0.40622	0.33672	0.15792	0.36205	0.38125	0.47882	0.56207	0.08876	0.12719	0.38573	0.49762	0.58098	0.34453	0.52598	0.5937	0.20433	0.37095	0	1
0.26116	0.18695	0.12446	0.31184	0.29397	0.23312	0.45177	0.18882	0.23018	0.16934	0.8828	0.84819	0.63642	0.74763	0.99724	0.23111	0.66267	0.5897	0.7443	0.87797	0.20272	0.36183	0.37809	0.44131	0.32807	0.2229	0.41569	0.18232	0.3078	0.34841	0.21651	0.25211	0.25929	0.48238	0.27194	0.1985	0.30158	0.38126	0.22024	0.32742	0.27043	0.3093	0.45628	0.30124	0.2216	0.2592	0.34518	0.32807	0.37038	0.32692	0	1
0.378	0.46262	0.13114	0.09757	0.13529	0.41883	0.30063	0.29944	0.34282	0.11777	0.5437	0.43316	0.90138	0.5567	0.12529	0.00152	0.28735	0.14372	0.37673	0.27107	0.4236	0.14197	0.41219	0.50052	0.25267	0.11582	0.46519	0.33833	0.55496	0.50134	0.45223	0.37098	0.56812	0.35093	0.15499	0.52065	0.23069	0.13647	0.36519	0.35524	0.52644	0.32934	0.27413	0.14805	0.28538	0.48739	0.19335	0.12694	0.53507	0.11235	0	1
0.12398	0.21207	0.27011	0.4114	0.19205	0.41693	0.28608	0.42707	0.25937	0.46725	0.48622	0.19512	0.6274	0.11423	0.20662	0.37412	0.88997	0.48529	0.75604	0.90502	0.41009	0.34178	0.38912	0.33061	0.35148	0.29744	0.38789	0.49557	0.47982	0.37494	0.52093	0.41454	0.55468	0.33322	0.16042	0.30391	0.14974	0.21325	0.32815	0.37326	0.4717	0.30154	0.32442	0.33245	0.21604	0.42539	0.388	0.34745	0.31744	0.34099	0	1
0.24491	0.2565	0.34211	0.30327	0.18673	0.18328	0.43774	0.26489	0.48066	0.23848	0.2412	0.08193	0.72548	0.56999	0.03385	0.90883	0.40056	0.19022	0.81399	0.56009	0.25937	0.23078	0.26613	0.37727	0.26518	0.36069	0.14914	0.19613	0.34628	0.1743	0.1813	0.24421	0.13567	0.13862	0.28832	0.16095	0.26163	0.22482	0.25779	0.30746	0.25012	0.16827	0.34284	0.37393	0.25724	0.19008	0.3926	0.33408	0.25853	0.2419	0	1
0.3873	0.34536	0.11182	0.14574	0.17588	0.22546	0.31751	0.28477	0.49068	0.2025	0.45797	0.63088	0.67416	0.73124	0.90248	0.58805	0.95164	0.75351	0.49719	0.19306	0.2827	0.3908	0.32962	0.24271	0.2807	0.1619	0.29539	0.38669	0.36462	0.3796	0.18343	0.39946	0.26128	0.32874	0.1379	0.32993	0.12737	0.30413	0.39819	0.14642	0.24787	0.44105	0.14638	0.18485	0.35409	0.3925	0.1868	0.24638	0.35368	0.21699	0	1
0.30099	0.34395	0.4031	0.37419	0.35022	0.27051	0.20012	0.05941	0.2148	0.1777	0.10427	0.02052	0.73497	0.64028	0.56709	0.5945	0.6428	0.33331	0.40151	0.50368	0.33357	0.37858	0.39001	0.42185	0.49338	0.29507	0.38239	0.27904	0.43541	0.21665	0.19752	0.38031	0.21683	0.33285	0.5315	0.36093	0.34398	0.33918	0.39265	0.44532	0.46832	0.35785	0.27422	0.49919	0.50889	0.30212	0.4874	0.51064	0.43713	0.46949	0	1
0.38346	0.22515	0.2893	0.35687	0.05154	0.17773	0.1155	0.36548	0.33255	0.0748	0.57197	0.21249	0.33468	0.39885	0.16714	0.25142	0.49557	0.89002	0.99135	0.61789	0.24051	0.06592	0.32744	0.34552	0.2935	0.18597	0.38011	0.35352	0.28902	0.19325	0.40116	0.24753	0.27313	0.06548	0.12523	0.17345	0.26641	0.28313	0.04657	0.31353	0.3742	0.25449	0.24431	0.17453	0.08265	0.36214	0.18588	0.25868	0.1637	0.24762	0	1
0.3726	0.00266	0.05367	0.37979	0.12944	0.01614	0.40684	0.40537	0.43422	0.2996	0.2951	0.25509	0.57032	0.69743	0.30538	0.98648	0.67897	0.92664	0.82474	0.56538	0.12075	0.18266	0.21812	0.23707	0.22448	0.17232	0.11569	0.05748	0.14519	0.26214	0.06128	0.23035	0.18172	0.1599	0.31695	0.10082	0.18045	0.24266	0.2864	0.33702	0.15286	0.14687	0.19382	0.23875	0.20957	0.04612	0.12539	0.29964	0.04899	0.18526	0	1
0.39725	0.46071	0.33298	0.16955	0.46851	0.12403	0.3173	0.29152	0.02774	0.38328	0.6968	0.81309	0.77216	0.42313	0.22821	0.579	0.28967	0.05557	0.84777	0.52634	0.17086	0.38885	0.17317	0.19276	0.45065	0.36468	0.35962	0.28702	0.12223	0.23505	0.29122	0.10362	0.21919	0.47547	0.58623	0.2505	0.50936	0.38475	0.40497	0.53561	0.09275	0.18651	0.38383	0.57915	0.53897	0.30758	0.46998	0.43123	0.22869	0.5925	0	1
0.40743	0.18931	0.19703	0.07747	0.29531	0.25836	0.16974	0.22345	0.02797	0.31996	0.50219	0.66367	0.5103	0.82107	0.99189	0.36282	0.72079	0.29054	0.23974	0.97603	0.31101	0.21548	0.40861	0.39852	0.30583	0.26497	0.24947	0.19103	0.34443	0.2102	0.332	0.24516	0.20008	0.25498	0.37124	0.41609	0.40229	0.3814	0.37837	0.37713	0.46411	0.29129	0.45347	0.4893	0.47236	0.35143	0.29662	0.2994	0.20419	0.37296	0	1
0.00868	0.19062	0.17987	0.4799	0.25361	0.3441	0.3002	0.256	0.19753	0.28487	0.34125	0.80213	0.00449	0.82746	0.78454	0.11784	0.85088	0.48615	0.36046	0.86444	0.33256	0.27273	0.45071	0.48467	0.39337	0.38306	0.47026	0.52094	0.50799	0.31874	0.4734	0.42864	0.3169	0.30838	0.21386	0.35711	0.45654	0.44541	0.42656	0.3327	0.46039	0.49484	0.34347	0.40675	0.20378	0.24833	0.42528	0.29751	0.35458	0.39441	0	1
0.17022	0.39982	0.4673	0.3441	0.07013	0.20182	0.39627	0.48626	0.10572	0.17397	0.85162	0.54791	0.87512	0.16639	0.06648	0.60237	0.9695	0.98005	0.13155	0.26905	0.27718	0.07786	0.27867	0.23076	0.26142	0.1943	0.35009	0.18411	0.2556	0.28014	0.32936	0.20074	0.16487	0.24891	0.22708	0.25777	0.26801	0.0966	0.23566	0.23382	0.30587	0.28434	0.22149	0.11179	0.15546	0.18625	0.19458	0.30386	0.35921	0.14711	0	1
0.40878	0.49916	0.28888	0.30457	0.14303	0.15042	0.42868	0.21301	0.21668	0.37674	0.49485	0.51388	0.44556	0.65347	0.53496	0.65972	0.75363	0.37256	0.83493	0.77573	0.13321	0.15507	0.25155	0.35245	0.34406	0.2176	0.11875	0.26731	0.27542	0.32366	0.35677	0.18639	0.13478	0.22033	0.15973	0.15231	0.3001	0.17415	0.36937	0.32116	0.3248	0.30622	0.11116	0.28482	0.11392	0.19162	0.2796	0.16395	0.1726	0.18371	0	1
0.35505	0.18947	0.46407	0.26912	0.29078	0.39713	0.02443	0.47263	0.07614	0.06251	0.5158	0.73735	0.65907	0.38136	0.26949	0.5602	0.28419	0.28505	0.57385	0.61723	0.44334	0.37134	0.37111	0.41122	0.27729	0.21059	0.53312	0.38488	0.30998	0.36395	0.33688	0.2883	0.45028	0.26162	0.37503	0.4827	0.44948	0.41317	0.33439	0.45662	0.48212	0.45043	0.25436	0.40204	0.39503	0.35283	0.33205	0.39801	0.54941	0.3658	0	1
0.35745	0.11198	0.02493	0.14063	0.07977	0.24199	0.08408	0.15166	0.43961	0.13166	0.20158	0.43418	0.49701	0.50031	0.12868	0.23677	0.67521	0.80303	0.8566	0.59838	0.36191	0.15992	0.20182	0.34	0.09961	0.1725	0.27647	0.37655	0.40246	0.27537	0.28854	0.18452	0.3142	0.07762	0.06951	0.45048	0.22128	0.18999	0.20135	0.17077	0.19613	0.42737	0.14579	0.09274	0.18949	0.38793	0.29807	0.18431	0.3229	0.20408	0	1
0.42354	0.12971	0.41724	0.04809	0.07292	0.27983	0.0046	0.41311	0.2782	0.02867	0.04088	0.47218	0.70605	0.41278	0.40031	0.08012	0.22947	0.68583	0.37272	0.13005	0.30614	0.26019	0.28434	0.27608	0.07934	0.30738	0.28378	0.28905	0.34836	0.33828	0.37591	0.32946	0.24634	0.0932	0.21126	0.24867	0.12227	0.2252	0.19913	0.07969	0.3344	0.40094	0.20778	0.1838	0.20404	0.41854	0.26228	0.1054	0.25128	0.18651	0	1
0.2232	0.44009	0.02291	0.23822	0.11518	0.22378	0.24082	0.33005	0.18803	0.44478	0.17142	0.87128	0.26527	0.09415	0.19241	0.13914	0.67085	0.70932	0.36591	0.64545	0.40325	0.25761	0.3224	0.41369	0.17967	0.09649	0.37546	0.24012	0.25294	0.23471	0.2502	0.2473	0.2178	0.15779	0.22555	0.21499	0.09039	0.29931	0.10126	0.20712	0.18979	0.26094	0.17944	0.30411	0.20936	0.405	0.33512	0.3346	0.28077	0.17742	0	1
0.33855	0.27009	0.46507	0.43946	0.04236	0.21662	0.43156	0.40161	0.45706	0.49519	0.02468	0.10644	0.58527	0.10821	0.92466	0.29311	0.11504	0.06946	0.02072	0.05076	0.28437	0.05481	0.25798	0.24107	0.13467	0.25779	0.42121	0.23334	0.36773	0.20172	0.39303	0.34498	0.32948	0.23142	0.21586	0.31361	0.16702	0.23242	0.11386	0.24782	0.43217	0.34214	0.28184	0.21603	0.21425	0.2913	0.12425	0.13521	0.18711	0.0511	0	1
0.02362	0.38148	0.22417	0.20471	0.10302	0.32941	0.41856	0.47465	0.17243	0.36842	0.28063	0.38259	0.68442	0.17872	0.12859	0.99986	0.46611	0.79345	0.56824	0.91833	0.46971	0.29959	0.4261	0.40405	0.22626	0.23586	0.40471	0.3045	0.44619	0.25893	0.5137	0.33308	0.40775	0.32489	0.17806	0.32839	0.22374	0.2491	0.33238	0.23786	0.4812	0.50117	0.31056	0.12145	0.13441	0.40561	0.19963	0.34389	0.38475	0.1016	0	1
0.4807	0.27638	0.03469	0.27625	0.1136	0.30672	0.13926	0.26157	0.03911	0.19209	0.43939	0.62948	0.22605	0.66986	0.34859	0.98516	0.22387	0.55796	0.54814	0.20279	0.22344	0.24272	0.31014	0.36078	0.27644	0.34627	0.29604	0.37872	0.34927	0.44166	0.24493	0.29861	0.2263	0.22578	0.10642	0.37973	0.34422	0.17929	0.22168	0.29429	0.299	0.24829	0.10894	0.09211	0.15216	0.45897	0.08957	0.10957	0.32626	0.1661	0	1
0.23402	0.41546	0.11681	0.46906	0.23003	0.33669	0.32394	0.26227	0.48779	0.38749	0.84925	0.73516	0.78017	0.25732	0.11106	0.74432	0.19641	0.31033	0.33733	0.20672	0.45734	0.36654	0.47166	0.30919	0.18504	0.42706	0.44127	0.31576	0.24721	0.50696	0.29729	0.4241	0.37769	0.4389	0.22617	0.3936	0.39322	0.42047	0.39876	0.20849	0.4936	0.36039	0.37087	0.29513	0.19448	0.46048	0.42132	0.41733	0.36118	0.42741	0	1
0.28004	0.02224	0.37607	0.18261	0.35948	0.35341	0.4081	0.07596	0.31603	0.12375	0.0359	0.79017	0.74238	0.23197	0.16537	0.64031	0.43187	0.68155	0.72126	0.26737	0.2985	0.31334	0.5255	0.39851	0.36742	0.50529	0.51399	0.49041	0.32961	0.37787	0.36775	0.27788	0.4251	0.31161	0.28826	0.44714	0.39689	0.2799	0.46871	0.42825	0.33961	0.34529	0.28913	0.38532	0.4038	0.42496	0.27741	0.39575	0.41762	0.32968	0	1
0.30753	0.34217	0.1995	0.37549	0.08533	0.39985	0.20091	0.17021	0.24161	0.17217	0.91641	0.5019	0.83169	0.47796	0.33936	0.46848	0.94629	0.03816	0.04798	0.9594	0.50884	0.32945	0.50346	0.36059	0.06653	0.33511	0.47634	0.46465	0.35026	0.38895	0.43394	0.52429	0.50434	0.132	0.32828	0.50446	0.28478	0.25727	0.29117	0.23668	0.30539	0.48927	0.1458	0.25325	0.20746	0.36183	0.22332	0.23519	0.43002	0.30585	0	1
0.34964	0.41822	0.42905	0.01721	0.22692	0.12289	0.452	0.22596	0.27767	0.30326	0.28636	0.96308	0.81729	0.64255	0.17912	0.81389	0.10497	0.62547	0.88918	0.29599	0.10744	0.39302	0.36122	0.33903	0.35772	0.36136	0.27468	0.23047	0.30671	0.10009	0.16503	0.29785	0.21603	0.30592	0.37627	0.13605	0.31023	0.36885	0.26608	0.43639	0.27619	0.12667	0.16644	0.36584	0.29265	0.29628	0.43277	0.20397	0.33702	0.44269	0	1
0.04991	0.14142	0.48853	0.30772	0.11722	0.0197	0.10131	0.17838	0.11885	0.24848	0.86308	0.35695	0.85098	0.2932	0.74502	0.83177	0.36447	0.53105	0.50079	0.28621	0.2267	0.28055	0.15691	0.05528	0.24693	0.34736	0.20143	0.21788	0.26415	0.26808	0.04216	0.04137	0.21557	0.21283	0.24116	0.18308	0.17275	0.27195	0.13318	0.36249	0.13459	0.1061	0.20246	0.24318	0.14542	0.02333	0.17242	0.33342	0.27027	0.17892	0	1
0.21065	0.09298	0.19828	0.27857	0.19193	0.18726	0.17764	0.02042	0.13526	0.43767	0.50194	0.94717	0.89361	0.07704	0.91629	0.76667	0.10598	0.12021	0.19723	0.10583	0.35788	0.35572	0.1378	0.18767	0.4174	0.26101	0.38235	0.14205	0.34835	0.25648	0.20687	0.23256	0.25701	0.41022	0.28418	0.32032	0.39256	0.27146	0.20239	0.27766	0.25829	0.19592	0.18048	0.33423	0.36421	0.35203	0.34226	0.24693	0.25268	0.17922	0	1
0.36057	0.32774	0.13689	0.49642	0.31513	0.03813	0.0212	0.11302	0.07361	0.13002	0.12494	0.51189	0.91739	0.3483	0.57706	0.62887	0.95689	0.6597	0.88858	0.4036	0.11914	0.31166	0.25925	0.1359	0.47749	0.33215	0.12729	0.08111	0.30119	0.19429	0.28535	0.21763	0.26929	0.47405	0.24403	0.18439	0.40674	0.24419	0.2726	0.48092	0.04227	0.11166	0.26292	0.49327	0.46156	0.04801	0.4303	0.30168	0.12397	0.4588	0	1
0.31205	0.25893	0.13059	0.47659	0.12847	0.04555	0.21128	0.25511	0.19055	0.47355	0.30656	0.45245	0.83712	0.62839	0.99634	0.9539	0.49901	0.96377	0.43612	0.73749	0.15253	0.28755	0.16611	0.27311	0.32542	0.25146	0.30022	0.10972	0.11644	0.16621	0.15696	0.05908	0.30777	0.34407	0.285	0.05602	0.32212	0.14656	0.35677	0.27808	0.29429	0.2976	0.23869	0.12406	0.30798	0.2843	0.19735	0.34953	0.07641	0.33894	0	1
0.40781	0.41749	0.31625	0.19234	0.36625	0.43594	0.22544	0.04345	0.2484	0.2405	0.68291	0.39913	0.30142	0.9352	0.73593	0.19249	0.47907	0.97257	0.05007	0.30091	0.37026	0.37646	0.39195	0.34433	0.50683	0.42994	0.44001	0.3811	0.56733	0.46378	0.5266	0.33626	0.46055	0.43716	0.44571	0.49094	0.44331	0.41286	0.31253	0.46013	0.38627	0.40786	0.44513	0.47593	0.51786	0.4056	0.30982	0.34589	0.58022	0.40075	0	1
0.4877	0.15538	0.25995	0.25924	0.37377	0.36064	0.08562	0.11236	0.08843	0.02569	0.51015	0.52202	0.68561	0.01758	0.94391	0.59936	0.53212	0.5173	0.4113	0.4258	0.28645	0.48849	0.42013	0.35538	0.42622	0.27196	0.34064	0.51049	0.42048	0.40793	0.34548	0.376	0.40967	0.30194	0.41435	0.49004	0.40697	0.37386	0.42663	0.30338	0.48038	0.47433	0.42965	0.28454	0.36633	0.41336	0.54364	0.38535	0.27599	0.30885	0	1
